player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
317658,fr,Erwin Koffi,21, Forward,0,0,1,0.0,90,0.0,0.0,0.0,0.0,0.0,75,0.0,1,7.41,1,5,1,0,2,0,2,0.0,0,0,0,0,0,0,48,75,0,1,Lorient,Ligue1
249857,fr,Denis Bouanga,21, Midfielder,175,70,1,0.0,77,1,0.0,0.0,0.0,5,77.8,0.0,1,7.24,0,1,0,0,0,0,0,0.0,2,1,0,1,6,2,9,77.8,0,0,Lorient,Ligue1
116586,ga,Yrondu Musavu-King,24, D(C),186,81,2,1,186,0,0.0,0.0,0.0,0,78.9,1,3.3,7.22,2,4.3,0.7,0.3,3.3,0.3,0.7,0.0,0,0.7,0,0.3,0.7,0,23.7,78.9,0,1,Lorient,Ligue1
90117,fr,Wesley Lautoa,28," D(C),DMC",184,87,11,2,1009,0,0.0,1,0.0,0.3,82.9,1,3.8,7.21,1.4,4,0.7,0.4,4.1,0.5,0.7,0.0,0.3,0.9,0,0.2,0.6,0.3,38.2,82.9,0,2.5,Lorient,Ligue1
85677,fr,Lindsay Rose,24, D(C),184,80,10,0,900,0,0.0,1,0.0,0.5,78.2,1,3.1,7.20,1.4,3.5,1.2,1.1,7.2,0.7,1.3,0.0,0.1,0.5,0,0.5,0.1,0.1,36.7,78.2,0,3.3,Lorient,Ligue1
42596,dz,Mehdi Mostefa,32," D(R),M(C)",181,82,1,0,90,0,0.0,0,0.0,0,86.4,0,2,7.18,2,2,1,0,3,6,1,0.0,0,1,0,1,0,0,44,86.4,0,9,Lorient,Ligue1
42568,sn,Zargo Toure,26, D(C),185,73,29,0,2556,4,0.0,1,0.0,0.4,87.1,2,1.6,7.00,1.1,2.9,0.6,0.9,5,0.8,0.6,0.0,0.1,0.5,0,0.1,0.2,0.1,36.9,87.1,0,2.3,Lorient,Ligue1
34214,fr,Lamine Koné,27, D(C),186,83,17,1,1552,0,0.0,3,1,0.6,81.7,1,2.4,7.00,0.8,2.7,0.7,1.3,5.7,0.3,0.7,0.0,0.1,0.7,0,0.2,0.3,0.1,34.4,81.7,0.1,2.1,Lorient,Ligue1
115375,pt,Raphael Guerreiro,22," D(L),M(L)",170,67,27,7,2506,3,2,3,0,1.1,83.4,0,0.3,6.93,1.4,2.7,0.4,0.1,0.8,0.6,0,0.0,0.7,0.8,0.1,1,1.4,0.7,39.1,83.4,0.4,1.7,Lorient,Ligue1
84462,gh,Majeed Waris,24," AM(L),FW",172,71,20,1,1656,11,3,1,1,2.6,78.7,0,0.5,6.90,0.4,0.2,0.8,0,0,0.2,0,0.0,1,2,0.9,2.8,2.9,1,17.7,78.7,0,0.1,Lorient,Ligue1
