player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
81949,fr,Mathieu Gorgelin,25, Goalkeeper,187,83,1,0.0,90,0.0,0.0,0.0,0.0,0.0,51.9,0.0,0.0,7.72,0,0,0,0,3,0,0,0,0,0,0,0,0,0,27,51.9,0,6,Lyon,Ligue1
73078,fr,Alexandre Lacazette,25," M(LR),FW",175,73,34,0.0,2962,21,3,5,0.0,2.8,77.4,2,1,7.36,1.1,0.3,1.6,0,0,0.6,0,0,1.3,1.9,0.7,2.4,2.5,1.3,30.2,77.4,0.1,0.4,Lyon,Ligue1
79560,fr,Maxime Gonalons,27," D(C),M(C)",187,76,33,0.0,2892,0,0,7,0.0,0.7,89.5,1,3.4,7.35,3.3,2.7,1.6,0.3,1.4,1.8,0.2,1,0.4,1.7,0,0.7,0.7,0.4,57.1,89.5,0,5.5,Lyon,Ligue1
95423,dz,Rachid Ghezzal,24, AM(CLR),182,65,16,13,1588,8,8,5,0.0,1.8,76.3,6,0.6,7.34,1.2,0.6,0.9,0,0.2,1.1,0,0,1.6,1.3,0.2,1.6,1.9,1.6,31,76.3,0.7,1.7,Lyon,Ligue1
14240,fr,Christophe Jallet,32, D(R),178,70,20,3,1762,1,5,2,1,0.9,85.1,1,1.3,7.28,3.8,1.7,0.9,0.3,2.3,1,0.2,0.0,1.1,0.4,0.2,0.9,0.6,1.1,54.8,85.1,0.5,2.4,Lyon,Ligue1
134894,fr,Corentin Tolisso,21," D(R),DMC",181,78,28,5,2581,5,6,3,0,1.9,84.7,2,2.8,7.27,2.7,2,1.3,0,0.7,1.1,0.1,0,1.2,1.3,0.1,0.8,1.1,1.2,59.1,84.7,0.1,3.7,Lyon,Ligue1
89931,fr,Samuel Umtiti,22, D(CL),181,75,30,0,2658,1,0,6,0,0.5,87.2,1,3.2,7.27,1.4,2.4,0.9,1.1,4.8,0.3,0.6,0,0,1,0.1,0.2,0.4,0,64.4,87.2,0,4,Lyon,Ligue1
24929,fr,Mathieu Valbuena,31, M(CLR),167,58,21,5,1815,1,5,5,0,1.6,86.2,2,0.3,7.09,0.9,0.2,1,0,0,0.6,0,0,2.6,1.9,0.3,2.2,2.1,2.6,43,86.2,2,2,Lyon,Ligue1
134893,fr,Nabil Fekir,22," AM(C),FW",173,72,5,4,463,4,1,1,0,2.2,85.5,1,0,7.02,0.4,0.4,1,0,0,0.4,0,0,1.3,0.8,0.2,2,0.9,1.3,23,85.5,0.8,1.7,Lyon,Ligue1
14488,rs,Milan Bisevac,32, D(C),185,85,6,0,457,0,0,1,0,0,92.1,1,1.7,6.97,1,1.5,0.8,0.5,3.8,0,0.7,0,0,0.3,0,0.2,0,0,50.3,92.1,0,6.5,Lyon,Ligue1
34190,fr,Mapou Yanga-Mbiwa,27, D(CR),184,77,27,0,2353,2,0,4,0,0.3,89.1,1,1.4,6.95,1.7,2.9,1.2,0.9,3.2,0.5,0.4,1,0,1.3,0.1,0.3,0.3,0,62.9,89.1,0,3.7,Lyon,Ligue1
4092,br,Rafael,25, D(R),172,78,18,3,1454,1,2,8,0,0.6,81.8,0,1.2,6.92,3,1.9,1.1,0.1,1.5,0.6,0.2,1,0.6,1,0,0.8,1.1,0.6,37.3,81.8,0.2,1.1,Lyon,Ligue1
22115,fr,Jérémy Morel,32, D(CL),172,71,27,4,2511,0,1,3,0,0.3,80.2,0,1.4,6.91,1.7,1.9,0.5,0.5,2.2,0.7,0.2,0,0.9,0.6,0.1,0.5,0.6,0.9,44.4,80.2,0.4,1.6,Lyon,Ligue1
300705,fr,Lucas Tousart,19, Midfielder,185,83,1,0,61,0,0,0,0,0,85,0,1,6.90,7,1,2,0.0,2,2,0.0,0.0,0,0,0,1,1,0,40,85,0,2,Lyon,Ligue1
71833,pt,Anthony Lopes,25, GK,184,81,37,0,3330,0,0,2,0,0,67.3,0,0.2,6.87,0.1,0.1,0,0,0.8,0,0,0,0,0.2,0,0,0,0,24.2,67.3,0,4.8,Lyon,Ligue1
95422,fr,Jordan Ferri,24, M(C),172,70,26,8,2449,2,5,8,0,0.9,87.4,0,0.3,6.87,1.7,0.7,1.6,0,0.3,1.4,0,0,1.3,1.4,0,1.7,1.6,1.3,53.8,87.4,0.2,2.8,Lyon,Ligue1
25599,fr,Claudio Beauvue,28," AM(CLR),FW",174,66,15,4,1281,5,2,0,0,3.4,73.7,0,2.3,6.75,0.5,0.2,0.8,0,0.3,0.6,0,0,0.8,1.1,0.5,1.3,1.8,0.8,16.2,73.7,0,0.3,Lyon,Ligue1
106596,es,Sergi Darder,22, DMC,180,71,18,8,1488,2,1,1,0,1.2,82.9,0,0.3,6.73,1.5,0.7,0.8,0,0.1,1.7,0.1,0,1,0.5,0,0.7,0.9,1,36.4,82.9,0.2,1.8,Lyon,Ligue1
79562,fr,Clément Grenier,25, M(CL),186,72,10,8,1013,2,3,2,1,0.8,77,0,0.9,6.63,1.3,0.9,1.3,0,0.8,1.1,0,0,1,1.3,0,1.1,1.8,1,41.6,77,0.3,2.1,Lyon,Ligue1
274906,fr,Olivier Kemen,19, Midfielder,177,78,1,1,106,0,0,0,0,0,87.1,0,0.5,6.63,0,2,1.5,0,1,1,0,0,0.5,1.5,0,1.5,1.5,0.5,35,87.1,0,1,Lyon,Ligue1
10426,cm,Henri Bedimo,32, D(L),180,80,14,4,1224,0,0,0,0,0.3,82.4,0,0.6,6.63,1.4,0.9,0.4,0,0.7,0.3,0.1,0,0.4,1.1,0.3,0.8,0.7,0.4,38.2,82.4,0.2,1.1,Lyon,Ligue1
33630,bf,Bakary Koné,28, D(C),188,80,4,2,430,0,0,1,0,0.5,90.7,0,2.3,6.61,0.5,2,0.7,1,4.2,0.5,0.2,0,0,0.8,0,0.3,0.2,0,37.5,90.7,0,1.5,Lyon,Ligue1
125004,fr,Maxwel Cornet,19, AM(L),179,69,16,15,1508,8,1,3,1,1,73.4,2,0.5,6.55,0.7,0.4,0.9,0,0.2,0.6,0,0,0.7,0.7,0.5,1,1.5,0.7,15.4,73.4,0.3,0.1,Lyon,Ligue1
85677,fr,Lindsay Rose,24, D(C),184,80,1,0,90,0,0,0,0,1,89.7,0,5,6.44,1,1,2,3,3,0,0,0,0,1,0,0,0,0,58,89.7,0,8,Lyon,Ligue1
19663,fr,Arnold Mvuemba,31, DMC,172,67,3,3,287,0,0,0,0,0.7,93.1,0,0,6.36,0.8,0.5,1,0,0,0.8,0,0,0.7,0.3,0,1.7,0.7,0.7,46.2,93.1,0.3,3.2,Lyon,Ligue1
2113,fr,Steed Malbranque,36, M(C),171,75,5,6,402,0,1,0,0,0.5,84.2,0,0.1,6.30,1.2,0.2,0.2,0,0,0.7,0,0,0.5,0.5,0,0.6,1.1,0.5,23.6,84.2,0,0.8,Lyon,Ligue1
301326,fr,Gaetan Perrin,20, Midfielder,0,0,0,3,29,1,0,0,0,0.7,80,0,0,6.30,0,0,0.7,0,0,0.3,0,0,0,0.3,0,0.3,0.3,0,1.7,80,0,0,Lyon,Ligue1
289111,fr,Aldo Kalulu,20, Forward,161,57,1,9,190,2,0,0,0,0.5,86,0,0.1,6.30,0.2,0.3,0.1,0,0,0.1,0,0,0.1,0.2,0.2,0.7,0.3,0.1,5.7,86,0,0.2,Lyon,Ligue1
122363,fr,Zakarie Labidi,21, Forward,178,71,0,3,23,0,0,0,0,0.7,76.9,0,0.3,6.05,0.3,0,0,0,0,0.7,0,0,0,0,0,0.7,1,0,4.3,76.9,0,0,Lyon,Ligue1
300291,fr,Romain Del Castillo,20, Midfielder,172,56,0,2,34,0,0,0,0,0.5,76.9,0,0,6.03,0.5,0,0.5,0,0,1,0,0,0,0,0,0,0.5,0,6.5,76.9,0,0,Lyon,Ligue1
