player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
18285,fr,Lass Diarra,31, M(C),173,67,25,1,2090,1,1,4,0.0,0.4,86.8,1,1.2,7.29,3,1.7,1.8,0.0,0.8,1.4,0.2,0.0,0.7,1.2,0,1.3,1.1,0.7,53.2,86.8,0,3,Marseille,Ligue1
105962,fr,Benjamin Mendy,21," D(L),DMC,M(L)",185,75,22,2,1953,1,1,7,1,0.3,80.2,0,1.5,7.14,1.9,2.4,1,0.4,1.5,1.2,0.2,0.0,1.2,0.8,0.1,1.1,0.9,1.2,40.5,80.2,1.6,1.5,Marseille,Ligue1
109227,es,Javier Manquillo,22, D(LR),180,75,31,0,2673,0,1,2,0,0.2,82.5,0,1.6,7.06,2.5,2.8,0.8,0.4,2,0.4,0.2,0.0,0.5,0.9,0.1,0.4,0.8,0.5,45,82.5,0.2,1.1,Marseille,Ligue1
71831,ma,Abdel Barrada,27, M(CR),179,73,17,7,1455,1,6,5,2,1.1,80.3,3,0.6,7.03,1.6,1.1,1,0,0.3,0.8,0,0.0,2.6,1,0.1,1,0.8,2.6,35.9,80.3,2.2,1.5,Marseille,Ligue1
43834,cm,Nicolas N'Koulou,26, D(C),180,77,33,0,2940,0,0,8,1,0.3,87.4,2,2.6,7.02,1.6,3.4,0.9,0.7,4.4,0.4,0.4,1,0.1,0.9,0,0.2,0.3,0.1,49.8,87.4,0,2.4,Marseille,Ligue1
85693,fr,Rémy Cabella,26, M(CLR),171,68,30,4,2566,5,3,9,0,1.4,86.8,1,0.6,7.01,1.8,0.9,1.2,0,0,1.1,0,0.0,1.4,2.2,0.1,1.6,1.6,1.4,44.8,86.8,0.3,0.4,Marseille,Ligue1
33878,cl,Mauricio Isla,28," D(R),M(CR)",176,75,20,3,1801,2,1,1,0,0.3,84.2,2,1,6.99,2.3,2.6,0.6,0.3,0.6,0.8,0.3,0.0,1,0.8,0,0.6,0.6,1,51,84.2,0.2,2.3,Marseille,Ligue1
123481,fr,Mario Lemina,22, DMC,183,83,4,0,335,0,0,1,0,1.5,86.1,0,1.8,6.94,2.8,1,2,0.0,0.8,1.3,0,0.0,0.8,1,0,1,0.5,0.8,48.5,86.1,0,3.5,Marseille,Ligue1
97803,be,Michy Batshuayi,22, FW,185,78,32,4,2938,17,9,8,0,3.4,74.9,0,0.8,6.93,0.4,0.2,1.8,0,0.3,0.6,0.1,0,0.8,1.1,1.3,2.6,2.4,0.8,18.7,74.9,0.0,0.3,Marseille,Ligue1
134887,fr,Georges-Kévin Nkoudou,21, AM(LR),172,68,22,6,2076,5,3,0,0,1.6,82.1,1,0.3,6.92,1.8,0.5,1,0,0.1,0.8,0,0.0,0.9,2,0.3,3,2.5,0.9,21.5,82.1,0.8,0.9,Marseille,Ligue1
106530,nl,Karim Rekik,21, D(C),186,79,23,1,2034,1,1,4,0,0.3,91,1,2.2,6.91,1.4,2.2,0.8,0.4,4,0.4,0.5,2,0.2,1.1,0,0.2,0.2,0.2,54.7,91,0,2.3,Marseille,Ligue1
