player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
92795,fr,Layvin Kurzawa,23, D(L),182,74,3,0.0,229,1,0.0,1,0.0,1.3,75.4,3,3.3,7.97,2,3.7,1,0,2.3,0.7,0,0.0,1.7,1,0,0,1,1.7,46,75.4,1.7,1.7,Monaco,Ligue1
262262,ml,Almamy Touré,20, D(R),183,72,9,1,760,3,2,3,0.0,1,75.5,0,2.3,7.35,1.9,2.4,1.3,0.3,3.6,0.5,0.1,0.0,0.7,0.7,0.1,1,0.8,0.7,30.2,75.5,0.9,1.9,Monaco,Ligue1
115916,br,Fabinho,22," D(R),DMC",188,78,34,0,3060,6,4,9,0.0,0.9,81.4,1,1.9,7.34,3.2,2.2,2,0.2,2.5,1.3,0.2,0.0,0.7,1.7,0.1,0.5,0.8,0.7,43,81.4,0.6,3.1,Monaco,Ligue1
6778,fr,Jérémy Toulalan,32," D(C),M(C)",183,77,25,0,2229,0,1,5,0.0,0.3,80.3,2,2.4,7.24,3.1,2.8,1,0,2.7,1.3,0.5,0.0,0.4,1.3,0,0.5,0.7,0.4,56,80.3,0.1,3.2,Monaco,Ligue1
120818,be,Nabil Dirar,30, AM(R),187,82,20,0,1559,2,9,2,1,1,73.2,1,1.4,7.20,2,1,1.8,0,0.7,0.4,0,0.0,1.5,1.4,0.2,2,2.3,1.5,31.2,73.2,1,0.7,Monaco,Ligue1
132962,fr,Thomas Lemar,20, AM(CLR),170,58,20,6,1810,5,3,1,0,1.4,83.3,4,0.5,7.12,1.5,0.8,0.5,0.1,0.4,0.7,0.1,0.0,1.1,1.6,0.2,2,1.6,1.1,30.4,83.3,1,1.7,Monaco,Ligue1
135211,fr,Tiemoué Bakayoko,21, DMC,184,72,14,5,1362,1,0,3,0,0.8,86.9,0,2.2,7.09,2.8,2.4,1.8,0,1.1,1.1,0.1,0.0,0.3,1.1,0,1.9,1.1,0.3,37.8,86.9,0,1.6,Monaco,Ligue1
20592,pt,Fábio Coentrão,28, D(L),179,70,13,2,1085,3,2,4,0,0.7,77.8,1,0.8,7.02,1.4,1.4,1.1,0.3,1.7,0.5,0,0.0,0.6,1.5,0.6,0.3,1.1,0.6,32.7,77.8,0.9,1.6,Monaco,Ligue1
136741,pt,Bernardo Silva,21, AM(CR),173,64,22,10,2240,7,1,7,0,1.3,82.8,4,0.4,7.00,1.4,0.9,0.9,0,0.5,1.4,0.1,0.0,1.3,2.4,0.3,2.3,1.7,1.3,26.9,82.8,1,1,Monaco,Ligue1
16161,pt,João Moutinho,29, M(C),171,61,24,2,2123,1,2,3,0,0.8,83.3,1,0.8,6.95,1.2,1.9,1.1,0,0.8,1.9,0.3,0.0,1.7,1.1,0,1.2,0.9,1.7,53.8,83.3,0.9,3.4,Monaco,Ligue1
132669,br,Wallace,21, D(C),191,83,25,1,2251,1,0,6,1,0.5,77.8,1,2.7,6.89,1,2.3,1.3,0.7,6.1,0.4,0.5,0.0,0.1,0.5,0,0.2,0.4,0.1,36.7,77.8,0,2.8,Monaco,Ligue1
33663,ng,Elderson Echiéjilé,28, D(L),184,76,18,2,1568,0,1,4,1,0.3,74.6,0,1.4,6.84,2.2,2.1,1.2,0.2,2.8,0.9,0.4,0.0,0.4,0.8,0.2,0.5,0.6,0.4,30.5,74.6,0.3,1,Monaco,Ligue1
6666,pt,Ricardo Carvalho,38, D(C),183,79,33,0,2903,2,0,8,0,0.2,88,0,2.1,6.82,1.1,2.6,0.8,0.5,4.1,0.5,0.8,0.0,0.1,0.4,0,0,0.2,0.1,40.8,88,0,2.5,Monaco,Ligue1
29214,hr,Danijel Subasic,31, GK,191,84,36,0,3240,0,0,3,0,0,54,1,0.1,6.78,0.1,0.1,0,0,0.6,0.1,0,0,0,0.1,0,0,0.1,0,23.4,54,0,7.2,Monaco,Ligue1
10116,br,Vágner Love,32, FW,172,72,9,3,786,4,0,1,0,2,68.7,0,1,6.75,0.7,0.4,0.8,0,1.2,0.4,0.1,0.0,0.7,0.7,0.7,2.7,2.5,0.7,16.3,68.7,0,0.7,Monaco,Ligue1
17946,it,Andrea Raggi,31, D(CLR),187,82,29,2,2606,2,1,5,0,0.2,79.3,0,0.8,6.72,1.3,1.8,0.5,0.6,3.6,0.5,0.3,0.0,0.2,0.6,0,0.4,0.1,0.2,32.1,79.3,0.1,2.5,Monaco,Ligue1
244297,ml,Adama Traoré,20, AM(C),180,72,4,2,364,0,1,1,0,0.8,87.7,0,1.3,6.65,1.2,2,1.2,0,0.3,0.5,0.2,0.0,0.3,1.3,0,1,0.2,0.3,31.2,87.7,0,2.2,Monaco,Ligue1
127970,br,Rony Lopes,20, AM(CR),174,68,2,0,115,0,0,0,0,1.5,76.7,0,0,6.64,1,1,0,0,0,0,0,0.0,0,2.5,0,0.5,2.5,0,15,76.7,0,0,Monaco,Ligue1
108105,fr,Paul Nardi,22, Goalkeeper,188,77,2,0,180,0,0,0,0,0,73.5,0,0,6.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,73.5,0,2,Monaco,Ligue1
