player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
67958,dz,Ryad Boudebouz,26," M(CR),FW",177,74,37,1,3249,2,11,3,0.0,1.4,77.8,4,0.8,7.26,1.2,0.8,0.7,0,0.2,1.1,0.1,0.0,3.1,1.1,0,3.3,1.9,3.1,50.2,77.8,2.8,3.9,Montpellier,Ligue1
13343,fr,Daniel Congré,31, D(CLR),185,80,35,0,3128,2,0,2,1,0.3,83.8,2,2.1,7.18,2.1,4,0.9,0.8,3.6,0.6,0.3,0.0,0.1,0.9,0,0.1,0.5,0.1,40.4,83.8,0,3.6,Montpellier,Ligue1
86820,fr,Bryan Dabo,24," D(R),M(CR)",187,79,32,4,2856,5,1,7,0,1,80.1,4,2.2,7.13,1.8,1.8,1.6,0.1,1.1,1.1,0,0.0,0.6,2.9,0.1,1.5,1.9,0.6,42.1,80.1,0.3,1.5,Montpellier,Ligue1
6743,br,Hilton,38, D(C),180,78,36,0,3178,1,1,3,1,0.7,74.6,1,2.2,7.12,1.7,3.2,0.7,1.1,4.6,0.7,0.7,0.0,0.3,0.8,0,0.2,0.2,0.3,43.5,74.6,0.1,6.8,Montpellier,Ligue1
236560,fr,William Remy,25," D(R),DMC",184,79,27,1,2399,0,1,4,0,0.5,77.7,1,2.8,7.10,2.5,2.2,1.1,0.5,2.2,1.2,0.0,0.0,0.3,1.7,0,0.9,1,0.3,40.4,77.7,0.1,3.5,Montpellier,Ligue1
92792,fr,Jonas Martin,26, M(CL),184,76,35,1,3140,4,3,5,0,0.9,88.2,2,1.4,7.05,1.8,1.9,0.9,0,1,0.9,0.2,0.0,0.8,1.2,0.2,1.6,0.9,0.8,56.9,88.2,0.2,3,Montpellier,Ligue1
238903,fr,Ellyes Skhiri,21, DMC,185,69,9,3,814,2,0,1,0,0.4,83.5,0,1.4,6.98,2,2.3,1,0.2,1.3,0.8,0.5,0.0,0.4,0.2,0,0.3,0.3,0.4,30.8,83.5,0,2.3,Montpellier,Ligue1
97145,fr,Jérôme Roussillon,23," D(L),M(L)",175,80,31,2,2668,3,3,4,0,0.5,81.5,0,0.4,6.94,1.7,1.8,0.5,0.3,1.4,0.5,0.3,0.0,0.8,0.9,0.1,0.9,0.8,0.8,29.8,81.5,0.5,1.2,Montpellier,Ligue1
34189,fr,Geoffrey Jourdren,30, GK,181,81,7,0,630,0,0,2,0,0,48.3,0,0.4,6.92,0,0.3,0.1,0,1.1,0.1,0,0.0,0,0.1,0,0,0,0,29.3,48.3,0,8.6,Montpellier,Ligue1
298542,,Casimir Ninga,23," AM(L),FW",184,75,20,6,1983,7,4,6,0,1.7,76.1,3,1,6.82,0.8,0.6,2.1,0,0.2,0.7,0,0.0,0.7,0.7,0.4,3.5,2.8,0.7,20.4,76.1,0.3,0.6,Montpellier,Ligue1
28963,fr,Anthony Mounier,28, AM(CLR),174,69,3,0,270,0,0,0,0,0.7,69.8,0,0,6.81,1.7,2.3,0.3,0,0,1,0,0.0,0.3,1.7,1,2.3,2,0.3,35.3,69.8,1.3,1.3,Montpellier,Ligue1
288892,dz,Ramy Bensebaini,21, D(L),186,75,15,7,1348,2,0,7,0,0.5,76.5,0,1.8,6.79,1.8,2.3,1.5,0.1,2.4,0.7,0.2,0.0,0.1,0.7,0,0.5,0.8,0.1,28.4,76.5,0,3.1,Montpellier,Ligue1
4569,fr,Laurent Pionnier,34, GK,183,77,25,0,2250,0,0,0,0,0,52.7,1,0.6,6.73,0.1,0,0,0,1.7,0,0,0.0,0.1,0.2,0,0,0,0.1,24.8,52.7,0,7.6,Montpellier,Ligue1
2794,sn,Souleymane Camara,33," M(R),FW",174,75,22,11,1997,7,6,1,0,1.4,69.7,2,1.6,6.71,0.7,0.4,0.8,0,0.5,0.4,0,0.0,0.6,1.1,0.6,1,1.4,0.6,18.3,69.7,0.2,0.3,Montpellier,Ligue1
92988,fr,Mathieu Deplagne,24, D(R),183,78,21,4,1801,0,0,6,0,0.3,81,0,1.6,6.65,1.5,2.1,0.9,0.2,2,0.6,0.4,0.0,0.2,0.7,0,0.5,0.6,0.2,29.9,81,0.2,1.1,Montpellier,Ligue1
32644,fr,Joris Marveaux,33, M(CR),179,72,5,4,437,1,0,2,0,0.4,82.2,0,0.8,6.61,1.9,1.6,0.8,0,0.9,1.2,0.4,0.0,0,0.4,0,0.3,0.2,0,28.7,82.2,0,1.9,Montpellier,Ligue1
90124,fr,Kévin Berigaud,28," M(CLR),FW",176,72,10,9,1032,3,1,0,0,1.1,75.8,0,0.4,6.51,0.7,0.4,0.4,0,0.1,0.3,0.1,0.0,0.6,0.7,0.2,1.2,1.5,0.6,17.2,75.8,0.3,0.1,Montpellier,Ligue1
92514,fr,Jonathan Ligali,25, GK,184,86,6,0,540,0,0,1,0,0,54.8,0,0.7,6.50,0.2,0.2,0.2,0,1.3,0,0,0.0,0,0,0,0,0.3,0,24.3,54.8,0,9.5,Montpellier,Ligue1
34191,tn,Jamel Saihi,29, M(C),182,75,8,5,597,0,0,3,0,0.6,80.7,0,0.9,6.46,1.8,1.5,1.2,0,0.2,1.5,0,0.0,0.8,0.2,0,0.7,0.5,0.8,31.1,80.7,0.1,1.3,Montpellier,Ligue1
115508,fr,Morgan Sanson,21, M(CR),180,72,6,8,555,3,0,2,0,0.6,77.8,0,0.4,6.45,1.2,0.7,0.6,0,0.1,0.9,0.1,0.0,0.3,1.1,0.1,1.4,0.9,0.3,16.7,77.8,0.3,0.8,Montpellier,Ligue1
42576,ml,Mustapha Yatabaré,30, FW,186,70,15,13,1405,4,2,3,0,1.2,71.9,0,1.6,6.45,0.6,0.2,1.4,0,0.3,0.6,0,0.0,0.4,0.9,0.7,1.4,2,0.4,16,71.9,0,0.3,Montpellier,Ligue1
67425,fr,Paul Lasne,27, M(CLR),186,77,6,3,518,0,0,1,0,0.3,86.3,0,0.8,6.38,1.2,1.4,1,0,0.1,0.2,0,0.0,0.2,1.2,0.1,0.8,0.7,0.2,28.4,86.3,0,1.7,Montpellier,Ligue1
280676,sn,Mamadou N'Diaye,21, Defender,174,62,1,7,137,0,1,0,0,0.3,81.3,0,0,6.34,0.3,1.1,0.1,0.1,0.3,0.3,0.1,0.0,0.3,0,0,0.3,0.1,0.3,8,81.3,0,0.5,Montpellier,Ligue1
274934,fr,Florian Sotoca,25, Forward,187,79,0,1,1,0,0,0,0,1,100,0,0,6.24,1,0,0,0,0,0,0,0.0,0,1,0,0,0,0,2,100,0,0,Montpellier,Ligue1
261211,fr,Quentin Cornette,22, Forward,172,74,1,4,146,0,0,1,0,0.8,69.2,0,0.2,6.22,0.4,0.6,1.2,0,0,0.6,0,0.0,0.2,1,0.2,1,1.4,0.2,7.8,69.2,0.2,0,Montpellier,Ligue1
107042,pe,Jean Deza,23, Midfielder,175,71,2,5,189,0,0,0,0,0.6,76.3,0,0.1,6.20,0.1,0.3,0.4,0,0,0.4,0,0.0,0.3,0.7,0.3,0.6,0.6,0.3,10.9,76.3,0,0.6,Montpellier,Ligue1
135259,fr,Steve Mounie,21, Forward,190,83,0,2,37,0,0,0,0,0,85.7,0,1,6.12,0,0,0,0,1,0,0,0.0,0.5,1,0,0.5,0.5,0.5,7,85.7,0,0,Montpellier,Ligue1
26538,fr,Djamel Bakar,27," AM(LR),FW",171,71,2,4,201,0,0,0,0,1,83.3,0,0.2,6.08,0.2,0,0.5,0,0,0.3,0,0.0,0.5,0.2,0.2,1,1.2,0.5,10,83.3,0.2,0,Montpellier,Ligue1
36249,ch,Sébastien Wüthrich,26, Midfielder,178,70,0,1,1,0,0,0,0,1,100,0,0,6.00,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,3,100,0,0,Montpellier,Ligue1
231148,fr,Anthony Ribelin,20, Midfielder,177,73,1,0,59,0,0,0,0,0,68.2,0,0,5.88,1,0,1,0,0,0,0,0.0,1,0,0,1,2,1,22,68.2,0,0,Montpellier,Ligue1
