player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
13379,fr,Olivier Veigneau,30, D(L),174,69,2,0.0,169,0.0,0.0,0.0,0.0,0.0,72,0.0,3,7.32,3.5,2,0.0,0.0,1,0.5,0.0,0.0,1,0,0.5,1.5,1,1,37.5,72,1,2,Nantes,Ligue1
42002,fr,Youssouf Sabaly,23, D(LR),174,68,28,0.0,2502,2,1,7,0.0,0.5,79,5,1.8,7.27,2.8,2.3,1.6,0.2,2.9,0.9,0.1,1,0.9,1.5,0,1.7,1.1,0.9,47.3,79,1,2.6,Nantes,Ligue1
231144,fr,Valentin Rongier,21, M(C),172,66,9,2,741,1,1,1,0.0,0.7,85.6,0,0.7,7.11,2.9,1.9,1,0.0,0.9,1.5,0.1,0.0,0.6,0.7,0,2,0.5,0.6,41.1,85.6,0.6,3.2,Nantes,Ligue1
101363,fr,Maxime Dupé,23, GK,186,87,7,0,630,0,0,0,0.0,0,52.6,0,0.1,7.06,0,0,0,0,0.7,0,0,0,0,0.4,0,0,0,0,27.4,52.6,0,7.6,Nantes,Ligue1
128880,fr,Abdoulaye Touré,22, Midfielder,187,77,2,2,202,0,0,0,0.0,0.5,81.1,1,1.5,7.04,1.5,0.8,1.3,0,2.3,1,0,0,0.8,0.5,0,0.8,1.3,0.8,23.8,81.1,0.3,1.5,Nantes,Ligue1
22286,be,Guillaume Gillet,32," D(R),M(CR)",186,80,19,0,1710,1,0,5,0.0,1.1,84.9,1,1.8,7.03,2.9,2.6,1.5,0.0,1.4,1.3,0.3,0.0,0.5,1.2,0,0.6,1,0.5,54,84.9,0.2,4.3,Nantes,Ligue1
109835,fr,Koffi Djidji,23, D(C),184,71,20,2,1794,0,0,4,0.0,0.1,84.3,1,1.1,7.00,2.5,2.5,0.8,1.2,4.9,0.8,0.6,0,0,0.3,0,0.2,0.4,0,33.1,84.3,0,3.6,Nantes,Ligue1
113747,fr,Adrien Thomasson,22, M(CLR),177,72,30,4,2529,2,5,7,0.0,1.1,78.9,1,0.5,6.99,2,1.3,1.4,0,0.4,1.4,0,0,1.4,1.2,0.1,1.7,1.5,1.4,40.5,78.9,0.9,2,Nantes,Ligue1
115531,ml,Birama Touré,24, DMC,183,75,21,2,1818,0,2,4,0.0,0.6,78.9,0,1.9,6.88,2.3,2.8,1.2,0,1.2,1,0.1,0,0.5,0.9,0,1,0.7,0.5,41.1,78.9,0,3.5,Nantes,Ligue1
234397,fr,Wilfried Moimbé,27, D(L),172,67,15,0,1324,0,1,4,0.0,0.5,71.2,0,1.1,6.86,1.7,2.1,1.3,0.2,2.1,0.7,0.3,0,0.6,1.8,0,0.5,0.9,0.6,31.3,71.2,0.7,2.9,Nantes,Ligue1
35562,fr,Lucas Deaux,27," D(C),DMC",188,80,13,3,1184,0,0,3,0.0,0.1,82,1,1.3,6.80,2.2,1.4,1.5,0.1,1.6,1.3,0.3,0,0.3,0.8,0,0.3,0.7,0.3,39.6,82,0.1,4.9,Nantes,Ligue1
10102,al,Lorik Cana,32, D(C),186,77,20,1,1759,0,0,5,0.0,0.3,79.4,0,2.1,6.78,1.3,1.9,1,0.6,4.9,0.7,1,1,0.1,0.4,0,0.3,0.2,0.1,36,79.4,0,4.6,Nantes,Ligue1
125623,ve,Oswaldo Vizcarrondo,32, D(C),191,85,29,1,2617,0,0,8,0.0,0.4,75.3,0,2.8,6.77,1.5,1.5,1.1,0.7,5.2,0.7,0.5,0,0.1,0.3,0,0.1,0.2,0.1,34.7,75.3,0,3.9,Nantes,Ligue1
101347,br,Adryan,21, AM(CL),174,71,19,7,1432,3,2,2,1,1.1,75.4,1,0.3,6.76,1.3,0.5,0.5,0,0.2,1,0,0,1.1,1.3,0,1.9,1.6,1.1,19.8,75.4,1.3,0.9,Nantes,Ligue1
146724,fr,Léo Dubois,21, D(LR),178,65,22,2,1981,0,0,3,0,0.5,74.5,1,0.6,6.72,2.7,1.8,0.8,0.1,2.2,1.3,0.2,0,0.8,0.5,0,0.9,1,0.8,36.8,74.5,0.6,2.5,Nantes,Ligue1
90347,is,Kolbeinn Sigthorsson,26, FW,186,84,19,7,1694,3,0,4,1,1.3,72,2,4.5,6.71,0.6,0.2,1.6,0,1.5,0.5,0.1,0,0.5,1,0.3,1.7,1.7,0.5,22.2,72,0.1,0.3,Nantes,Ligue1
105025,ar,Emiliano Sala,25, FW,187,75,22,9,1962,6,3,3,0,2,69.1,3,1.8,6.68,1,0.4,1.6,0,0.6,0.8,0.1,0,1,1.3,0.8,2.2,2.5,1,18.7,69.1,0,0.4,Nantes,Ligue1
24854,fr,Rémy Riou,28, GK,189,81,31,0,2790,0,0,2,0,0,58.1,0,0.2,6.65,0.1,0,0,0,0.7,0,0,0,0,0.2,0,0,0.1,0,28.7,58.1,0,9.7,Nantes,Ligue1
73132,us,Alejandro Bedoya,29," AM(CR),FW",178,73,22,6,2055,3,3,1,1,1.6,81.4,0,1.3,6.65,1.4,0.9,1.8,0,0.7,0.8,0.1,0,1,0.5,0.4,1.1,1.5,1,30.3,81.4,0.5,0.6,Nantes,Ligue1
69611,al,Ermir Lenjani,26," D(L),M(L)",175,65,15,5,1390,1,1,2,1,1,72.1,0,1.1,6.63,1.4,1,1.1,0.2,1.1,0.5,0,0,1.2,1.1,0.2,1.1,0.7,1.2,22.2,72.1,1.7,1.4,Nantes,Ligue1
