player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
10194,fr,Hatem Ben Arfa,29," M(CR),FW",177,69,33,1,2844,17,6,2,0.0,2.7,79.7,5,0.2,7.58,0.4,0.3,0.9,0,0.1,0.4,0,0,1,1.4,0.3,2.5,2.1,1,36.7,79.7,1,1.9,Nice,Ligue1
120763,pt,Ricardo Pereira,22, D(LR),175,70,26,0,2281,0,4,6,0.0,0.1,84.4,5,1.9,7.48,3.9,2.9,1.2,0.2,2.7,1.5,0.1,0.0,0.6,1.6,0,1,1,0.6,50.5,84.4,0.6,2.4,Nice,Ligue1
42248,fr,Jérémy Pied,27," D(LR),M(CLR)",173,69,33,0,2961,0,3,10,0.0,0.7,79.7,3,1.3,7.29,3.6,3.1,1.2,0.2,2.1,1.2,0.1,0.0,1,1.3,0,0.9,1,1,51.9,79.7,0.7,1.4,Nice,Ligue1
27756,fr,Paul Baysse,28, D(CR),187,85,29,1,2584,0,0,2,1,0.4,88.4,3,4.1,7.20,1.5,2.3,0.7,0.3,5.5,0.4,0.4,0,0,0.8,0.2,0.2,0.1,0,55.6,88.4,0,2.8,Nice,Ligue1
108585,fr,Alassane Pléa,23," AM(R),FW",181,79,17,2,1414,6,4,1,0,2.4,77.5,2,0.3,7.07,0.9,0.2,1.6,0,0.3,0.5,0.1,0,0.6,1.6,0.8,2.8,1.6,0.6,25.9,77.5,0.2,0.3,Nice,Ligue1
93917,fr,Valère Germain,26," AM(L),FW",180,73,36,2,3122,14,6,3,0,1.6,76.2,3,1.8,7.07,0.8,0.5,0.4,0,1.2,0.6,0.1,0,1.2,1.1,0.5,1,1.9,1.2,28.1,76.2,0.1,0.7,Nice,Ligue1
136262,ci,Jean Michael Seri,24, M(C),168,65,35,3,3113,3,6,2,0,1.3,88.9,0,0.6,7.01,1.3,0.9,0.8,0,0.5,0.8,0.1,0,1.3,1.5,0.1,1.7,1.2,1.3,71.3,88.9,0.6,4.5,Nice,Ligue1
236523,fr,Maxime Le Marchand,26, D(C),185,77,26,0,2197,1,0,5,1,0.2,85.5,1,2.6,6.98,1.2,3.2,1.2,0.5,3,0.5,0.3,0,0.1,0.4,0.1,0.3,0.2,0.1,54.8,85.5,0,3.8,Nice,Ligue1
34218,fr,Romain Genevois,28, D(CR),182,79,10,4,1007,1,0,4,0,0.1,87.5,1,1.5,6.97,2.5,2.5,0.9,0.1,2.9,0.5,0.4,1,0.2,0.6,0.1,0.2,0.7,0.2,47.4,87.5,0.1,2.8,Nice,Ligue1
238921,fr,Vincent Koziello,20, M(C),168,58,32,3,2717,3,6,9,0,0.4,91.3,1,0.2,6.97,3.1,1.2,1.5,0,0.4,2,0.1,0.0,0.9,0.9,0,1,1.5,0.9,48.6,91.3,0.2,0.7,Nice,Ligue1
236520,fr,Mickael Le Bihan,26, Forward,184,80,1,2,137,1,1,0,0,2.3,75,0,0.7,6.91,0.3,0,0,0,0,0.7,0,0,1,0,0,1.7,0.3,1,17.3,75,0,0,Nice,Ligue1
260809,fr,Olivier Boscagli,18, D(L),181,68,8,3,773,1,0,3,1,0.2,84,0,1,6.84,1.7,2.7,0.8,0.2,3.7,0.6,0.2,0,0.2,1.5,0,0.5,0.2,0.2,43.7,84,0.3,2.7,Nice,Ligue1
90278,fr,Nampalys Mendy,23, M(C),168,68,38,0,3392,1,2,2,1,0.2,92.1,0,0.2,6.84,1.7,2.2,1,0,0.6,0.4,0.2,0,0.2,1.5,0,0.7,0.7,0.2,77.6,92.1,0,4.1,Nice,Ligue1
6476,fr,Mathieu Bodmer,33," D(C),M(C)",190,90,16,3,1357,1,1,3,0,0.2,83.8,0,2.2,6.81,1.8,1.7,1.3,0.5,2.8,0.5,0.3,0,0.6,0.6,0.2,0.4,0.5,0.6,48,83.8,0,2.3,Nice,Ligue1
