player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
19664,fr,Nicolas Douchez,36, GK,186,81,1,0.0,90,0.0,0.0,0.0,0.0,0.0,91.7,0.0,1,8.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,91.7,0,4,Paris Saint Germain,Ligue1
3281,se,Zlatan Ibrahimovic,34, FW,195,95,29,2,2553,38,13,1,0.0,5,78.9,14,1.4,8.29,0.5,0.2,0.9,0,0.9,0.4,0.1,0,1.5,1.1,1.6,1.7,2.2,1.5,44.2,78.9,0,1.6,Paris Saint Germain,Ligue1
23110,ar,Ángel Di María,28, M(CLR),180,75,26,3,2134,10,18,0,0.0,2.4,80.5,5,0,7.94,0.4,0.7,0.2,0,0,1.2,0,0,3.4,1,0.4,1.7,1.9,3.4,53.2,80.5,2.1,3.5,Paris Saint Germain,Ligue1
92795,fr,Layvin Kurzawa,23, D(L),182,74,14,2,1287,3,5,1,0.0,1,89.9,1,1.9,7.90,2.9,3.3,0.9,0.3,2.1,0.6,0.2,0.0,0.9,0.5,0.1,1.1,1.1,0.9,50.1,89.9,0.6,0.6,Paris Saint Germain,Ligue1
83683,ci,Serge Aurier,23," D(CLR),M(R)",176,76,21,0,1887,2,2,8,0.0,1,88.4,0,2.8,7.75,4,3.4,1.7,0.2,3.2,1.3,0.1,0.0,0.6,1,0.2,1.2,1.7,0.6,55,88.4,0.5,1.2,Paris Saint Germain,Ligue1
28550,br,Thiago Silva,31, D(C),183,79,29,1,2622,1,1,3,0.0,0.5,94.6,2,2.4,7.65,1.7,3.1,0.6,0.6,4.8,0.5,0.7,0.0,0.3,0.8,0,0.1,0.1,0.3,80.6,94.6,0.1,3.7,Paris Saint Germain,Ligue1
44178,nl,Gregory Van der Wiel,28, D(R),181,69,16,1,1381,2,3,2,0.0,0.5,89.8,0,1,7.45,2.4,3,0.8,0.1,1.9,1.1,0.2,0.0,0.7,0.5,0,0.7,0.8,0.7,54,89.8,0.3,1.2,Paris Saint Germain,Ligue1
22627,it,Salvatore Sirigu,29, GK,192,80,2,1,225,0,0,0,0.0,0,80,0,0,7.42,0,0,0,0,0.7,0,0,0,0,0,0,0,0.3,0,23.3,80,0,3.7,Paris Saint Germain,Ligue1
92508,br,Lucas Moura,23, AM(CLR),172,72,26,10,2328,9,4,3,0.0,1.8,85.1,1,0.9,7.40,1.3,0.8,0.8,0,0.1,0.9,0,0,1.6,1.6,0.2,1.9,1.8,1.6,33.9,85.1,0.7,0.4,Paris Saint Germain,Ligue1
128048,fr,Hervin Ongenda,20, AM(L),170,65,4,1,350,1,1,0,0.0,1,87.9,0,0.2,7.31,0.8,1.4,0.6,0,0,1,0,0,1.4,2,0.4,1.8,0.6,1.4,51.4,87.9,1.4,1,Paris Saint Germain,Ligue1
247800,fr,Presnel Kimpembe,20, D(C),183,67,5,1,426,0,0,1,0.0,0,92.5,0,1.2,7.28,2.2,2.3,0.8,0.5,3.8,0.3,0.7,0.0,0.2,0.2,0,0.2,0.3,0.2,64.3,92.5,0,1.8,Paris Saint Germain,Ligue1
24328,uy,Edinson Cavani,29," AM(LR),FW",184,71,24,8,2305,19,5,3,0.0,2.7,85.4,2,0.3,7.27,0.6,0.4,0.9,0,0.3,0.9,0.2,0,0.8,0.7,1.2,0.5,1.4,0.8,24.8,85.4,0.1,1,Paris Saint Germain,Ligue1
116609,fr,Adrien Rabiot,21, DMC,188,71,19,5,1616,1,1,3,1,0.6,90.8,1,1.5,7.26,2.5,1.9,1.5,0,0.6,1.6,0.1,0.0,0.3,1,0,1.3,1,0.3,60,90.8,0.2,2.3,Paris Saint Germain,Ligue1
17778,fr,Blaise Matuidi,29, M(C),175,70,23,8,2064,4,6,4,0,0.5,91.8,2,0.6,7.18,2.4,1.5,1.4,0,0.4,1.1,0.1,0.0,0.9,0.9,0.2,1.1,1.6,0.9,52.8,91.8,0.3,0.8,Paris Saint Germain,Ligue1
41220,ar,Javier Pastore,27, AM(CLR),187,78,11,5,877,2,6,1,0,1.3,82.3,1,0.2,7.17,0.9,0.4,0.6,0,0.1,1.6,0,0,1.8,0.9,0.1,1.2,0.8,1.8,54.9,82.3,0.1,2.3,Paris Saint Germain,Ligue1
27586,br,David Luiz,29," D(C),DMC",189,84,23,2,2088,1,2,4,0,0.6,92.1,1,1.2,7.16,1.2,2.4,0.8,0.4,3,0.6,0.3,0,0.4,0.7,0,0.2,0.5,0.4,75,92.1,0.1,3.2,Paris Saint Germain,Ligue1
4871,br,Maxwell,34, D(L),176,73,24,4,2223,3,3,0,0,0.4,91.2,1,0.8,7.14,1.3,1.5,0.4,0.1,1.4,0.6,0.1,0,1,0.4,0.3,0.4,0.6,1,54.7,91.2,0.8,1.5,Paris Saint Germain,Ligue1
91961,it,Marco Verratti,23, DMC,165,60,11,7,1064,0,3,2,0,0.1,93,0,0.2,7.08,1.7,1.4,0.7,0,0.2,1.9,0.1,1,1.1,1.8,0,1.4,0.4,1.1,82.2,93,0,3.1,Paris Saint Germain,Ligue1
