player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
78443,fr,Nicolas de Preville,25," AM(LR),FW",182,77,34,2,2926,6,9,4,0.0,2.5,68.2,8,1.3,7.27,1.1,1,1.8,0,0.1,0.6,0,0,2.1,2.6,0.4,2.3,2.9,2.1,26,68.2,1.4,1.1,Reims,Ligue1
289018,ml,Hamari Traore,24," D(R),M(R)",174,57,32,1,2912,2,1,9,1,0.5,76.3,1,1.6,7.07,2.6,3.3,1.3,0.3,1.9,1.4,0.2,0.0,1,0.8,0.1,0.5,1.1,1,40,76.3,0.8,2.2,Reims,Ligue1
90115,dz,Aissa Mandi,24, D(CLR),184,78,32,0,2860,5,1,3,1,0.6,82.4,3,2.1,7.00,1.3,3.4,0.7,1,5,0.4,0.6,0,0.1,0.7,0,0.1,0.2,0.1,43.3,82.4,0,4.8,Reims,Ligue1
18078,ge,Jaba Kankava,30, DMC,176,75,27,0,2338,0,1,11,1,0.4,80.9,1,1.2,6.99,3.6,3.2,1.6,0.1,1.1,1.8,0.1,0.0,0.6,1.9,0,1.5,0.5,0.6,44.8,80.9,0.1,2.3,Reims,Ligue1
32169,fr,Anthony Weber,29, D(C),190,82,19,0,1596,1,0,5,0,0.2,84,0,2.4,6.94,1.4,2.8,0.5,0.5,4.5,0.6,0.5,0,0.1,0.8,0,0.2,0.2,0.1,40.7,84,0,4.9,Reims,Ligue1
6046,fr,Franck Signorino,34," D(L),M(L)",175,69,29,0,2561,0,2,5,0,0,74.5,0,1.5,6.86,1.7,2.1,0.8,0.3,3,0.7,0.6,0.0,0.6,1.2,0,0.7,0.8,0.6,36.9,74.5,0.3,1.4,Reims,Ligue1
35563,fr,Antoine Devaux,31, M(C),185,70,33,0,2819,1,1,6,3,0.7,81.5,1,2.5,6.80,2.4,1.9,1.3,0,0.9,1.4,0.3,0.0,0.6,1,0,0.6,1.2,0.6,41.9,81.5,0.2,1.7,Reims,Ligue1
29659,br,Diego,28, AM(LR),179,80,15,8,1449,3,3,4,0,1.6,69.8,0,1.3,6.72,1,1.1,1.5,0,0.4,0.6,0,0,1.2,1.8,0.3,0.8,1,1.2,22.9,69.8,1.1,1,Reims,Ligue1
124287,fr,Antoine Conte,22, D(CR),179,72,11,0,920,0,0,4,0,0.8,80,0,1.2,6.69,1.7,2,0.9,0.5,2.9,0.5,0.1,0.0,0.2,0.4,0,0.1,0.4,0.2,38.6,80,0.3,2.3,Reims,Ligue1
31241,fr,Mickaël Tacalfred,35, D(C),175,69,14,1,1166,0,0,2,0,0.3,81.6,0,1.5,6.68,1.5,3.2,1.3,0.5,2.9,0.3,0.2,0.0,0.1,0.5,0.1,0.1,0.3,0.1,38.7,81.6,0.1,3.8,Reims,Ligue1
40842,ma,Abdelhamid El Kaoutari,26, D(CL),180,81,7,1,644,0,0,0,0,0.3,78,0,1,6.67,0.9,2.3,0.8,0.8,3.6,0.4,0.8,0,0.3,1,0,0.3,0.4,0.3,35.8,78,0.1,2.8,Reims,Ligue1
18518,fr,Mohamed Fofana,31, D(C),181,75,12,1,983,0,2,2,0,0.2,84.2,0,1.5,6.66,0.5,2.9,0.6,0.8,4,0.5,0.2,0,0.2,0.5,0,0.2,0.2,0.2,29.6,84.2,0,2,Reims,Ligue1
80802,fr,Atila Turan,24," D(L),M(L)",176,79,8,3,746,2,0,3,0,1.3,69.9,0,0.6,6.65,1,1.5,0.5,0.4,1.1,0.9,0,0,0.3,0.3,0.2,0.7,0.7,0.3,23.3,69.9,0.7,1.3,Reims,Ligue1
104247,fr,Alexis Peuget,25, DMC,186,75,8,4,668,0,0,3,0,0.5,78.5,0,1.8,6.64,2.1,1.6,1.6,0,0.8,1.3,0.4,0.0,0.4,1,0,0.7,0.6,0.4,31,78.5,0.3,1.9,Reims,Ligue1
34069,fr,Johny Placide,28, GK,181,89,17,2,1617,0,0,0,0,0,51.9,1,0.6,6.63,0,0.2,0,0,0.8,0.1,0,0,0.1,0.2,0,0,0.1,0.1,25.8,51.9,0,8,Reims,Ligue1
99196,cg,Thievy,24," AM(LR),FW",182,74,10,4,939,4,1,2,0,1.3,72.6,0,0.6,6.63,0.7,0.2,1.4,0,0,0.4,0,0,0.7,1.4,0.9,2.4,3.7,0.7,18.5,72.6,0.2,0.1,Reims,Ligue1
