player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
299513,fr,Ousmane Dembele,19, AM(CLR),177,61,22,4,1937,12,5,1,0.0,2.2,72.3,7,0.3,7.55,0.8,0.7,0.1,0,0.1,0.6,0,0,1.7,1.2,0.3,2.3,2.5,1.7,23.2,72.3,0.9,0.6,Rennes,Ligue1
43415,fr,Benjamin André,25," D(R),M(CLR)",180,76,30,2,2639,0,2,3,0.0,0.7,80.1,2,4,7.25,3.6,1.9,1.5,0.0,1.3,1.6,0.3,0.0,0.8,2.2,0.1,2.4,1.2,0.8,59.2,80.1,0.1,3.1,Rennes,Ligue1
43031,sn,Fallou Diagne,26, D(CR),185,80,21,1,1860,5,0,7,0.0,0.7,79.6,1,2.5,7.02,1.8,3,1.5,0.8,4,0.5,0.5,1,0.1,0.6,0.1,0.2,0.3,0.1,41.2,79.6,0,4.1,Rennes,Ligue1
29594,sn,Cheikh M'Bengue,27, D(L),183,80,21,2,1897,0,0,2,0.0,0.2,83.2,0,2.3,6.99,2.6,2.1,1.4,0.3,2.2,0.5,0.2,0.0,0.4,1,0.2,0.9,0.6,0.4,41.2,83.2,0.2,1.3,Rennes,Ligue1
93307,fr,Paul-Georges Ntep,23," AM(L),FW",180,75,11,3,927,2,3,1,0.0,1.5,72,1,0.6,6.98,0.6,0.4,0.6,0,0.3,0.6,0.1,0,1.5,1.6,0.4,1.6,1.9,1.5,24,72,1.2,0.7,Rennes,Ligue1
1735,fr,Sylvain Armand,35, D(CL),182,82,33,1,2991,1,1,5,0.0,0.4,81.2,0,1.4,6.87,1.6,2.9,0.6,0.6,3.4,1,0.4,0,0.4,0.5,0,0.4,0.1,0.4,50.7,81.2,0,5.4,Rennes,Ligue1
22418,ch,Gelson Fernandes,29, DMC,179,70,33,0,2902,1,1,8,0.0,0.2,88.5,0,0.8,6.87,3.9,2.4,1.6,0.0,0.6,1.7,0.4,0.0,0.2,0.5,0,0.8,0.5,0.2,47,88.5,0,1,Rennes,Ligue1
67474,pt,Pedro Mendes,25, D(CR),187,78,21,1,1853,0,0,5,0.0,0.4,82.7,0,1.2,6.84,1.6,2.3,1.2,0.6,3.5,0.5,0.6,0,0.3,1.4,0,0.2,0.6,0.3,40.6,82.7,0.2,2.7,Rennes,Ligue1
77931,ml,Yacouba Sylla,25, DMC,184,80,18,2,1500,0,1,4,1,0.5,82.2,0,1.5,6.84,2.6,1.7,1.7,0,1.3,0.6,0.1,0.0,0.5,1,0.1,1.6,1.2,0.5,43.5,82.2,0.2,4.5,Rennes,Ligue1
23618,fr,Romain Danze,29," D(R),M(CR)",184,73,19,2,1617,0,3,3,0,0.3,76.3,0,1.8,6.82,1.5,2.2,0.4,0.3,2.5,1,0.3,0,0.7,0.3,0.2,0.4,0.4,0.7,39.8,76.3,0.2,2,Rennes,Ligue1
116317,ml,Abdoulaye Doucouré,23, M(C),183,75,11,5,944,2,2,1,0,1.3,86.3,1,0.6,6.76,1.3,0.9,0.6,0,0.4,0.8,0,0,1.3,0.3,0.3,1.8,0.8,1.3,35.3,86.3,0.1,0.6,Rennes,Ligue1
34011,fr,Ludovic Baal,30," D(L),M(L)",176,72,18,4,1521,0,3,0,0,0.1,82,0,1.1,6.76,2,1.1,0.9,0.1,1,0.8,0.1,0.0,0.7,1,0,1.7,1.1,0.7,35.6,82,0.5,0.9,Rennes,Ligue1
