player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
56720,fr,Julian Palmieri,29," D(L),M(L)",170,64,33,1,2944,2,2,9,0.0,0.5,75.7,2,1.3,7.04,3,2.6,1.2,0.4,1.7,1.6,0.2,0.0,0.6,1.5,0.2,1.1,0.9,0.6,37.4,75.7,0.5,2.4,SC Bastia,Ligue1
121711,fr,Alexander Djiku,21, D(CR),182,74,19,1,1513,0,0,6,1,0.1,69.1,1,2.6,7.03,3.1,2.2,1.5,0.5,3.5,0.8,0.1,0.0,0.2,1.3,0,0.4,0.4,0.2,27.1,69.1,0.2,1.2,SC Bastia,Ligue1
83572,gn,Sadio Diallo,25," AM(CL),FW",182,75,9,6,716,2,2,2,0,1.1,77.9,2,1.9,6.94,0.8,0.6,0.9,0,0.5,0.5,0,0,1.5,2.3,0,1.1,1.4,1.5,23.8,77.9,0.8,1.4,SC Bastia,Ligue1
104220,fr,Thomas Vincensini,22, Goalkeeper,184,79,1,1,118,0,0,0,0,0,42.9,0,1,6.94,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,21,42.9,0,8.5,SC Bastia,Ligue1
3929,fr,Sébastien Squillaci,35, D(C),185,80,29,2,2667,2,2,3,0,0.4,81.5,2,1.7,6.93,1.3,1.9,0.5,1,7,0.4,0.5,0,0.1,0.6,0.2,0,0.2,0.1,26.8,81.5,0,1.9,SC Bastia,Ligue1
23353,fr,Yannick Cahuzac,31, DMC,178,70,29,2,2548,2,1,13,2,0.4,80.3,0,1.5,6.90,2.7,2.6,1.6,0.2,1.6,1.1,0.2,0.0,0.4,1,0,0.8,0.7,0.4,35.2,80.3,0.1,2,SC Bastia,Ligue1
34182,fr,Jean-Louis Leca,30, GK,180,75,34,0,2990,0,0,2,1,0,46.2,1,0.4,6.83,0,0.1,0.1,0,0.9,0.1,0,0,0,0.2,0,0,0.1,0,29.5,46.2,0,9.4,SC Bastia,Ligue1
42572,tg,Floyd Ayité,27," M(CLR),FW",174,68,30,2,2628,8,3,2,1,2.3,78.1,2,1.3,6.81,1.1,0.7,1.7,0,0.1,0.7,0.1,0,1,1.7,0.5,2,1.9,1,24.8,78.1,0.5,0.8,SC Bastia,Ligue1
68884,fr,Mathieu Peybernes,25, D(C),187,80,23,2,2043,0,0,3,0,0,73.8,0,0.8,6.79,1.8,2.6,0.4,0.6,4.5,0.6,0.5,0.0,0.1,1.3,0,0.3,0.4,0.1,28.6,73.8,0,2.3,SC Bastia,Ligue1
1776,fr,Gaël Danic,34, AM(CLR),176,65,32,5,2704,5,4,7,0,1.1,70.4,1,0.7,6.78,1.3,0.8,1,0,0.2,1.3,0,0,1.5,0.8,0.3,1,1.5,1.5,27.8,70.4,1.2,2.5,SC Bastia,Ligue1
254562,fr,Seko Fofana,21, M(C),183,74,25,7,2303,1,2,3,1,1.1,86.1,1,0.7,6.78,1.4,1.1,1.2,0,0.7,1.1,0.1,0,0.5,1,0,1.8,1.3,0.5,35.8,86.1,0,2.1,SC Bastia,Ligue1
