player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
13436,fr,Loic Perrin,30, D(C),180,76,24,0.0,2103,3,1,0.0,1,0.6,84.4,2,4.6,7.35,2.3,2.1,0.8,0.9,4.7,0.7,0.5,0.0,0.2,1.1,0.1,0,0.5,0.2,53.6,84.4,0,2.8,Saint-Etienne,Ligue1
86512,fr,Kevin Malcuit,24, D(R),178,77,9,0.0,712,0,1,1,2,0.2,70.2,1,2.1,7.06,3.4,3.1,1.4,0.0,1.8,0.3,0.2,0.0,0.4,1.4,0,1.1,1.7,0.4,30.6,70.2,0.3,1.7,Saint-Etienne,Ligue1
25602,sn,Moustapha Bayal Sall,30, D(C),191,90,27,1,2359,3,0,8,1,0.5,79.1,1,1.5,7.02,2,1.8,1.3,0.8,5,0.2,0.5,0.0,0.1,0.8,0.1,0.1,0.3,0.1,43.4,79.1,0,3.9,Saint-Etienne,Ligue1
300608,fr,Ronael Pierre Gabriel,18, Defender,0,0,4,1,329,0,0,0,0,0,73.1,1,0.8,6.98,3,3.4,0.8,0.0,1.2,0.4,0,0.0,0.2,0.8,0,0.4,0.4,0.2,32,73.1,0.2,1.4,Saint-Etienne,Ligue1
82348,gn,Florentin Pogba,25, D(C),188,88,21,3,1947,0,1,1,0,0.4,80.6,0,3.2,6.96,1.1,2.7,0.7,0.4,4.6,0.4,0.5,0.0,0.3,0.4,0.1,0.5,0.5,0.3,40.6,80.6,0,3.9,Saint-Etienne,Ligue1
115869,ma,Oussama Tannane,22," AM(LR),FW",178,80,7,3,606,2,1,2,0,2,73.5,0,0.2,6.93,1.6,0.7,1.8,0,0.1,0.6,0,0.0,1.1,2.1,0.2,1.3,1.5,1.1,19.6,73.5,1,0.3,Saint-Etienne,Ligue1
69807,fr,Kévin Théophile-Catherine,26, D(CLR),183,85,22,0,1980,1,1,2,0,0.3,71.1,2,1.8,6.93,1.2,1.7,1.2,0.4,2.5,0.5,0.4,0.0,0.7,1.2,0,0.5,1.2,0.7,34.9,71.1,0.8,2,Saint-Etienne,Ligue1
10193,fr,Jérémy Clément,31, M(C),180,78,25,2,2224,0,1,6,0,0,86.2,0,0.9,6.89,3.1,2.1,1.4,0.0,1.2,1.8,0.4,0.0,0.4,0.5,0,0.4,0.6,0.4,48.1,86.2,0,1.4,Saint-Etienne,Ligue1
11100,fr,Francois Clerc,33, D(R),187,77,10,0,872,0,1,0,0,0.4,74.6,0,1.7,6.86,2.6,1.6,0.4,0.5,2.5,0.6,0.1,0.0,0.5,0.6,0,0.4,0.5,0.5,39.4,74.6,0.4,2.7,Saint-Etienne,Ligue1
90061,fr,Vincent Pajot,25, M(C),176,64,19,9,1750,1,1,6,0,0.9,83.3,1,2.4,6.83,2,1.9,1.5,0,1.2,0.6,0.2,0.0,0.5,1,0.1,0.6,0.9,0.5,29.9,83.3,0,1.2,Saint-Etienne,Ligue1
11580,cm,Benoit Assou-Ekotto,32, D(L),178,69,19,1,1704,0,0,1,0,0.6,70.7,0,1,6.81,1.4,2.3,1.1,0.2,1.5,0.7,0.1,0.0,0.6,1,0,0.7,0.7,0.6,41,70.7,0.5,3.8,Saint-Etienne,Ligue1
25608,fr,Stéphane Ruffier,29, GK,188,91,38,0,3420,0,0,4,0,0,56,2,0.2,6.78,0,0.1,0.1,0,0.9,0.1,0,0.0,0,0.1,0,0,0,0,28.4,56,0,6.9,Saint-Etienne,Ligue1
11908,fr,Renaud Cohade,31, M(C),182,75,14,5,1150,0,2,3,0,0.6,72.7,2,1.5,6.72,2.6,0.7,1.4,0.1,0.2,1.5,0.1,0.0,1.1,0.3,0.1,0.8,1.2,1.1,33.9,72.7,1.2,1.8,Saint-Etienne,Ligue1
93721,fr,Valentin Eysseric,24, AM(CLR),177,77,19,10,1726,6,4,6,0,1.3,77.2,1,0.5,6.72,0.6,0.6,1.4,0,0.2,0.7,0.1,0.0,1.5,1.1,0,1.1,2,1.5,26.3,77.2,1.4,1.1,Saint-Etienne,Ligue1
78023,fr,Romain Hamouma,29, M(LR),177,67,17,7,1599,3,3,4,0,1.5,72.4,1,0.8,6.70,0.7,0.5,1,0,0.5,0.6,0,0.0,1.5,1.5,0.1,1.3,1.8,1.5,20.4,72.4,1,0.8,Saint-Etienne,Ligue1
