player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
105347,ci,Jean-Daniel Akpa-Akpro,23," D(R),M(CLR)",180,71,29,4,2557,1,4,12,0.0,0.5,76.1,1,1.2,7.03,4.1,1.8,1.7,0.0,1.3,1.1,0.1,0.0,0.7,1.2,0.1,1.5,1.4,0.7,32.6,76.1,0.2,0.6,Toulouse,Ligue1
132775,fr,Marcel Tisserand,23," D(CR),M(R)",188,80,32,1,2844,1,0,5,1,0.3,77.3,1,2,6.99,2.4,2.7,1.1,0.2,4.6,0.4,0.3,0,0.4,0.6,0.1,0.6,0.5,0.4,34.6,77.3,0.5,2.5,Toulouse,Ligue1
16942,ar,Óscar Trejo,28, M(CR),180,79,23,11,2177,4,4,6,1,1.2,76.2,2,0.5,6.98,2,0.9,1.6,0,0.1,1.2,0,0,1.6,1.6,0,2.8,2.1,1.6,34.1,76.2,0.9,0.5,Toulouse,Ligue1
89946,fr,Wissam Ben Yedder,25," AM(C),FW",170,68,34,1,2896,17,5,2,0,2.7,72.8,4,0.6,6.96,0.7,0.5,0.7,0,0.2,0.5,0,0,0.9,1.3,1.3,1.6,1.9,0.9,26.5,72.8,0.4,0.3,Toulouse,Ligue1
108329,br,Somália,27, D(R),180,73,24,3,2095,0,2,2,0,0.4,79,1,1.1,6.95,3.3,2.1,1,0.1,2.3,1.1,0.2,0.0,0.4,1.3,0.1,1.6,1.2,0.4,26.5,79,0.2,0.5,Toulouse,Ligue1
136238,ch,François Moubandje,26, D(CL),180,74,20,3,1872,0,0,4,1,0.2,69.9,1,2.3,6.93,1.9,2.1,0.8,0.1,2.9,0.4,0.3,0,0.6,1.3,0,1,0.7,0.6,31.9,69.9,0.5,1.3,Toulouse,Ligue1
71382,ml,Tongo Doumbia,26, M(C),191,79,22,3,1896,1,1,5,1,1.3,83.4,1,3,6.93,2.7,1.3,1.7,0,0.7,0.9,0.1,0.0,0.5,1.5,0.1,1.5,1.2,0.5,37.6,83.4,0.4,0.9,Toulouse,Ligue1
300359,,Issa Diop,18, D(C),193,84,21,0,1890,1,0,4,2,0.2,75.5,0,1.8,6.88,1.5,2.6,1.3,0.6,5.7,0.5,0.7,0,0.1,0.6,0.1,0.4,0.4,0.1,35.4,75.5,0,2.5,Toulouse,Ligue1
256220,fr,Alexis Blin,19, DMC,184,78,15,9,1404,0,0,5,0,0.5,79.3,0,1.8,6.87,2.4,2.2,0.9,0,1.6,1,0.2,0,0.5,1.5,0,0.5,0.5,0.5,30.8,79.3,0.1,0.5,Toulouse,Ligue1
6776,fr,Étienne Didot,32, M(C),175,69,21,2,1660,0,2,1,0,0.5,71.2,1,1.6,6.83,1.9,2.1,1.4,0,1.1,0.8,0,0,1.2,1.2,0,1.4,0.7,1.2,48.4,71.2,0.8,3.3,Toulouse,Ligue1
41230,br,William Matheus,26, D(L),187,85,14,0,1247,0,1,2,0,0,75.2,0,1.6,6.80,2.4,0.9,0.8,0.1,2.9,0.7,0.1,0,0.6,1.8,0.1,0.9,0.6,0.6,31.1,75.2,0.6,1.1,Toulouse,Ligue1
73494,dk,Martin Braithwaite,25," AM(LR),FW",180,77,33,3,2938,11,0,1,0,3,79,0,0.9,6.77,0.4,0.3,0.9,0,0.6,0.2,0,0,0.7,1.3,0.4,1.7,2.3,0.7,17.8,79,0.3,0.2,Toulouse,Ligue1
36413,cm,Jean-Armel Kana-Biyik,26, D(C),184,86,17,1,1463,2,0,0,1,0.4,84.6,1,1.5,6.70,1.3,2.1,0.7,0.4,4.6,0.3,0.3,0,0.2,0.9,0.1,0.1,0.3,0.2,36.1,84.6,0.1,1.6,Toulouse,Ligue1
109943,bf,Steeve Yago,23, D(CR),180,72,16,3,1447,0,0,3,1,0.1,81,0,0.7,6.68,2.6,2.4,1.1,0.4,2.6,0.3,0.4,1,0.2,0.8,0,0.4,0.4,0.2,26.1,81,0.1,1.2,Toulouse,Ligue1
15729,rs,Pavle Ninkov,31," D(R),M(R)",181,80,5,5,511,0,1,0,0,0.1,73.2,0,0.7,6.66,1.6,2.2,0.6,0,2.1,0.7,0.1,0,0.4,0.4,0.1,0.3,0.3,0.4,16.8,73.2,0.4,0.6,Toulouse,Ligue1
300590,fr,Alban Lafont,17, GK,193,80,24,0,2145,0,0,0,0,0,42.8,1,0.4,6.60,0,0.1,0,0,1,0,0,0,0,0.3,0,0,0,0,25.7,42.8,0,5.5,Toulouse,Ligue1
82343,fr,Adrien Regattin,24, M(CLR),168,66,16,18,1511,1,4,5,0,1,75.5,0,0.3,6.56,0.8,0.7,0.7,0,0.2,0.6,0.1,0,1.1,1.3,0.1,1.5,1.3,1.1,21.9,75.5,1.3,1,Toulouse,Ligue1
280677,fr,Zinedine Machach,20, M(C),185,74,11,6,860,1,1,4,0,0.4,78.7,0,0.6,6.56,1.5,0.8,2,0,0.1,1,0,0,0.5,0.4,0.1,1.7,1.3,0.5,22.9,78.7,0.1,0.9,Toulouse,Ligue1
231149,fr,Yann Bodiger,21, DMC,188,78,12,10,1075,1,0,8,0,0.5,75.5,0,1.2,6.56,1.7,2,0.9,0,0.7,1.1,0,0,0.4,0.4,0,0.6,0.5,0.4,31.2,75.5,0,1.6,Toulouse,Ligue1
