player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
25244,cl,Alexis Sánchez,27," M(LR),FW",168,62,28,2,2446,13,4,1,0.0,3.6,79.6,6,0.7,7.72,1.6,0.8,1.1,0,0.2,0.8,0.1,0.0,2.1,2.2,0.4,3.3,2.4,2.1,47.8,79.6,0.4,2.4,Arsenal,PremierLeague
13756,de,Mesut Özil,27, M(CLR),183,76,35,0,3049,6,19,4,0.0,1.4,86.3,6,0.1,7.66,1,0.6,0.6,0,0.3,1.2,0,0.0,4.2,1.2,0.4,1.7,2,4.2,65.1,86.3,2.6,1.5,Arsenal,PremierLeague
4522,es,Santi Cazorla,31, M(CLR),168,66,15,0,1293,0,3,2,1,1.6,90.2,1,0.1,7.53,1.9,1.7,0.9,0,1,1.8,0.1,0.0,2.5,0.9,0.1,1.3,0.9,2.5,81.9,90.2,1,3.5,Arsenal,PremierLeague
30051,fr,Laurent Koscielny,30, D(C),186,75,33,0,2847,4,0,3,0,0.6,87.1,3,3.2,7.48,1.4,3.8,0.9,0.9,5.6,0.4,0.8,0.0,0.2,0.8,0,0.4,0.5,0.2,51.3,87.1,0,2.5,Arsenal,PremierLeague
23072,es,Nacho Monreal,30, D(CL),178,72,36,1,3248,0,3,1,0,0.3,85.4,1,1.9,7.26,2.1,2.9,0.8,0.2,3.1,0.8,0.3,0.0,0.8,1.1,0.1,0.3,0.6,0.8,49.9,85.4,0.5,1,Arsenal,PremierLeague
76810,br,Gabriel Paulista,25, D(C),185,72,18,3,1762,1,0,4,1,0.5,90.2,0,2.4,7.23,2,2.9,0.4,1,5.4,0.5,0.6,0.0,0,0.5,0,0.3,0.4,0,52.9,90.2,0,1.6,Arsenal,PremierLeague
26820,gb,Aaron Ramsey,25, M(CR),178,76,29,2,2624,5,4,4,0,2.2,86.1,2,0.9,7.21,2.5,1.8,1.5,0.0,0.6,2.1,0.4,0.0,1.2,1.5,0.2,2.2,2,1.2,69.5,86.1,0.4,1.9,Arsenal,PremierLeague
125211,es,Héctor Bellerín,21," D(R),M(R)",177,74,36,0,3240,1,5,3,0,0.4,85.7,1,1.1,7.20,1.6,1.9,0.5,0,2.4,0.6,0.2,0.0,0.7,0.2,0,1,0.9,0.7,46.9,85.7,0.5,0.9,Arsenal,PremierLeague
36745,co,David Ospina,27, GK,183,80,4,0,360,0,0,0,0,0,56.4,0,0,7.11,0,0,0,0,0.3,0,0,0,0,0.3,0,0,0,0,27.5,56.4,0,9,Arsenal,PremierLeague
69738,fr,Francis Coquelin,25, M(CL),178,74,21,5,1647,0,0,5,1,0.3,89.1,1,0.7,7.10,2.8,2.9,0.9,0.0,0.8,0.8,0.3,0.0,0.2,0.9,0,0.7,0.5,0.2,42.9,89.1,0.1,2.2,Arsenal,PremierLeague
24444,fr,Olivier Giroud,29, FW,192,88,26,12,2431,16,6,2,0,2.7,68.1,1,2.7,7.07,0.9,0.3,1.1,0,0.7,0.6,0.1,1,0.9,0.9,0.7,1.2,2.2,0.9,22.1,68.1,0.1,0.2,Arsenal,PremierLeague
