player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
134902,fr,Jordan Amavi,22, D(L),176,70,9,1,836,0.0,2,2,0.0,0.5,78.9,3,2,7.48,3.6,3.7,1.8,0.2,3.2,1.1,0.3,0.0,0.7,1.1,0,0.7,1.1,0.7,37,78.9,0.5,1.9,Aston Villa,PremierLeague
80464,sn,Idrissa Gueye,26, M(C),174,66,35,0,3076,0.0,1,10,0.0,0.9,85.6,3,0.9,7.25,4.1,4,1.9,0.0,0.9,0.9,0.2,0.0,0.8,1.5,0,1,1.9,0.8,53.4,85.6,0.1,2.7,Aston Villa,PremierLeague
99901,dk,Jores Okore,23, D(C),183,80,12,0,1080,0.0,0,1,0.0,0,80.6,0,1.5,7.01,3.1,2.3,0.7,0.9,6.9,0.7,0.7,0.0,0.1,0.7,0,0.3,0.6,0.1,27.5,80.6,0,3.1,Aston Villa,PremierLeague
14168,gb,Micah Richards,27, D(CR),180,82,23,1,2046,1,1,3,0.0,0.5,85.1,2,2.5,6.91,1.7,2.5,0.7,0.6,5.9,0.3,0.6,1,0.3,1,0,0.3,0.6,0.3,29.9,85.1,0,1.6,Aston Villa,PremierLeague
67491,gh,Jordan Ayew,24," AM(LR),FW",182,80,27,3,2353,7,0,6,1,2,80.9,0,2,6.88,1.3,0.8,1.6,0,0.3,0.7,0.1,0,0.6,1.3,0.3,2.5,3.2,0.6,26.7,80.9,0.2,0.5,Aston Villa,PremierLeague
70099,ie,Ciaran Clark,26, D(C),188,76,16,2,1442,1,0,6,0,0.6,76,0,2.8,6.87,1.3,2.6,0.8,0.4,7.1,0.5,0.7,0,0.2,0.6,0,0.2,0.4,0.2,31.1,76,0.1,1.7,Aston Villa,PremierLeague
33403,fr,Rudy Gestede,27, FW,193,86,14,18,1659,5,2,2,0,1.9,57.4,1,6.5,6.83,0.3,0.2,0.8,0,0.9,0.2,0.1,0,0.5,0.4,0.2,0.5,1.2,0.5,18.6,57.4,0,0.2,Aston Villa,PremierLeague
8137,gb,Joleon Lescott,33, D(CL),190,89,30,0,2631,1,0,2,0,0.4,75.4,1,2.3,6.75,1.1,2.6,0.5,1,5.9,0.6,0.7,0,0.1,0.3,0,0.2,0.4,0.1,32.5,75.4,0,3,Aston Villa,PremierLeague
26720,co,Carlos Sánchez,30, M(C),182,80,16,4,1371,0,0,3,0,0.7,80.6,0,1.4,6.74,2.7,2.3,1.3,0,1.3,1.2,0.3,0.0,0.2,0.3,0,0.4,1,0.2,39.7,80.6,0.1,4.2,Aston Villa,PremierLeague
315545,ie,Kevin Toner,19, Midfielder,0,0,3,1,315,0,1,0,0,0.3,72.2,0,2.5,6.73,2.5,2.3,0.5,0,4.5,1.3,0.3,0.0,0.3,1,0,0.3,0.5,0.3,24.3,72.2,0,1.8,Aston Villa,PremierLeague
79050,gb,Ashley Westwood,26, DMC,175,67,31,1,2720,2,2,6,0,1.2,82.9,1,0.2,6.69,1.9,1.8,0.9,0,0.7,1.2,0.4,0,1.3,0.3,0,0.8,0.5,1.3,47.3,82.9,1.1,3.6,Aston Villa,PremierLeague
79967,nl,Leandro Bacuna,24," D(LR),M(CR)",187,77,27,4,2418,1,0,8,0,1,77.6,0,0.8,6.63,1.5,1.8,1.2,0.2,1.7,0.8,0.1,0,0.5,0.4,0.1,0.6,0.7,0.5,36.5,77.6,0.7,3,Aston Villa,PremierLeague
67285,cz,Libor Kozák,27, FW,192,84,3,1,258,0,0,0,0,1.5,63.2,0,5,6.62,0.8,0,1.3,0,1.3,0,0.3,0,0.8,0.8,1.3,0.5,4,0.8,19,63.2,0,0.3,Aston Villa,PremierLeague
28746,us,Brad Guzan,31, GK,193,94,28,0,2520,0,0,2,0,0,52,0,0.1,6.57,0.1,0.1,0,0,0.9,0,0,0,0,0,0,0,0.1,0,25.8,52,0,9.4,Aston Villa,PremierLeague
101017,fr,Jordan Veretout,23, M(C),177,67,21,4,1825,0,5,4,0,0.8,83,0,0.4,6.57,1.3,1.1,0.8,0,0.6,1.2,0,0,1.6,1,0,0.5,1.2,1.6,39.6,83,1.4,2,Aston Villa,PremierLeague
280767,gb,Andre Green,17, Forward,0,0,0,2,57,0,0,0,0,0.5,65.2,0,0,6.57,1,1.5,0,0,0,0.5,0,0,1,0,0,0,0.5,1,11.5,65.2,1.5,0.5,Aston Villa,PremierLeague
116164,es,Carles Gil,23, AM(CR),170,63,17,6,1442,2,0,3,0,0.7,87,0,0,6.54,1,0.4,0.1,0,0.2,1,0.1,0,1.1,1.2,0.1,1.2,1.5,1.1,31.7,87,0.8,1,Aston Villa,PremierLeague
35958,fr,Aly Cissokho,28, D(L),181,75,18,0,1603,0,0,3,1,0.2,74.3,0,1.2,6.46,1.4,2.2,0.7,0.4,4.2,0.6,0.2,0,0.5,0.2,0,0.2,0.5,0.5,35.9,74.3,0.8,2,Aston Villa,PremierLeague
6434,gb,Alan Hutton,31, D(R),185,72,26,2,2330,0,1,6,1,0.3,75.4,0,1.2,6.45,2,1.9,1,0.1,1.9,0.5,0.4,2,0.8,1.3,0.1,0.3,0.8,0.8,30.1,75.4,0.9,1.6,Aston Villa,PremierLeague
113069,ie,Jack Grealish,20, AM(CL),178,68,9,7,833,1,0,1,0,1,85.7,0,0.1,6.44,0.4,0.9,0.4,0,0.1,0.1,0,0,0.8,1.1,0,0.9,0.8,0.8,19.7,85.7,0.1,0.7,Aston Villa,PremierLeague
14036,gb,Gabriel Agbonlahor,29," AM(LR),FW",178,76,13,2,1037,1,2,0,0,0.7,71.3,0,1.7,6.42,0.4,0.1,1.4,0,0.6,0.3,0.1,0,0.9,0.9,0.2,0.5,1.1,0.9,14.9,71.3,0.1,0.3,Aston Villa,PremierLeague
8798,gb,Mark Bunn,31, GK,183,77,10,0,900,0,0,2,0,0,41.5,0,0.3,6.40,0,0,0.1,0,0.9,0.1,0,1,0,0,0,0,0.1,0,24.1,41.5,0,8.6,Aston Villa,PremierLeague
