player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
9298,gb,Simon Francis,31, D(CR),183,79,38,0.0,3387,0.0,4,5,1,0.2,79.2,1,2.8,7.16,2.8,2.3,0.9,0.5,5.4,0.8,0.6,0.0,0.9,0.3,0.1,0.5,0.4,0.9,55.4,79.2,0.7,4.7,Bournemouth,PremierLeague
68662,gb,Steve Cook,25, D(C),185,83,36,0.0,3196,4,0,5,0,0.7,81.4,4,3.4,7.03,0.9,2.3,0.4,1,8.3,0.5,1,0.0,0.2,0.2,0.1,0.1,0.1,0.2,43.8,81.4,0,4.9,Bournemouth,PremierLeague
24827,gb,Charlie Daniels,29, D(L),175,75,37,0.0,3286,3,5,2,0,0.5,80.4,1,0.7,6.90,2,1.4,0.3,0.3,2.1,0.8,0.1,0.0,1,0.5,0.1,0.7,0.9,1,45.8,80.4,0.9,1.8,Bournemouth,PremierLeague
69912,gb,Junior Stanislas,26, AM(LR),180,79,17,4,1442,3,2,1,0,2.1,78.4,1,0.7,6.89,1.4,0.9,0.5,0,0.5,0.6,0,0.0,1.6,0.6,0.1,0.6,1.2,1.6,31.5,78.4,0.7,0.7,Bournemouth,PremierLeague
69877,gb,Adam Smith,25, D(R),178,74,22,9,2097,2,0,5,0,0.5,84.3,1,0.7,6.87,2.3,1.4,1.1,0.1,1.6,0.9,0.2,0.0,0.5,1.6,0.1,0.5,1.1,0.5,29.4,84.3,0.4,1.2,Bournemouth,PremierLeague
67807,ie,Harry Arter,26, M(C),175,73,21,0,1674,1,0,7,0,1.7,86,0,0.4,6.80,2.7,1.2,1.1,0,0.4,1.7,0,0.0,1.2,0.8,0,1.5,1,1.2,49.2,86,0.2,3.8,Bournemouth,PremierLeague
13447,za,Andrew Surman,29, M(CL),180,73,38,0,3420,0,3,4,0,0.4,85.3,1,1.2,6.79,1.3,2.9,0.7,0,1.7,0.9,0.3,0.0,1.1,0.5,0,0.7,0.8,1.1,60.2,85.3,0.1,5.7,Bournemouth,PremierLeague
13846,gb,Dan Gosling,26, M(C),178,71,28,6,2445,3,1,6,0,1.2,83.6,0,1.1,6.77,2.1,1.5,0.9,0,0.6,1.9,0.4,0.0,0.8,1.2,0,1.2,1.6,0.8,35.1,83.6,0,1.2,Bournemouth,PremierLeague
68648,gb,Matt Ritchie,26, AM(CR),173,70,33,4,2979,4,6,5,0,2.1,76.2,0,0.6,6.77,1.5,1.3,1.1,0,0.9,1.1,0,0.0,1.1,1.5,0.1,1.2,1.4,1.1,38.6,76.2,1.2,2.5,Bournemouth,PremierLeague
29814,ci,Max Gradel,28, M(LR),175,69,11,3,899,1,2,1,0,1.3,73.8,0,0.4,6.71,1.6,0.9,0.8,0,0.4,1.4,0.1,0.0,0.7,1.9,0.2,0.9,1.8,0.7,20.4,73.8,0.7,0.5,Bournemouth,PremierLeague
81026,no,Joshua King,24," AM(CLR),FW",185,83,24,7,1927,6,2,1,0,1.8,76.9,1,1,6.71,1,0.3,1.2,0,0.4,0.4,0,0.0,0.8,0.9,0.5,1.6,2.8,0.8,14.4,76.9,0.2,0.1,Bournemouth,PremierLeague
528,fr,Sylvain Distin,38, D(C),193,87,9,3,843,0,0,0,0,0.2,83.3,0,2.8,6.67,1.6,2,0.3,0.2,3.9,0.4,0.3,0.0,0.1,0.1,0.1,0.1,0,0.1,37.4,83.3,0,1.5,Bournemouth,PremierLeague
13932,gb,Tommy Elphick,28, D(C),180,73,11,1,1012,1,0,1,0,0.3,82.7,0,3,6.61,0.9,2.7,0.8,0.8,4.3,0.6,0.1,0.0,0.1,0.7,0.1,0.1,0.2,0.1,38.1,82.7,0,2.3,Bournemouth,PremierLeague
14000,gb,Marc Pugh,29, AM(L),180,72,15,11,1337,3,2,1,0,0.8,78.6,2,0.5,6.60,1.2,0.6,0.4,0,0.4,0.7,0,0.0,0.5,1.1,0,1.4,1.3,0.5,19.3,78.6,0.3,0.7,Bournemouth,PremierLeague
134115,gb,Callum Wilson,24, FW,180,66,9,4,773,5,0,0,0,1.3,73.3,1,0.3,6.53,0.4,0.1,0.9,0,0.1,0.2,0.2,0.0,0.5,1.5,0.3,1.7,2.4,0.5,10.1,73.3,0.1,0.1,Bournemouth,PremierLeague
134424,gb,Lee Tomlin,27," AM(CLR),FW",180,74,3,3,289,0,0,1,0,0.8,73.3,0,0.7,6.50,1,0.3,0.3,0,0.2,0.8,0,0.0,1.2,1.3,0,0.8,1,1.2,19.3,73.3,0,0.7,Bournemouth,PremierLeague
14111,pl,Artur Boruc,36, GK,193,89,32,0,2880,0,0,2,0,0,54,2,0.1,6.46,0,0,0,0,0.6,0,0,0.0,0,0,0,0,0,0,23.2,54,0,5.2,Bournemouth,PremierLeague
93647,gb,Benik Afobe,23," AM(C),FW",183,79,12,3,937,4,0,0,0,0.9,87.1,0,0.7,6.43,0.3,0.1,1,0,0.6,0.2,0,0.0,0.8,0.6,0.6,1.2,1.7,0.8,14.9,87.1,0.1,0.1,Bournemouth,PremierLeague
21427,gb,Glenn Murray,32, FW,183,80,6,13,669,3,0,2,0,1.2,65.4,0,1.2,6.38,0.4,0.2,0.9,0,0.5,0.5,0.2,0.0,0.3,0.9,0.6,0.8,1.3,0.3,9.4,65.4,0.1,0.2,Bournemouth,PremierLeague
74586,gb,Ryan Allsop,24, GK,186,87,0,1,45,0,0,0,0,0,87.5,0,0,6.34,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,8,87.5,0,1,Bournemouth,PremierLeague
97452,ar,Juan Iturbe,23, AM(LR),169,62,0,2,56,0,0,0,0,0.5,78.3,0,0.5,6.34,0,1,0,0,0,1,0,0.0,0.5,0.5,0,0,1,0.5,11.5,78.3,0,1,Bournemouth,PremierLeague
19736,gb,Lewis Grabban,28, FW,183,71,4,11,570,0,0,2,0,1,82,0,0.3,6.27,0.7,0.1,0.5,0,0.1,0.4,0.1,0.0,0.2,0.1,0.1,0.8,0.8,0.2,15.9,82,0.1,0.5,Bournemouth,PremierLeague
123167,gb,Tyrone Mings,23, D(L),191,77,0,1,12,0,0,0,0,0,100,0,0,6.21,0,2,0,0,0,0,0,0.0,0,0,0,1,0,0,3,100,0,0,Bournemouth,PremierLeague
83257,gb,Eunan O'Kane,25, DMC,173,69,6,10,752,0,1,2,0,0.4,77,0,0.2,6.13,0.6,0.5,0.4,0,0.8,0.6,0.1,0.0,0.4,0.4,0.1,0.5,0.5,0.4,23.7,77,0,1.9,Bournemouth,PremierLeague
136347,za,Tokelo Rantie,25, FW,172,68,0,3,38,0,0,0,0,0.3,90.9,0,0,6.12,1,0,1,0,0,0,0,0.0,0.3,0,0.3,0.7,0.3,0.3,3.7,90.9,0,0,Bournemouth,PremierLeague
23321,fr,Yann Kermorgant,34," AM(C),FW",184,84,0,7,125,0,0,0,0,0.1,71.2,0,0.9,6.10,0,0.3,0,0,0.1,0,0,0.0,0.1,0.4,0.1,0.7,0,0.1,8.4,71.2,0,0.4,Bournemouth,PremierLeague
17877,gb,Shaun MacDonald,28, M(C),185,76,0,3,29,0,0,0,0,0,88.9,0,0,6.01,0,0.3,0,0,0,0,0,0.0,0,0,0,0,0.3,0,6,88.9,0,0.3,Bournemouth,PremierLeague
13797,au,Adam Federici,31, GK,188,90,6,0,496,0,0,0,0,0,71.3,0,0,5.98,0,0,0,0,0.8,0.3,0,0.0,0,0,0,0,0,0,18,71.3,0,6,Bournemouth,PremierLeague
