player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
12376,fr,Yohan Cabaye,30, M(C),175,71,32,1,2704,5,1,7,0.0,2,82.6,3,0.2,7.23,3.2,3.6,1.2,0.0,0.5,1.9,0.2,0.0,1.5,1.2,0,1.1,0.8,1.5,38.5,82.6,1.3,2.9,Crystal Palace,PremierLeague
69844,cd,Yannick Bolasie,27," AM(LR),FW",188,84,23,3,2077,5,3,2,0.0,2.2,72.5,2,0.8,7.14,1,0.4,1,0,1,0.9,0.2,0.0,0.9,1.3,0.7,1.7,2.2,0.9,19.5,72.5,1,0.5,Crystal Palace,PremierLeague
3165,no,Brede Hangeland,35, D(C),195,85,7,0,630,0,0,2,0.0,0.7,86,1,3.7,7.13,1.4,1.4,1.9,0.7,8.6,0.6,0.7,0.0,0,0.4,0.3,0.1,0.1,0,34.6,86,0,1.7,Crystal Palace,PremierLeague
12124,gb,Scott Dann,29, D(C),188,76,35,0,3150,5,1,7,0.0,0.8,75.3,1,3.3,7.05,1,1.8,0.6,0.3,5.1,0.4,1.3,0.0,0.3,0.4,0.1,0.1,0.2,0.3,31.9,75.3,0,3.7,Crystal Palace,PremierLeague
85059,gb,Wilfried Zaha,23, AM(LR),180,66,30,4,2497,2,1,5,0.0,0.9,76.7,2,0.3,7.03,1.4,0.8,1.2,0,0.2,0.4,0,0.0,1.2,2.6,0.2,2.5,2.4,1.2,16.3,76.7,0.8,0.6,Crystal Palace,PremierLeague
9156,gb,Jason Puncheon,29, M(CLR),173,70,31,0,2625,2,3,3,0.0,1.7,80,1,0.4,6.98,1.7,0.9,1.1,0,0.5,1.5,0.1,0.0,1.9,0.9,0.2,1.6,1.7,1.9,40,80,1.6,2.1,Crystal Palace,PremierLeague
43105,gb,Joel Ward,26," D(LR),DMC",180,80,30,0,2692,2,1,4,0.0,0.6,71.1,0,1.8,6.94,2.1,2.3,1.2,0.1,3.6,0.9,0.5,0.0,0.4,0.9,0,0.7,0.8,0.4,33.4,71.1,0.4,2,Crystal Palace,PremierLeague
8466,ie,Damien Delaney,34, D(C),191,89,32,0,2880,2,3,2,0.0,0.7,72.7,1,3,6.89,1,1.8,0.6,0.5,6.3,0.4,1.2,2,0.3,0.5,0,0.2,0.2,0.3,33,72.7,0.1,3.6,Crystal Palace,PremierLeague
20339,gb,James McArthur,28, M(C),168,64,26,2,2193,2,2,5,0.0,0.6,85.4,0,1.1,6.85,2,2.4,1.5,0.1,0.7,1.7,0.4,0.0,0.8,0.8,0,1,0.6,0.8,37.8,85.4,0,2.4,Crystal Palace,PremierLeague
13727,au,Mile Jedinak,31, DMC,189,81,16,11,1531,0,0,6,0.0,0.5,71.6,1,3.8,6.77,1.9,2,1.3,0,2.1,1,0.4,0.0,0.3,0.6,0.1,0.3,0.4,0.3,30.7,71.6,0,1.9,Crystal Palace,PremierLeague
