player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
92547,gb,Ross Barkley,22, M(CL),189,76,36,2,3087,8,8,4,0.0,2.5,86,3,0.7,7.31,0.9,0.4,0.8,0,0.5,0.7,0.1,0,1.5,1.9,0.1,2,1.6,1.5,47.4,86,0.6,2.7,Everton,PremierLeague
6105,gb,Phil Jagielka,33, D(CR),183,83,21,0,1852,0,0,0,0.0,0.4,84.3,0,2.7,7.20,1.8,2.4,0.4,0.5,8.1,0.6,1,0,0.1,0.7,0,0.3,0.1,0.1,49.2,84.3,0,7,Everton,PremierLeague
121454,,Ramiro Funes Mori,25, D(C),185,74,24,4,2191,4,1,4,1,0.9,83.8,4,2.7,7.19,1.5,2.4,0.3,0.7,7.8,0.6,0.4,0,0.2,0.3,0.1,0.1,0.3,0.2,44.2,83.8,0.1,3.8,Everton,PremierLeague
78498,be,Romelu Lukaku,23, FW,190,94,36,1,3177,18,6,3,0,3.2,72.7,4,2.5,7.16,0.4,0,0.8,0,0.1,0.2,0.1,0,1.4,0.7,0.4,2.5,2.2,1.4,29.7,72.7,0.2,0.6,Everton,PremierLeague
188,gb,Gareth Barry,35, M(C),183,78,32,1,2837,0,1,5,1,0.5,81.9,1,1.7,7.04,2.9,1.6,1.3,0,2.4,1.3,0.7,0.0,1,0.8,0,0.9,0.5,1,62.4,81.9,0.3,5.6,Everton,PremierLeague
3030,gb,Tony Hibbert,35, D(R),175,71,0,1,45,0,0,0,0,1,82.4,0,0,6.91,1,3,0,0,0,2,1,0,0,0,0,1,0,0,17,82.4,0,1,Everton,PremierLeague
31826,ie,Seamus Coleman,27," D(R),M(R)",178,67,27,1,2386,1,3,4,0,1,84.1,0,0.5,6.90,2.1,1.3,0.7,0.2,2.5,0.8,0.4,1,0.6,1,0.3,0.9,1,0.6,37.3,84.1,0.5,1.6,Everton,PremierLeague
131523,gb,Brendan Galloway,20, D(L),188,87,14,1,1225,0,1,2,0,0.5,81.1,0,0.5,6.89,3.3,1.4,0.6,0.3,2,1.3,0.3,0.0,0.3,1.9,0,0.7,1,0.3,26.4,81.1,0.2,0.6,Everton,PremierLeague
31281,ie,James McCarthy,25, M(C),180,72,29,0,2435,2,2,5,1,0.6,87,1,0.4,6.88,2.7,1.8,1.3,0.1,1.7,1.3,0.6,0.0,0.5,1,0,0.7,0.8,0.5,46.8,87,0.1,3.3,Everton,PremierLeague
83455,cr,Bryan Oviedo,26, D(L),172,69,12,2,998,0,1,0,0,0.4,81.3,0,0.2,6.87,2.9,1.4,1.2,0.1,2.4,1.1,0.3,0.0,0.9,0.9,0.1,0.7,0.9,0.9,30.9,81.3,0.8,1.7,Everton,PremierLeague
