player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
104749,dz,Riyad Mahrez,25, AM(CLR),179,61,36,1,3058,17,11,1,0.0,2.3,73.6,10,0.9,7.84,1.4,1,0.5,0,0.4,1.9,0.1,0.0,1.8,2.2,0.1,2.4,2.1,1.8,27.9,73.6,0.9,1.4,Leicester,PremierLeague
114075,fr,N'Golo Kanté,25, DMC,169,68,33,4,3020,1,4,3,0.0,0.6,81.6,3,1,7.61,4.7,4.2,1.2,0.0,1.5,1.6,0.3,0.0,0.8,0.5,0,0.7,1.2,0.8,39.2,81.6,0.1,1.7,Leicester,PremierLeague
106981,gb,Jamie Vardy,29," AM(L),FW",178,76,36,0,3140,24,6,5,1,3.2,65.8,3,2.6,7.51,1,0.5,1.2,0,0.2,0.5,0.1,0.0,1.3,0.8,0.7,0.8,1.8,1.3,17.4,65.8,0.3,0.4,Leicester,PremierLeague
12431,at,Christian Fuchs,30," D(L),M(L)",186,86,30,2,2710,0,4,4,0,0.6,72.4,4,1.5,7.50,3.1,3.1,1,0.3,3.8,1.7,0.3,0.0,1.4,0.4,0,0.3,0.7,1.4,36.9,72.4,1.1,2.8,Leicester,PremierLeague
75138,gb,Daniel Drinkwater,26, DMC,178,70,35,0,3039,2,7,3,1,1.2,77.6,1,0.8,7.30,3,1.6,1.5,0,1.9,1.5,0.5,0.0,1.3,0.7,0,1.1,0.7,1.3,56.7,77.6,0.3,3.9,Leicester,PremierLeague
4145,de,Robert Huth,31, D(C),191,80,35,0,3150,3,0,8,0,0.8,71.6,1,3.3,7.15,1.2,2.2,1,0.5,7.4,0.3,1,0.0,0.1,0.5,0.1,0.1,0.2,0.1,23.1,71.6,0,1,Leicester,PremierLeague
23683,ie,Danny Simpson,29, D(R),178,74,30,0,2613,0,0,3,1,0.2,71.6,1,2,7.13,1.7,3.1,1,0.3,4.2,0.7,0.6,0.0,0.2,0.4,0,0.3,0.4,0.2,29,71.6,0.2,1.8,Leicester,PremierLeague
8157,jm,Wes Morgan,32, D(C),185,93,38,0,3420,2,0,3,0,0.6,74.4,1,2.4,7.07,1.3,2.5,0.7,0.7,5.7,0.2,1.1,0.0,0.1,0.4,0,0.1,0.3,0.1,21.5,74.4,0,1.2,Leicester,PremierLeague
42147,gb,Marc Albrighton,26, M(LR),175,67,34,4,2769,2,6,4,0,1.1,63.8,0,0.3,7.05,1.7,1.3,0.6,0,0.5,1.2,0,0.0,1.6,0.7,0.1,0.7,1,1.6,24,63.8,1.4,1.5,Leicester,PremierLeague
91822,gh,Jeffrey Schlupp,23," D(L),M(L)",178,72,14,10,1385,1,2,4,0,1.1,73.1,0,1.1,6.86,1.9,1.3,0.6,0.1,0.9,0.6,0,0.0,0.7,0.9,0,0.8,1,0.7,19.2,73.1,0.4,1.6,Leicester,PremierLeague
31856,be,Ritchie de Laet,27, D(LR),186,77,7,5,656,1,0,1,0,0.2,64.7,0,1.1,6.80,2.1,1.8,0.5,0,2.1,0.6,0.9,0.0,0.5,0.3,0,0.3,0.3,0.5,18.2,64.7,0.3,1.3,Leicester,PremierLeague
19545,dk,Kasper Schmeichel,29, GK,189,84,38,0,3420,0,0,2,0,0,35.7,0,0.2,6.78,0,0.1,0,0,0.8,0.1,0,0.0,0.1,0,0,0,0,0.1,30.2,35.7,0,8.8,Leicester,PremierLeague
14621,pl,Marcin Wasilewski,36, D(CR),186,88,3,1,302,0,0,2,0,0.3,76.7,0,2,6.74,2.5,2.3,1,1,4.3,1.3,1.3,0.0,0,0,0,0,0,0,18.3,76.7,0,1,Leicester,PremierLeague
26222,jp,Shinji Okazaki,30," AM(LR),FW",174,76,28,8,2074,5,0,1,0,1.3,74.9,1,1.5,6.61,1,0.4,0.9,0,0.2,0.6,0.1,0.0,0.6,1.3,0.2,1.3,1.5,0.6,15.1,74.9,0,0.1,Leicester,PremierLeague
19847,ar,Leonardo Ulloa,29, FW,190,80,7,22,970,6,2,0,0,1.2,70.4,0,1.8,6.60,0.9,0.2,0.7,0,0.7,0.7,0,0.0,0.5,0.6,0.2,1.2,1.2,0.5,13.7,70.4,0,0.2,Leicester,PremierLeague
32018,gb,Andy King,27, AM(C),183,75,9,16,1050,2,1,2,0,0.8,77.9,0,0.7,6.56,1.1,1.2,0.3,0,1,0.5,0.2,0.0,0.4,0.3,0,0.2,0.5,0.4,19,77.9,0.1,1.1,Leicester,PremierLeague
15401,ch,Gökhan Inler,31, DMC,183,79,3,2,195,0,0,0,0,0.4,79,0,1,6.47,2,2,0.6,0,0,0.6,0.2,0.0,0.2,0.8,0,1,0.4,0.2,24.8,79,0,2.2,Leicester,PremierLeague
