player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
80767,br,Philippe Coutinho,24, M(CLR),171,71,24,2,2005,8,5,2,1,4.3,78.9,4,0.2,7.29,1.3,0.7,0.4,0,0.3,1.3,0,0.0,1.9,1.1,0.2,2.2,2,1.9,42,78.9,0.4,2.2,Liverpool,PremierLeague
4511,gb,James Milner,30, M(CLR),175,70,28,0,2416,5,11,9,1,1.4,77.4,4,1.1,7.21,2.5,1.3,1.7,0,0.8,1.9,0.1,0.0,2.2,1.2,0.1,2.2,1.6,2.2,49.1,77.4,2.1,2.5,Liverpool,PremierLeague
96182,br,Roberto Firmino,24," M(CLR),FW",181,76,24,7,1982,10,7,1,0,2,76.6,5,0.3,7.19,2.2,0.5,0.9,0,0.4,0.9,0.1,0.0,1.6,0.6,0.5,2.1,1.8,1.6,32.2,76.6,0.1,0.7,Liverpool,PremierLeague
68659,gb,Jordan Henderson,26, M(CLR),182,67,15,2,1293,2,3,1,0,1.5,79.1,0,1.2,7.14,2.4,1.3,0.6,0.1,1,1,0.1,0.0,1.1,0.5,0.2,0.7,0.8,1.1,55.2,79.1,0.7,4.6,Liverpool,PremierLeague
23736,gb,Daniel Sturridge,26, FW,188,76,11,3,980,8,1,0,0,3.4,78.2,1,0.4,7.12,0.2,0.2,0.1,0,0.3,0.2,0,0,0.5,0.9,0.5,2.3,1.5,0.5,22.6,78.2,0.1,0.9,Liverpool,PremierLeague
31451,br,Lucas Leiva,29," D(C),M(C)",179,74,21,6,1953,0,1,8,0,0.3,83.4,1,2.3,7.08,4,1.9,1.8,0.1,1,1.4,0.3,0.0,0.8,0.7,0,0.7,0.5,0.8,55,83.4,0,3.1,Liverpool,PremierLeague
21683,gb,Adam Lallana,28, AM(CLR),172,73,23,7,2113,4,6,2,0,1.5,82.4,1,0.8,7.08,2,0.7,0.9,0,1.2,1.1,0.1,0.0,1.7,1,0.5,1.9,1.6,1.7,33,82.4,0.4,0.8,Liverpool,PremierLeague
29575,fr,Mamadou Sakho,26, D(C),187,83,21,1,1855,1,0,1,0,0.3,87.9,0,3.4,7.07,1.4,1.7,0.4,0.4,6.2,0.3,1,0.0,0.2,0.6,0,0.5,0.5,0.2,56.5,87.9,0,3.1,Liverpool,PremierLeague
113275,es,Alberto Moreno,23," D(L),M(L)",170,65,28,4,2548,1,4,3,0,1.1,81.3,3,0.4,7.05,2.9,2,0.9,0,1.5,1,0.2,0.0,1.9,0.7,0.2,0.9,0.6,1.9,41.4,81.3,1.1,2.7,Liverpool,PremierLeague
111212,de,Emre Can,22," D(CLR),DMC",184,82,28,2,2493,1,0,9,0,1,81.3,1,1.5,7.05,2.6,2.1,1.2,0.1,1.4,1.3,0.3,0.0,1.1,1,0.2,1.3,1,1.1,59.8,81.3,0,3.7,Liverpool,PremierLeague
29106,hr,Dejan Lovren,26, D(C),188,84,22,2,1898,0,0,2,0,0.9,84.6,1,3.3,6.97,1.4,1.5,1,0.4,6.4,0.6,0.6,0.0,0.3,0.5,0,0,0.3,0.3,43.8,84.6,0,3.3,Liverpool,PremierLeague
107846,gb,Kevin Stewart,22, M(C),171,73,6,1,564,0,0,1,0,0.7,88,0,0.7,6.94,2.7,2.1,1.3,0,2,0.7,0.3,0.0,0.6,2.3,0,1.3,1.4,0.6,64.4,88,0,3,Liverpool,PremierLeague
19840,sk,Martin Skrtel,31, D(C),193,81,21,1,1886,1,0,5,0,0.5,85.3,0,2.6,6.93,1,1.9,1,0.7,6.7,0.2,0.9,1,0.2,0.3,0,0,0.2,0.2,53.4,85.3,0,2.5,Liverpool,PremierLeague
136451,gb,Joseph Gomez,19, D(CLR),188,77,5,0,438,0,1,3,0,0.2,78.8,0,1.8,6.86,2.4,2.4,1.8,0,3.6,0.6,0.6,0.0,0.6,0.2,0,1.6,0.4,0.6,44.4,78.8,0.2,1.8,Liverpool,PremierLeague
68312,be,Christian Benteke,25, FW,190,83,14,15,1520,9,3,2,0,2.1,66.1,3,4.4,6.83,0.3,0,1,0,0.4,0.1,0,0,1.1,0.9,0.6,1.1,1.7,1.1,17.7,66.1,0,0.4,Liverpool,PremierLeague
69375,gb,Nathaniel Clyne,25," D(R),M(R)",175,67,33,0,2970,1,0,6,0,0.9,78.6,0,0.3,6.79,2.5,1.6,0.6,0.3,1.7,0.5,0.2,0.0,0.7,0.8,0,0.9,0.7,0.7,45.8,78.6,0.3,1.8,Liverpool,PremierLeague
3817,ci,Kolo Touré,35, D(C),183,74,9,5,859,1,0,1,0,0.3,81.5,0,0.6,6.76,1.6,1.8,0.1,0.7,3.2,0.4,0.2,0.0,0.1,0.1,0,0,0.1,0.1,33.2,81.5,0,1.6,Liverpool,PremierLeague
99165,gb,Danny Ward,22, Goalkeeper,191,88,2,0,180,0,0,0,0,0,53.1,0,0.5,6.74,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,24.5,53.1,0,4,Liverpool,PremierLeague
141513,gb,Cameron Brannagan,20, Midfielder,180,71,1,2,112,0,0,0,0,0.3,95.1,0,0,6.71,1.7,1.3,0,0,0,1.3,0.3,0.0,1,0,0,0.7,0,1,40.7,95.1,0.7,1.3,Liverpool,PremierLeague
94030,gb,Jon Flanagan,23, D(LR),181,79,5,0,421,0,1,1,0,0,83.8,0,1.4,6.69,2.2,1.8,1.4,0.2,3.4,2.6,0.4,0.0,0.4,0.2,0,0.8,0.8,0.4,50.6,83.8,0.2,1,Liverpool,PremierLeague
257539,gb,Sheyi Ojo,19, AM(LR),177,64,5,3,397,0,3,0,0,0.6,87.1,0,0.3,6.66,1.1,0.3,0.4,0,0.1,0.4,0,0.0,1.5,1,0,1.3,1.5,1.5,17.4,87.1,0.5,0.4,Liverpool,PremierLeague
124688,be,Divock Origi,21," AM(LR),FW",185,75,7,9,669,5,1,0,0,1.5,75,0,0.4,6.63,0.3,0,0.7,0,0.1,0.3,0,0,0.6,0.8,0.6,1.6,1.5,0.6,10.3,75,0.2,0,Liverpool,PremierLeague
105797,gb,Jordon Ibe,20, AM(LR),176,81,12,15,1172,1,2,0,0,1.1,84.8,1,0.1,6.59,0.4,0,0.4,0,0,0.3,0,0,0.7,0.5,0,1.3,1,0.7,17.7,84.8,0.4,0.4,Liverpool,PremierLeague
23444,gb,Joe Allen,26, M(C),168,62,8,11,736,2,1,0,0,0.6,84.1,0,0.2,6.57,1.5,0.7,0.7,0.1,0.4,0.7,0.1,0.0,0.6,1.1,0,0.7,0.5,0.6,21.5,84.1,0.1,1,Liverpool,PremierLeague
91762,gb,Danny Ings,23," AM(C),FW",178,73,3,3,340,2,0,1,0,1.7,76.3,0,0.5,6.54,0.2,0.2,1.2,0,0.3,0,0,0,0.8,0.8,0.3,0.5,1.3,0.8,13.3,76.3,0.2,0.5,Liverpool,PremierLeague
52197,be,Simon Mignolet,28, GK,193,87,34,0,3060,0,0,2,0,0,60.6,0,0.1,6.52,0,0.1,0,0,0.8,0,0,0,0,0.1,0,0,0,0,23.6,60.6,0,5.6,Liverpool,PremierLeague
141437,gb,Jordan Rossiter,19, Midfielder,178,68,0,1,14,0,0,0,0,0,80,0,0,6.35,1,1,0,0,1,2,0,0,0,0,0,0,0,0,5,80,0,0,Liverpool,PremierLeague
141414,au,Brad Smith,22, D(L),178,70,3,1,285,0,0,1,1,0.3,76.6,0,0.5,6.33,2.8,0.8,1.8,0,3,0.5,0.3,0.0,0.5,1.3,0,1.5,0.8,0.5,26.8,76.6,1,1.3,Liverpool,PremierLeague
296522,gb,Connor Randall,20, Defender,180,76,2,1,163,0,0,0,0,0.7,73.2,0,0.7,6.24,1,1,0.7,0,0,0.3,0.3,0,0.3,0.7,0,0.7,1.3,0.3,27.3,73.2,0,1.7,Liverpool,PremierLeague
295964,es,Sergi Canos,19, AM(R),0,0,0,1,9,0,0,0,0,0,80,0,1,6.16,1,0,1,0,0,0,0,0,0,0,0,0,0,0,5,80,0,0,Liverpool,PremierLeague
142352,pt,João Teixeira,23, AM(CLR),167,64,0,1,3,0,0,0,0,0,100,0,0,6.11,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,100,0,0,Liverpool,PremierLeague
76499,gb,Steven Caulker,24, D(C),191,76,0,3,4,0,0,0,0,0.3,44.4,0,1,6.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,44.4,0,0,Liverpool,PremierLeague
69179,hu,Adam Bogdan,28, GK,193,82,2,0,180,0,0,0,0,0,46.2,0,0,5.60,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19.5,46.2,0,5.5,Liverpool,PremierLeague
297409,es,Pedro Chirivella,19, Midfielder,178,66,1,0,46,0,0,0,0,0,72.7,0,0,5.31,0,0,0,0,1,0,0,0,0,0,0,2,1,0,33,72.7,0,2,Liverpool,PremierLeague
