player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
75691,ar,Nicolás Otamendi,28, D(C),183,81,30,0.0,2672,1,0.0,9,0.0,0.9,84.1,4,3,7.47,3,3.5,1,0.8,7,1.4,0.4,0.0,0.2,1,0,0.2,0.4,0.2,52.3,84.1,0,3.2,Manchester City,PremierLeague
73084,be,Kevin De Bruyne,24," AM(CLR),FW",181,68,22,3,2004,7,9,2,0.0,2,78.3,4,0.5,7.45,1.1,0.7,0.6,0,0.5,1.9,0,0,3.2,0.7,0.3,1.4,1.7,3.2,45.1,78.3,1.9,1.9,Manchester City,PremierLeague
14260,ar,Sergio Agüero,28," AM(CL),FW",173,70,29,1,2375,24,2,1,0.0,4,84.7,5,0.3,7.39,0.5,0.2,0.7,0,0,0.6,0,0,0.9,1.2,0.9,3.4,2,0.9,24.2,84.7,0.1,0.5,Manchester City,PremierLeague
10136,be,Vincent Kompany,30, D(C),190,85,13,1,1179,2,0,5,0.0,0.8,82.9,0,2.5,7.28,1.4,1.6,1.1,0.7,5.6,0.5,0.3,0.0,0.2,0.2,0,0.1,0.3,0.2,48.4,82.9,0,3.9,Manchester City,PremierLeague
14102,es,David Silva,30, M(CLR),173,67,22,2,1802,2,11,1,0.0,1.2,86.4,2,0.4,7.28,1.5,0.7,0.8,0,0.1,1.5,0,0.0,2.8,1.4,0,2.4,0.8,2.8,57.8,86.4,1.4,2.1,Manchester City,PremierLeague
6042,fr,Gaël Clichy,30, D(L),176,65,12,2,1088,0,1,0,0.0,0.1,81.4,0,0.9,7.24,2,3.6,0.7,0.4,2.9,0.9,0.2,0.0,0.9,0.4,0,0.6,0.6,0.9,49.5,81.4,0.6,2.1,Manchester City,PremierLeague
14053,ci,Yaya Touré,33, M(C),189,90,28,4,2335,6,5,3,0.0,2.4,86.5,2,0.9,7.22,1.3,0.8,0.8,0,1.1,1.3,0.1,0,1.4,0.8,0.1,1.4,0.8,1.4,57.4,86.5,0.1,3.4,Manchester City,PremierLeague
19119,br,Fernandinho,31, DMC,179,67,31,2,2732,2,2,8,0.0,0.9,87.4,2,1.3,7.17,3.2,1.7,1.7,0.2,1.3,1.8,0.2,0.0,0.9,1,0,1,0.8,0.9,56.7,87.4,0.1,2.5,Manchester City,PremierLeague
12267,rs,Aleksandar Kolarov,30," D(L),M(L)",187,83,25,4,2282,3,3,3,0.0,1.3,78.7,1,1.6,7.14,1.2,1.6,0.7,0.2,2.4,0.7,0.3,0,1.3,1.1,0.1,0.5,0.8,1.3,46.9,78.7,1.4,2.2,Manchester City,PremierLeague
19471,fr,Bacary Sagna,33, D(CR),176,72,27,1,2448,0,3,4,0.0,0.2,82.7,1,3.1,7.12,1.8,1.8,0.6,0.4,3.5,0.7,0.3,0.0,1,0.5,0,0.4,0.5,1,56.7,82.7,0.7,1.9,Manchester City,PremierLeague
14244,ar,Pablo Zabaleta,31, D(R),174,74,12,1,1062,0,1,3,0.0,0.2,85,0,1.4,6.97,3.3,1.9,1.2,0.1,2.7,1.3,0.2,0.0,0.2,0.7,0.2,0.7,0.4,0.2,44.2,85,0,1,Manchester City,PremierLeague
31958,br,Fernando,28, DMC,183,76,17,7,1713,2,0,4,0.0,0.6,89,0,1.6,6.95,2.5,1.8,1.1,0.1,1.5,1.6,0.2,0.0,0.3,0.4,0,0.4,0.4,0.3,38.1,89,0,2,Manchester City,PremierLeague
68852,fr,Eliaquim Mangala,25, D(C),187,74,23,0,2011,0,0,8,0.0,0.3,87.4,0,1.8,6.90,1.4,2.9,1.6,0.6,5.2,0.7,0.3,1,0,0.3,0,0.3,0.3,0,43.6,87.4,0,1.8,Manchester City,PremierLeague
9446,es,Jesús Navas,30, M(R),170,60,24,10,2282,0,7,1,0.0,0.9,83.4,0,0.3,6.86,0.9,0.6,0.5,0,0.3,0.6,0,0,1.6,0.7,0.1,1.3,1,1.6,37.3,83.4,1,1.2,Manchester City,PremierLeague
300495,al,Bersant Celina,19, Midfielder,177,60,0,1,13,0,1,0,0.0,0,100,0,0,6.78,1,0,0,0,0,0,0,0,2,0,0,0,0,2,12,100,2,0,Manchester City,PremierLeague
97692,gb,Raheem Sterling,21," AM(CLR),FW",170,69,23,8,1928,6,2,1,0.0,1.7,85.3,0,0.3,6.78,1.1,0.5,0.8,0,0.1,0.7,0,0,1.1,1.7,0.2,2.1,1.2,1.1,27.3,85.3,0.2,0.3,Manchester City,PremierLeague
