player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
118244,gb,Luke Shaw,20, D(L),185,75,5,0.0,450,0.0,1,1,0.0,0.2,86,0.0,2.8,7.36,1.8,1,1.6,0.6,3.8,1.4,0.4,0.0,0.8,0.6,0.2,1.2,0.4,0.8,54.2,86,1,2.6,Manchester United,PremierLeague
122366,fr,Anthony Martial,20," AM(LR),FW",181,76,29,2,2632,11,4,2,0.0,1.8,76.7,3,1.8,7.23,0.7,0.3,1.3,0,0.6,0.6,0.1,0,1.2,1.8,0.5,3.1,2.4,1.2,29.8,76.7,0.2,0.4,Manchester United,PremierLeague
71345,gb,Chris Smalling,26, D(CR),192,81,35,0,3150,0,1,8,0.0,0.5,82.4,1,3.5,7.17,1.6,2.8,1.3,0.5,5.1,0.4,0.5,1,0.2,0.4,0,0.3,0.3,0.2,43.8,82.4,0,3,Manchester United,PremierLeague
70033,nl,Daley Blind,26," D(CL),DMC,M(L)",180,72,35,0,3117,1,1,2,0.0,0.1,83.7,3,1,7.14,2.7,2.3,0.8,0.5,3.4,0.8,0.6,0.0,0.7,0.4,0,0.3,0.5,0.7,58,83.7,0.9,4.9,Manchester United,PremierLeague
3859,gb,Wayne Rooney,30," AM(CL),FW",176,83,27,1,2410,8,6,4,0.0,2.6,83.1,4,0.9,7.06,1,0.3,1,0,0.5,0.6,0.3,0,1.5,0.5,0.5,1.9,1.8,1.5,40.9,83.1,0.2,3.7,Manchester United,PremierLeague
18296,ec,Antonio Valencia,30," D(R),M(R)",181,83,8,6,855,0,3,1,0.0,0.4,88.2,0,1.3,7.05,1.9,1.1,1.1,0.1,1.3,0.6,0.4,0.0,0.5,0.4,0.1,0.3,1.1,0.5,41.7,88.2,0.6,1.6,Manchester United,PremierLeague
300299,gb,Marcus Rashford,18, FW,180,70,11,0,862,5,2,0,0.0,1.5,76.9,1,0.3,6.94,0.6,0.2,0.5,0,0.8,0.3,0.4,0,0.5,0.8,0.4,2,2.3,0.5,18.1,76.9,0,0.2,Manchester United,PremierLeague
70050,ar,Marcos Rojo,26, D(CL),187,80,15,1,1254,0,1,3,0.0,0.5,73.1,1,1.9,6.93,2.7,1.7,1.3,0,2,0.9,0.3,0.0,0.6,0.8,0.1,0.5,0.4,0.6,43.8,73.1,0.7,1.6,Manchester United,PremierLeague
29544,fr,Morgan Schneiderlin,26, DMC,181,75,25,4,2205,1,0,3,0.0,0.4,89.5,0,0.7,6.92,2.4,2.5,1.8,0,1.7,0.8,0.2,0.0,0.3,0.5,0,0.4,0.7,0.3,50.3,89.5,0,3.4,Manchester United,PremierLeague
23220,it,Matteo Darmian,26," D(CLR),M(LR)",182,70,24,4,1932,1,0,8,0.0,0.2,79.3,2,0.7,6.91,3,1.5,1,0.3,1.9,1,0.1,0.0,0.4,0.8,0.1,0.6,0.4,0.4,33.4,79.3,0.3,1.4,Manchester United,PremierLeague
