player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
71522,gb,Andros Townsend,24, AM(LR),181,77,12,1,1089,4,2,0.0,0.0,1.8,81.3,1,0.0,7.35,2.1,0.8,0.5,0.1,0.6,1.9,0.2,0.0,2,1,0,1.9,2.3,2,28,81.3,1.3,0.2,Newcastle United,PremierLeague
70483,gb,Karl Darlow,25, GK,185,79,9,0,810,0,0,0.0,0.0,0,43.7,1,0.2,7.08,0.1,0,0,0,1.6,0,0,0,0,0.1,0,0,0,0,23.9,43.7,0,8.4,Newcastle United,PremierLeague
29595,fr,Moussa Sissoko,26, M(CR),187,83,37,0,3223,1,7,3,0.0,1,76,4,1.5,7.04,1.5,0.9,1.4,0,1,0.4,0.1,0,1.5,0.8,0.1,1.7,1.6,1.5,37.4,76,1.1,1.1,Newcastle United,PremierLeague
104368,cd,Chancel Mbemba,21," D(C),DMC",182,82,33,0,2924,0,0,5,0.0,0.4,76.8,2,1.4,6.98,2.3,2.8,0.6,0.5,6.9,0.7,0.8,0.0,0.1,0.4,0,0.2,0.4,0.1,34.7,76.8,0.1,3.3,Newcastle United,PremierLeague
33568,nl,Georginio Wijnaldum,25, M(CL),175,69,36,2,3169,11,5,1,0.0,1.4,84.8,2,0.7,6.91,1,0.7,0.4,0,0.4,0.5,0.2,0,1.2,1.3,0.1,1.8,1.5,1.2,32.9,84.8,0.2,1,Newcastle United,PremierLeague
69867,gb,Jack Colback,26," D(L),M(C)",176,70,28,1,2397,1,1,11,0.0,0.5,84.8,0,0.9,6.90,2.8,2.1,1.7,0.0,1.3,1.2,0.4,0.0,0.6,1.5,0,0.6,0.3,0.6,36.8,84.8,0.6,2.6,Newcastle United,PremierLeague
112009,gb,Paul Dummett,24, D(CL),183,77,23,0,1897,1,0,3,0.0,0.2,69.2,0,2,6.89,2.3,1.8,0.6,0.3,3.8,1,0.5,0.0,0.2,0.4,0,0,0.3,0.2,29.3,69.2,0.3,2.1,Newcastle United,PremierLeague
19396,ci,Cheick Tioté,30, M(C),175,76,16,4,1228,0,0,5,0.0,0.1,85.5,0,1.8,6.87,2.4,2.1,1.6,0,1.5,1.1,0.2,0.0,0.4,0.7,0,0.8,0.5,0.4,41.8,85.5,0,2.2,Newcastle United,PremierLeague
32323,nl,Daryl Janmaat,26, D(R),185,80,32,0,2755,2,4,5,1,0.6,73.8,1,0.8,6.85,2.5,1.8,0.9,0.2,2.6,0.9,0.3,0.0,0.8,0.3,0.2,0.6,1.1,0.8,39.1,73.8,0.9,2.5,Newcastle United,PremierLeague
94892,sn,Massadio Haidara,23, D(L),181,76,6,1,556,0,0,1,0,0.4,81.3,0,1,6.77,1.7,2.7,1.3,0.3,2.6,0.7,0.4,0.0,0.3,1.4,0,1.4,1,0.3,32.9,81.3,0.6,1.4,Newcastle United,PremierLeague
40027,gb,Jonjo Shelvey,24, M(C),185,80,11,4,1048,0,3,3,0,1.5,80.1,0,0.3,6.72,1.5,1.3,0.7,0,0.9,0.7,0.1,0,1.3,0.1,0,0.3,0.8,1.3,43.3,80.1,0.9,4.6,Newcastle United,PremierLeague
135366,es,Ayoze Pérez,22," AM(CLR),FW",179,66,22,12,2050,6,2,4,0,1.5,75.6,1,0.2,6.71,1.6,0.8,1,0,0.4,1.2,0.1,0,0.9,1.1,0.1,1.9,1.6,0.9,17.2,75.6,0.5,0.7,Newcastle United,PremierLeague
63885,nl,Vurnon Anita,27," D(LR),DMC",168,63,24,4,2108,1,3,6,0,0.3,77.4,0,0.6,6.71,2.6,2,1,0.1,1.4,1,0.3,0.0,0.5,0.4,0,0.6,0.6,0.5,35.4,77.4,0.2,1.9,Newcastle United,PremierLeague
