player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
77114,ch,Timm Klose,28, D(C),193,87,10,0.0,850,1,0.0,3,0.0,0.3,65.4,3,4,7.21,1.4,2.4,0.6,0.8,10.2,0.6,1,1,0,0.7,0,0,0.2,0,25.7,65.4,0,2.9,Norwich,PremierLeague
93473,ie,Robbie Brady,24," D(L),M(CL)",176,71,34,2,2988,3,2,3,0.0,1.5,70.5,4,1.2,7.15,2.8,1.6,1.1,0.2,2.4,1,0.1,0.0,1.5,0.5,0.1,1,1.1,1.5,31.6,70.5,1.7,2.1,Norwich,PremierLeague
22820,cd,Dieumerci Mbokani,30, FW,185,80,15,14,1589,7,1,0,0.0,1.3,68.8,1,4.1,6.81,0.4,0.1,0.6,0,0.8,0.3,0,0,0.9,1.6,1,1.7,1.7,0.9,16.7,68.8,0,0.1,Norwich,PremierLeague
23273,gb,Jonny Howson,28, M(CR),180,77,33,3,2953,3,4,7,0.0,1,74.8,0,0.9,6.77,2.1,1.2,0.8,0,1.8,1.3,0.3,0.0,0.7,0.5,0.1,1,0.9,0.7,35.6,74.8,0.3,1.8,Norwich,PremierLeague
25834,gb,Ryan Bennett,26, D(C),188,70,20,2,1838,0,0,7,0.0,0.4,74.3,1,2.5,6.76,0.9,1.6,0.6,1.1,7.9,0.4,0.6,1,0.2,0.2,0,0,0.1,0.2,25.5,74.3,0,3,Norwich,PremierLeague
86425,gb,Nathan Redmond,22, AM(CLR),173,69,24,11,2339,6,3,0,0.0,1.5,77.5,3,0.2,6.75,0.9,0.4,0.8,0,0.3,0.8,0,0,1.3,0.8,0.2,1.3,1.4,1.3,27.8,77.5,0.7,0.8,Norwich,PremierLeague
19247,cm,Sebastien Bassong,29, D(C),187,73,30,2,2789,1,0,4,0.0,0.6,76.8,0,3,6.75,0.8,1.7,0.8,0.9,8,0.4,0.6,0,0.1,0.7,0.1,0.2,0.2,0.1,27.5,76.8,0,2.3,Norwich,PremierLeague
19541,ie,Wes Hoolahan,34, AM(CL),168,71,25,5,2006,4,8,1,0.0,0.9,82.1,1,0.1,6.71,0.9,0.5,0.6,0,0,1.3,0,0,1.6,1.3,0.2,2.3,1.5,1.6,37.1,82.1,0.5,1.2,Norwich,PremierLeague
9342,no,Alexander Tettey,30, M(C),180,68,23,0,1952,2,0,10,0.0,0.9,83.8,1,1.3,6.68,2.1,1.8,1.7,0,2.2,1,0.2,0.0,0.2,0.4,0,0.7,0.7,0.2,46.3,83.8,0,3,Norwich,PremierLeague
8684,gb,Russell Martin,30, D(CR),183,74,30,0,2698,3,0,4,1,0.6,73.3,0,1.5,6.61,1.4,1.2,1.1,0.6,6.7,0.6,0.8,0,0.3,0.2,0,0.2,0.3,0.3,37.3,73.3,0.2,4,Norwich,PremierLeague
101763,gb,Andre Wisdom,23, D(R),186,78,9,1,824,0,0,1,0,0.2,76.9,0,0.9,6.52,1.9,0.8,0.3,0.2,2.2,0.4,0.1,0.0,0.4,0.3,0,0.7,0.5,0.4,30.8,76.9,0.4,1.3,Norwich,PremierLeague
70598,pt,Ivo Pinto,26, D(R),184,73,9,1,811,0,0,0,0,0,74.8,0,0.5,6.50,1.7,2.1,0.9,0.1,2.8,0.9,0.2,0.0,0.2,0.6,0.3,0.7,1.1,0.2,30.6,74.8,0.8,1.8,Norwich,PremierLeague
40380,gb,Declan Rudd,25, GK,191,80,11,0,990,0,0,2,0,0,40.7,0,0,6.50,0.1,0.1,0.2,0,0.8,0,0,0,0,0,0,0,0,0,26.8,40.7,0,7.8,Norwich,PremierLeague
