player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
95408,nl,Virgil van Dijk,24, D(C),193,92,34,0.0,3060,3,0.0,2,0.0,0.9,83.1,7,4.8,7.56,1.7,2.8,0.8,0.3,7.6,0.3,0.6,0.0,0.3,0.5,0.1,0.2,0.3,0.3,40.8,83.1,0,3.5,Southampton,PremierLeague
69945,pt,Cédric Soares,24," D(R),M(R)",172,67,23,1,1971,0,2,3,0.0,0.4,68.8,1,0.8,7.27,3,2.3,0.8,0.1,2.8,0.6,0.5,0.0,1.1,0.6,0.1,0.7,1,1.1,32.6,68.8,1.3,2.8,Southampton,PremierLeague
109915,sn,Sadio Mané,24, AM(CLR),175,69,30,7,2608,11,6,4,2,2.3,80.8,4,0.8,7.14,1.5,0.9,1.2,0.1,0.4,0.5,0.1,0.0,1.1,1.9,0.7,1.6,2.6,1.1,26.1,80.8,0.4,0.8,Southampton,PremierLeague
17909,it,Graziano Pellè,30, FW,193,89,23,7,2174,11,6,6,0,2.7,66.1,4,3.7,7.08,0.5,0.3,1.3,0,1,0.1,0,0.0,1.2,0.9,0.5,2.1,1.9,1.2,29,66.1,0.1,1,Southampton,PremierLeague
29474,rs,Dusan Tadic,27, AM(CLR),181,76,27,7,2293,7,12,2,0,1.7,73.4,1,0.3,7.07,1.1,0.7,0.7,0,0.5,0.7,0.1,0.0,2.2,1,0.3,1.8,1.5,2.2,25.6,73.4,1.4,0.8,Southampton,PremierLeague
9734,gb,Steven Davis,31, M(CLR),173,70,31,3,2612,5,3,4,0,0.6,83.5,1,0.4,7.04,1.6,1.2,0.6,0,1.1,1.2,0.3,0.0,1.6,0.5,0.1,1.4,1,1.6,44.2,83.5,1.1,2.4,Southampton,PremierLeague
19859,pt,José Fonte,32, D(C),187,81,37,0,3169,2,1,4,1,0.5,84,0,2.5,7.03,1.4,2.2,0.6,0.5,6.1,0.5,0.9,0.0,0.1,0.3,0,0.2,0.2,0.1,43.8,84,0.1,3.7,Southampton,PremierLeague
71714,ke,Victor Wanyama,24, DMC,188,76,29,1,2501,1,1,4,3,1,82.4,1,2.1,7.02,3.1,2.3,1.7,0.0,2.1,1.2,0.2,0.0,0.5,0.9,0,0.8,0.9,0.5,45.1,82.4,0,2.7,Southampton,PremierLeague
13798,ie,Shane Long,29," AM(R),FW",178,70,23,5,2111,10,4,2,0,2.3,66.4,1,2.9,7.02,0.5,0.7,1.5,0,0.8,0.6,0.1,0.0,1.2,1.4,0.9,1.5,2.3,1.2,21.3,66.4,0.3,0.1,Southampton,PremierLeague
136776,gb,Matt Targett,20," D(L),M(L)",183,70,13,1,1071,0,1,1,0,0.2,76.7,1,1.1,6.92,1.4,1.9,0.3,0.2,2.4,0.9,0.1,0.0,0.4,0.9,0.1,0.4,0.2,0.4,28.8,76.7,0.8,2.9,Southampton,PremierLeague
22846,gb,Ryan Bertrand,26," D(CL),M(L)",179,85,32,0,2880,1,3,6,0,0.4,79.8,0,1.2,6.92,1.3,2.3,0.9,0.3,2.8,0.5,0.2,0.0,0.7,0.8,0,0.7,0.7,0.7,35,79.8,0.9,1.8,Southampton,PremierLeague
43712,nl,Cuco Martina,26, D(CR),185,77,11,4,1084,1,1,1,0,0.2,74.3,0,0.4,6.81,2.5,1.6,1,0.1,2.3,0.5,0.2,0.0,0.8,0.7,0.1,0.3,0.6,0.8,28.5,74.3,0.7,2.7,Southampton,PremierLeague
90780,es,Oriol Romeu,24, DMC,183,83,17,12,1609,1,0,7,0,1,85,0,0.9,6.80,2.7,1.4,1,0,1.1,1.3,0.4,0.0,0.4,0.5,0,0.5,0.4,0.4,28.7,85,0,2,Southampton,PremierLeague
76499,gb,Steven Caulker,24, D(C),191,76,1,2,145,0,0,0,0,0.7,72.9,0,1.3,6.78,0.7,1.7,0,0.3,4.7,0.3,0.7,0.0,0.3,0.3,0,0,0.7,0.3,19.7,72.9,0,0.3,Southampton,PremierLeague
8140,gb,Kelvin Davis,39, GK,185,74,1,0,90,0,0,0,0,0,37.5,0,0,6.77,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,24,37.5,0,3,Southampton,PremierLeague
29796,gb,Fraser Forster,28, GK,201,93,18,0,1620,0,0,0,0,0,50.8,1,0.1,6.75,0,0,0,0,0.7,0.1,0,0.0,0,0,0,0,0,0,25.5,50.8,0,9.4,Southampton,PremierLeague
90802,nl,Jordy Clasie,24, DMC,169,66,20,2,1554,0,0,5,0,0.6,81.5,0,0.4,6.71,1.9,2.5,0.8,0,1.3,1.8,0.2,0.0,0.6,0.4,0,0.5,0.5,0.6,34.9,81.5,0.3,2.3,Southampton,PremierLeague
104732,es,Paulo Gazzaniga,24, GK,196,90,2,0,180,0,0,0,0,0,57.4,0,0,6.59,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,27,57.4,0,10,Southampton,PremierLeague
105172,gb,James Ward-Prowse,21, M(CR),173,66,14,19,1534,2,4,5,0,0.8,83.5,0,0.3,6.55,0.4,0.7,0.6,0,1.1,0.6,0.2,0.0,1,0.2,0,0.5,0.4,1,21.2,83.5,0.8,0.8,Southampton,PremierLeague
4065,nl,Maarten Stekelenburg,33, GK,197,92,17,0,1530,0,0,0,0,0,58,0,0.2,6.49,0.1,0,0,0,0.6,0,0,0.0,0.1,0.2,0,0,0,0.1,23.9,58,0,6.6,Southampton,PremierLeague
37204,jp,Maya Yoshida,27, D(CR),189,78,10,10,1016,1,0,0,0,0.1,79.6,1,1.1,6.48,0.7,1.6,0.4,0.2,3.4,0.3,0.5,0.0,0,0.4,0,0.3,0.3,0,24.3,79.6,0.1,2.2,Southampton,PremierLeague
82923,uy,Gastón Ramírez,25, AM(CLR),183,77,0,3,29,0,1,0,0,0,86.7,0,0.3,6.47,0.7,0.3,0,0,0.3,0,0,0.0,0.7,0,0,0.3,0.3,0.7,5,86.7,0,0,Southampton,PremierLeague
82102,gb,Charlie Austin,26, FW,188,84,2,5,208,1,0,0,0,1.1,64,0,1.3,6.40,0.7,0,0.4,0,1,0.4,0,0.0,0.1,1,0.3,1,0.6,0.1,7.1,64,0.1,0.1,Southampton,PremierLeague
33891,gb,Jay Rodriguez,26," AM(CLR),FW",185,80,3,9,347,0,0,1,0,1.4,77.7,0,0.6,6.26,0.4,0.2,0.3,0.1,0.2,0.3,0.1,0.0,0.3,0.1,0.3,0.3,1,0.3,7.8,77.7,0.2,0.1,Southampton,PremierLeague
135724,gb,Harrison Reed,21, DMC,181,72,0,1,10,0,0,0,0,0,77.8,0,1,6.11,1,0,0,0,0,0,0,0.0,0,0,0,1,2,0,9,77.8,0,0,Southampton,PremierLeague
83080,es,Juanmi,23," AM(CL),FW",170,63,0,12,162,0,0,0,0,0.4,77.1,0,0,6.06,0.1,0,0.1,0,0,0.4,0.1,0.0,0.3,0.4,0.1,0.4,0.2,0.3,4,77.1,0,0,Southampton,PremierLeague
