player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
81959,fr,Giannelli Imbula,23, DMC,186,78,14,0.0,1260,2,0.0,4,0.0,1.5,87.8,2,0.9,7.07,1,0.5,1.2,0,0.4,0.8,0.1,0.0,0.8,1.4,0,1.3,1.3,0.8,55.1,87.8,0,1.4,Stoke,PremierLeague
34693,at,Marko Arnautovic,27, AM(LR),192,83,33,1,2820,11,6,2,0.0,2.1,79.5,2,0.2,7.05,1.6,0.8,1.4,0,0.4,0.9,0,0.0,1.5,0.7,0.9,1.3,1.9,1.5,31.8,79.5,0.5,1.1,Stoke,PremierLeague
86173,de,Philipp Wollscheid,27, D(C),194,88,30,1,2685,0,0,2,0.0,0.1,84.5,2,2.3,7.00,2.4,2.4,0.5,0.5,5.3,0.9,0.6,0.0,0.2,0.6,0,0,0.3,0.2,39.4,84.5,0,2.9,Stoke,PremierLeague
24148,nl,Erik Pieters,27, D(L),184,84,35,0,3098,0,1,10,0.0,0.1,77.7,2,1.4,6.98,3.3,2.7,1.7,0.3,2.7,1.1,0.5,0.0,0.5,1.4,0,0.4,0.8,0.5,43,77.7,0.4,1.7,Stoke,PremierLeague
4574,gb,Glen Johnson,31, D(LR),178,70,25,0,2186,0,3,1,0.0,0.7,81.9,0,0.7,6.92,1.6,2,0.4,0.2,1.1,1.3,0.5,0.0,0.7,0.4,0.2,1,1.1,0.7,35.8,81.9,0.4,1.3,Stoke,PremierLeague
107395,gb,Jack Butland,23, GK,192,95,31,0,2790,0,0,0,0.0,0,49.7,2,0.1,6.90,0,0,0,0,0.6,0.1,0,0.0,0,0,0,0,0.1,0,28.5,49.7,0,8.3,Stoke,PremierLeague
38772,us,Geoff Cameron,30," D(CLR),DMC",191,84,27,3,2361,0,0,0,1,0.5,76.3,0,2.3,6.86,2,1.9,0.9,0.3,3.3,0.9,0.6,0.0,0.3,0.3,0,0.6,0.6,0.3,37.6,76.3,0,1.4,Stoke,PremierLeague
18181,gb,Phil Bardsley,30, D(LR),180,74,9,2,817,0,1,1,0,0.6,76.7,0,1.1,6.84,2.8,1.6,1.1,0.2,2.9,0.7,0.7,0.0,0.4,1.4,0,0.5,0.5,0.4,27.3,76.7,0.2,1.5,Stoke,PremierLeague
76304,ch,Xherdan Shaqiri,24, M(CLR),169,72,27,0,2039,3,6,3,0,1.5,82.3,2,0.1,6.82,0.7,0.4,0.9,0,0.1,0.4,0,0.0,1.9,1,0.3,1.7,2.2,1.9,23.7,82.3,1.4,0.7,Stoke,PremierLeague
29798,gb,Ryan Shawcross,28, D(C),191,76,20,0,1697,0,0,2,1,0.4,72.6,0,2.5,6.81,2.2,2,0.9,0.2,4.7,0.8,1,0.0,0.1,0.2,0.2,0.2,0.2,0.1,29.6,72.6,0,1.9,Stoke,PremierLeague
8505,ie,Glenn Whelan,32, DMC,180,79,37,0,3174,0,1,6,0,0.3,87,1,1.1,6.80,1.9,2,0.7,0,2.7,1.3,0.6,0.0,0.7,0.5,0,0.5,0.6,0.7,55.9,87,0.1,2.8,Stoke,PremierLeague
31402,es,Bojan,25," AM(CLR),FW",170,65,22,5,1712,7,1,2,0,1.3,84.3,2,0.1,6.78,0.7,0.6,0.3,0,0,1.2,0,0.0,1,1.1,0.1,1.4,1.4,1,27,84.3,0.2,1.4,Stoke,PremierLeague
3860,ie,Jonathan Walters,32," M(CLR),FW",183,79,18,9,1725,5,3,1,0,1.2,65.7,1,3,6.66,0.3,0.2,0.5,0,1,0.3,0.2,0.0,0.9,1,0.9,1,1.7,0.9,18.2,65.7,0.1,0.6,Stoke,PremierLeague
12480,nl,Ibrahim Afellay,30, M(CLR),180,76,24,7,2099,2,2,3,1,1.3,90.2,0,0.5,6.60,0.9,0.4,0.6,0,0.4,0.7,0,0.0,0.7,1.2,0.1,1,1.4,0.7,41.1,90.2,0.4,2.2,Stoke,PremierLeague
74603,es,Joselu,26, FW,192,80,10,12,1090,4,1,0,0,1.3,71.8,1,2.6,6.59,0.6,0.3,0.9,0,0.5,0.8,0,0.0,0.5,0.8,0.4,0.9,1.6,0.5,17.2,71.8,0.2,0.5,Stoke,PremierLeague
75177,es,Marc Muniesa,24, D(CL),179,72,12,3,1112,0,0,2,0,0.2,83,1,0.7,6.58,1.9,2.3,0.7,0.4,2.9,0.9,0.7,0.0,0.3,0.5,0,0.2,0.8,0.3,35.3,83,0.1,2.1,Stoke,PremierLeague
73844,br,Dionatan Teixeira,23, Defender,193,78,0,1,45,0,0,0,0,0,28.6,0,1,6.55,1,0,0,0,3,0,2,0.0,0,0,0,0,0,0,7,28.6,0,0,Stoke,PremierLeague
3807,gb,Peter Crouch,35, FW,201,75,4,7,458,0,1,0,0,0.6,57.9,0,4.5,6.47,0.3,0.4,1.2,0,0.8,0.5,0,0.0,0.4,0.4,0.8,0.7,1.1,0.4,13.8,57.9,0,0,Stoke,PremierLeague
26013,sn,Mame Biram Diouf,28," AM(LR),FW",185,79,12,14,1269,5,1,3,0,1.2,72,2,1.3,6.46,0.7,0.2,0.8,0,0.7,0.4,0,0.0,0.4,1,0.3,0.5,1.3,0.4,10.2,72,0,0.2,Stoke,PremierLeague
8327,gb,Charlie Adam,30, M(C),185,83,12,10,1045,1,1,6,1,1.3,75.5,0,0.8,6.46,0.8,0.5,1.4,0,0.6,1,0.2,0.0,0.5,1.1,0,0.5,0.7,0.5,24.8,75.5,0.5,3.1,Stoke,PremierLeague
85470,nl,Marco van Ginkel,23, DMC,186,82,8,9,753,0,0,0,0,0.7,82.3,0,0.8,6.45,1.6,1.3,0.8,0.1,0.9,0.7,0.1,0.0,0.3,0.5,0,0.6,0.7,0.3,21.9,82.3,0.1,1,Stoke,PremierLeague
5554,gb,Steve Sidwell,33, M(C),178,70,0,1,12,0,0,0,0,0,83.3,0,1,6.38,4,0.0,1,0.0,0.0,1,0.0,0.0,0,0,0,1,0,0,6,83.3,0,0,Stoke,PremierLeague
14169,ie,Stephen Ireland,29, M(C),176,68,0,13,232,0,1,2,0,0.2,84.4,0,0.2,6.25,0.8,0.2,0.3,0,0.1,0.4,0,0.0,0.6,0,0,0.1,0.6,0.6,12.3,84.4,0.2,0.7,Stoke,PremierLeague
1034,ie,Shay Given,40, GK,183,84,3,0,226,0,0,1,0,0,63.8,0,0.3,6.22,0,0,0,0,1,0.3,0,0.0,0,0.3,0,0,0,0,19.3,63.8,0,10.3,Stoke,PremierLeague
23446,ie,Marc Wilson,28," D(CL),DMC",188,80,1,3,259,0,0,0,0,0,74.3,0,1.8,6.15,1.8,0.5,0.5,0.3,3.8,0.8,0,0.0,0.3,0.8,0,0.3,0.5,0.3,28.3,74.3,0.3,2.5,Stoke,PremierLeague
298599,dk,Jakob Haugaard,24, Goalkeeper,197,87,4,1,405,0,0,0,0,0,54.7,0,0,6.14,0,0,0,0,0.6,0.2,0,0.0,0,0,0,0,0.2,0,25.6,54.7,0,11,Stoke,PremierLeague
7719,ng,Peter Odemwingie,34," AM(LR),FW",182,75,0,5,101,0,0,0,0,0.4,89.8,0,0.2,6.12,0.6,0.4,0.6,0,0.2,0.4,0,0.0,0,0.2,0.2,0.4,0.8,0,9.8,89.8,0.2,0.2,Stoke,PremierLeague
