player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
34214,fr,Lamine Koné,27, D(C),186,83,15,0.0,1315,2,1,0.0,0.0,0.7,62.6,2,3.3,7.27,1.8,2.1,0.3,0.9,9.2,0.4,0.7,0,0.3,0.3,0.1,0.2,0.4,0.3,26.7,62.6,0,2,Sunderland,PremierLeague
14805,fr,Younes Kaboul,30, D(C),182,75,22,1,2009,0,1,3,1,0.5,68.4,0,3.4,7.18,1.9,2.3,0.7,0.3,8.6,0.5,0.9,0,0.3,0.4,0,0.3,0.3,0.3,28.3,68.4,0.1,2.2,Sunderland,PremierLeague
78221,nl,Patrick van Aanholt,25," D(L),M(L)",177,74,33,0,2970,4,3,2,0,1.4,77.4,1,0.4,7.11,2.6,1.9,0.5,0.1,3.1,1.2,0.3,0,0.9,0.4,0.1,0.8,0.8,0.9,32.4,77.4,0.4,1.4,Sunderland,PremierLeague
33886,fr,Yann M'Vila,25, M(C),182,80,36,1,3189,1,4,1,0,0.8,81.4,2,1.2,7.10,2.7,2.3,0.5,0.1,3,1.4,0.2,0,1.2,1.2,0,0.7,0.5,1.2,45.3,81.4,0.5,2.8,Sunderland,PremierLeague
69609,de,Jan Kirchhoff,25," D(C),DMC",195,90,14,1,1084,0,0,0,0,0.5,69.8,1,2.2,7.08,3.5,2.1,1.3,0.1,3.5,2.1,0.2,0.0,0.7,1.1,0,0.8,1.3,0.7,36.6,69.8,0.1,2.5,Sunderland,PremierLeague
252285,gb,Thomas Robson,20, Defender,178,75,1,0,90,0,0,0,0,0,69.4,0,2,7.04,4,1,0.0,0.0,3,1,0.0,0.0,0,1,0,1,0,0,36,69.4,0,3,Sunderland,PremierLeague
110189,gb,Jordan Pickford,22, GK,185,77,2,0,180,0,0,0,0,0,31.4,0,0.5,7.02,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,35,31.4,0,10.5,Sunderland,PremierLeague
71381,tn,Wahbi Khazri,25, M(CLR),182,76,13,1,1078,2,1,3,0,1.7,73.8,1,0.4,6.98,1.9,1,1.3,0.1,0.6,2.2,0,0,1.9,0.9,0.4,1.9,1.6,1.9,23.4,73.8,1.9,1.3,Sunderland,PremierLeague
21682,it,Vito Mannone,28, GK,188,80,19,0,1710,0,0,2,0,0,39.9,0,0.4,6.97,0,0,0,0,1.2,0.1,0,0,0,0.2,0,0,0,0,29.4,39.9,0,7.8,Sunderland,PremierLeague
71268,uy,Sebastián Coates,25, D(C),196,85,14,2,1229,0,1,4,0,0.4,70.7,1,1.7,6.85,2.8,2.6,1.1,0.6,5.6,1.2,0.6,1,0.1,0.1,0,0.1,0.2,0.1,23.7,70.7,0,1.8,Sunderland,PremierLeague
126958,us,DeAndre Yedlin,22, D(R),173,73,21,2,1813,0,1,2,0,0.2,67.6,0,1,6.84,1.7,1.1,0.9,0.3,3.9,0.6,0.6,0,0.5,0.5,0,0.3,1,0.5,22.5,67.6,0.3,0.9,Sunderland,PremierLeague
2837,gb,Jermain Defoe,33," AM(R),FW",171,65,28,5,2550,15,1,3,0,2.6,75.8,2,0.2,6.79,0.5,0.1,0.5,0,0.1,0.2,0,0,0.7,1.1,1.3,1.3,1.5,0.7,12.9,75.8,0.1,0.3,Sunderland,PremierLeague
8236,gb,Billy Jones,29, D(LR),183,77,23,1,2033,1,1,8,0,0.6,71.5,0,2.5,6.75,3.2,1.3,1.3,0.1,2.7,1.2,0.7,0.0,0.5,0.6,0.1,0.5,0.6,0.5,23.7,71.5,0.2,0.8,Sunderland,PremierLeague
9766,gb,Steven Fletcher,29, FW,186,76,11,5,1017,4,0,0,0,1.6,61.7,1,4,6.73,0.7,0.2,1.2,0,0.4,0.3,0.1,0,0.5,1.1,0.5,1.9,1.7,0.5,18.1,61.7,0,0.3,Sunderland,PremierLeague
27512,nl,Jeremain Lens,28, AM(LR),178,80,14,6,1295,3,3,3,1,1.3,67.5,1,1.1,6.72,1.8,0.2,1.4,0,0.5,1.2,0,0,0.9,1.6,0.2,1.8,1.9,0.9,19.3,67.5,0.7,0.7,Sunderland,PremierLeague
80882,it,Fabio Borini,25," AM(LR),FW",178,73,22,4,1899,5,2,6,0,1.8,71.6,0,1,6.70,0.9,0.8,1.2,0,1.2,1.2,0.1,0,0.7,1.9,0.1,1.7,1.8,0.7,21.2,71.6,0.2,1.1,Sunderland,PremierLeague
14269,gb,Adam Johnson,28, M(CLR),175,63,11,8,1144,2,5,3,0,0.8,77,0,0.1,6.66,0.5,0.5,0.4,0,0.4,0.5,0.1,0,1.5,0.6,0.1,1,1.2,1.5,29.6,77,0.9,3,Sunderland,PremierLeague
73921,gb,Adam Matthews,24, D(R),178,71,0,1,36,0,0,0,0,0,84.6,0,0,6.65,2,0,0,0,1,0,0,0,0,0,0,1,1,0,13,84.6,1,0,Sunderland,PremierLeague
317721,gb,Rees Greenwood,19, Midfielder,0,0,1,0,52,0,0,0,0,0,91.3,0,0,6.63,1,2,1,0,0,0,0,0,1,0,0,0,2,1,23,91.3,0,1,Sunderland,PremierLeague
14268,gb,Lee Cattermole,28, M(C),178,76,27,4,2217,0,0,8,0,0.4,75.7,0,0.8,6.59,1.8,1.7,1.3,0,1,1.6,0.6,0,0.7,0.5,0,0.8,0.4,0.7,30,75.7,0.1,2.1,Sunderland,PremierLeague
3841,ie,John O'Shea,35, D(C),191,75,23,5,2008,0,0,2,0,0.3,74.1,0,1.8,6.59,1.1,1.4,0.7,0.2,6.5,0.3,0.4,0,0,0.5,0,0.1,0.1,0,21.1,74.1,0,1.6,Sunderland,PremierLeague
43948,ro,Costel Pantilimon,29, GK,203,96,17,0,1530,0,0,3,0,0,45.3,1,0.2,6.56,0,0,0.1,0,0.6,0.1,0,0,0.1,0.1,0,0,0,0.1,29.2,45.3,0,8.7,Sunderland,PremierLeague
