player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
8408,gb,Ashley Williams,31, D(C),183,77,36,0.0,3240,2,1,8,0.0,0.4,85,5,2,7.19,1.9,2.8,0.8,0.6,8.7,0.4,1.2,0,0.3,0.4,0.1,0.2,0.3,0.3,52.3,85,0,4.9,Swansea,PremierLeague
22847,gb,Jack Cork,26, DMC,183,70,28,7,2545,1,2,3,0.0,0.5,83.8,1,1.7,7.05,2.2,2.4,0.8,0.1,1.9,0.9,0.3,1,0.9,1.3,0.1,1,0.8,0.9,48.9,83.8,0.1,2.3,Swansea,PremierLeague
100718,gb,Stephen Kingsley,21, Defender,178,67,4,0,356,0,1,0,0.0,0.3,76.4,0,0.8,7.03,1.3,0.3,0.5,0.3,5,1,1,1,0.5,0.8,0,0,0.3,0.5,27.5,76.4,1.8,1.5,Swansea,PremierLeague
44847,ar,Federico Fernández,27, D(C),190,83,32,0,2880,1,1,3,0.0,0.5,84.8,1,2.7,6.98,1.8,2.5,1,0.8,6.8,0.8,0.7,2,0.3,0.7,0.1,0.1,0.3,0.3,53,84.8,0,2.6,Swansea,PremierLeague
30060,gh,André Ayew,26," M(CLR),FW",176,72,34,0,2940,12,2,5,0.0,2,81.7,3,1.3,6.98,1.6,0.7,1,0,0.4,1.2,0.1,0,0.7,2.3,0.3,2.1,1.5,0.7,31,81.7,0.1,0.7,Swansea,PremierLeague
69346,is,Gylfi Sigurdsson,26, M(CLR),186,79,32,4,2917,11,3,6,0.0,2.4,78.9,3,0.1,6.91,1.2,0.8,0.7,0,0.4,1.3,0.1,0,1.6,0.6,0.1,1.3,1.6,1.6,33.1,78.9,1.1,0.6,Swansea,PremierLeague
40027,gb,Jonjo Shelvey,24, M(C),185,80,14,2,1221,1,2,5,0.0,2.1,83.6,1,0.4,6.90,0.9,1.6,0.6,0,0.8,0.9,0.1,0,1.5,0.4,0.1,0.8,0.6,1.5,51.6,83.6,0.9,6.2,Swansea,PremierLeague
29820,es,Angel Rangel,33, D(R),188,84,20,3,1822,0,0,6,0.0,0.6,79.9,0,1.6,6.89,1.8,2.6,0.8,0.3,3.1,0.8,0.3,0,0.5,0.7,0.1,0.7,0.7,0.5,55.6,79.9,0.5,2.8,Swansea,PremierLeague
26236,se,Kristoffer Nordfeldt,26, GK,190,85,1,0,90,0,0,0,0.0,0,72,0,0,6.88,0,0,0,0,1,0,0,0,0,0,0,0,0,0,25,72,0,12,Swansea,PremierLeague
20973,pl,Lukasz Fabianski,31, GK,190,83,37,0,3330,0,1,1,0.0,0,58,2,0.4,6.87,0,0,0,0,1.1,0,0,0,0.1,0.2,0,0,0.1,0.1,27,58,0,7.3,Swansea,PremierLeague
