player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
12187,be,Mousa Dembélé,28, M(CR),185,82,27,2,2273,3,1,3,0.0,0.8,90,4,1.1,7.69,3.6,1.9,1.7,0.0,1.1,0.4,0.3,0.0,1,1.1,0.1,2.2,0.8,1,47.6,90,0,1.4,Tottenham,PremierLeague
83532,gb,Harry Kane,22," AM(C),FW",188,65,38,0,3370,25,1,5,0.0,4.2,73.1,8,2,7.53,0.8,0.6,1.1,0,0.8,0.3,0.2,1,1.2,1.4,0.8,2.4,1.8,1.2,25.3,73.1,0.1,1.2,Tottenham,PremierLeague
69344,dk,Christian Eriksen,24, M(CLR),175,71,33,2,2942,6,13,2,0.0,2.9,81.2,2,0.5,7.45,1.3,1,0.4,0,0.7,0.7,0,0,3.3,0.5,0,1.8,1.8,3.3,52.6,81.2,1.2,2.2,Tottenham,PremierLeague
131519,gb,Dele Alli,20, M(CL),188,76,28,5,2482,10,9,7,0.0,2.2,75.9,2,1.1,7.35,2.2,1.8,1.5,0,1,1.2,0.2,0,1.7,2,0.2,2.5,2.5,1.7,32.9,75.9,0.1,0.8,Tottenham,PremierLeague
83078,gb,Kieran Trippier,25, D(R),178,71,5,1,458,1,1,1,0.0,0.3,74,0,1.8,7.26,2.3,1.8,0.5,0,2,0.3,0.3,0,1,1.7,0,0.7,1.2,1,44.2,74,1.2,1.8,Tottenham,PremierLeague
24711,gb,Danny Rose,25, D(L),173,72,24,0,2132,1,3,7,0.0,1.1,79.4,0,1,7.25,2.8,1.6,1.7,0.1,3.3,0.8,0.5,0.0,1,1.8,0,1.2,0.8,1,44.2,79.4,0.5,2,Tottenham,PremierLeague
69778,gb,Kyle Walker,26, D(R),178,70,33,0,2943,1,3,7,0.0,0.6,78.4,1,1.6,7.19,2.6,2.8,0.9,0.3,3.2,0.8,0.2,1,1,0.9,0.1,0.7,1,1,37.9,78.4,0.5,2.3,Tottenham,PremierLeague
69933,be,Toby Alderweireld,27, D(CR),186,81,38,0,3420,4,2,3,0.0,1.1,80.5,1,1.6,7.16,1.2,1.7,0.2,1.2,7.5,0.4,0.9,0,0.3,0.1,0,0.2,0.2,0.3,54.6,80.5,0.1,6.3,Tottenham,PremierLeague
75830,ar,Erik Lamela,24, AM(CLR),183,79,28,6,2385,5,9,9,0.0,1.7,78.6,2,0.4,7.15,2.4,0.8,1.9,0,0.1,1.5,0.1,0,2.2,1,0.4,2.1,1.9,2.2,29,78.6,1.1,0.6,Tottenham,PremierLeague
117973,gb,Eric Dier,22," D(CR),DMC",188,88,37,0,3268,3,2,10,0.0,0.8,83.3,2,2.4,7.06,2.1,2.2,1.4,0.1,1.9,0.9,0.6,0,0.5,0.6,0,0.8,0.4,0.5,56.3,83.3,0.1,3.2,Tottenham,PremierLeague
21778,be,Jan Vertonghen,29, D(CL),189,86,29,0,2595,0,0,5,0.0,0.4,87.7,0,1.9,7.06,1.7,2.2,0.6,0.8,6,0.2,0.6,1,0.2,0.7,0,0.1,0.3,0.2,50.8,87.7,0.1,3.5,Tottenham,PremierLeague
103837,gb,Ben Davies,23, D(L),181,76,14,3,1288,0,2,3,0.0,0.5,76.2,0,1.5,6.88,1.9,1.6,0.9,0.2,3.6,0.6,0.4,0,0.9,0.5,0,0.6,0.8,0.9,36.6,76.2,0.5,1.5,Tottenham,PremierLeague
101550,at,Kevin Wimmer,23, D(C),187,85,9,1,813,0,0,2,0.0,0.1,89.5,0,0.9,6.84,0.5,2,1.2,1.3,4.9,0.4,0.9,0,0.2,0.3,0,0.2,0.3,0.2,54.1,89.5,0,4.6,Tottenham,PremierLeague
25604,fr,Hugo Lloris,29, GK,188,73,37,0,3330,0,0,0,0.0,0,63.8,0,0.1,6.75,0.1,0,0,0,1.2,0,0,0,0,0.1,0,0,0.1,0,28.3,63.8,0,6.8,Tottenham,PremierLeague
71522,gb,Andros Townsend,24, AM(LR),181,77,0,3,64,0,0,0,0.0,1.7,82.1,0,0,6.60,0.7,0,0.3,0,0.7,0.7,0,0,0.7,0,0,0,0.3,0.7,9.3,82.1,0,0.3,Tottenham,PremierLeague
91909,kr,Son Heung-Min,23," AM(CLR),FW",184,79,13,15,1107,4,1,0,0.0,1.4,79.6,0,0.3,6.53,1,0.4,0.4,0,0.3,0.7,0,0,0.6,0.4,0.3,1.9,0.8,0.6,16,79.6,0,0.1,Tottenham,PremierLeague
34302,be,Nacer Chadli,26, AM(CL),189,80,10,19,938,3,2,1,0.0,0.9,82.5,0,0.6,6.39,0.4,0.3,0.6,0,0.6,0.2,0.1,0,0.8,0.2,0.1,0.7,0.8,0.8,13,82.5,0.1,0.4,Tottenham,PremierLeague
69878,gb,Ryan Mason,25, DMC,175,68,8,14,801,1,0,3,0.0,0.9,86.3,0,0.5,6.39,1.1,0.4,0.4,0,0.4,0.7,0.1,0,0.5,0.5,0,0.4,0.6,0.5,23.9,86.3,0.1,1.6,Tottenham,PremierLeague
90907,gb,Tom Carroll,24, M(C),177,71,4,15,506,1,0,3,0.0,0.3,84.3,0,0.2,6.32,0.8,0.7,0.4,0,0.2,0.5,0.1,0,0.5,0.2,0,0.4,0.7,0.5,17.8,84.3,0.2,1.1,Tottenham,PremierLeague
121849,cm,Clinton N'Jie,22, FW,175,68,0,8,185,0,1,0,0.0,0.8,63.9,0,0.3,6.31,0.9,0,0.5,0,0,0.4,0.1,0,0.3,0.1,0.3,0.9,0.9,0.3,9,63.9,0.1,0.1,Tottenham,PremierLeague
137521,dz,Nabil Bentaleb,21, DMC,187,68,2,3,168,0,0,1,0.0,0.6,79.4,0,1,6.27,0.4,0.4,0.6,0,0.2,0.2,0.4,0,0.4,0,0,0.4,0.2,0.4,19.4,79.4,0,0.4,Tottenham,PremierLeague
19270,nl,Michel Vorm,32, GK,183,84,1,0,90,0,0,0,0.0,0,93.3,0,0,6.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,93.3,0,8,Tottenham,PremierLeague
136455,gb,Josh Onomah,19, Midfielder,180,64,0,8,78,0,0,0,0.0,0.4,72.7,0,0,6.12,0.5,0.1,0.1,0,0,0,0,0,0.1,0,0,0.3,0.1,0.1,5.5,72.7,0,0,Tottenham,PremierLeague
107848,gb,Alex Pritchard,23, AM(CL),171,62,0,1,5,0,0,0,0.0,0,100,0,0,6.03,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,100,0,0,Tottenham,PremierLeague
