player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
25832,gb,Troy Deeney,27, FW,180,76,36,2,3293,13,7,6,0.0,2.5,60.9,3,6.2,7.28,1.3,0.4,1.3,0.1,1.3,0.6,0.1,1,1.5,0.9,0.5,1.6,1.8,1.5,34,60.9,0.0,0.9,Watford,PremierLeague
122945,nl,Nathan Aké,21," D(L),DMC",180,75,20,4,1875,1,0,4,1,0.7,72.7,1,1.5,7.15,3.3,3.2,1.2,0.3,3,0.6,0.3,0.0,0.4,0.5,0,0.1,0.8,0.4,25.4,72.7,0.2,1.3,Watford,PremierLeague
10133,br,Heurelho Gomes,35, GK,191,91,38,0,3397,0,0,4,0,0,46.4,5,0.4,7.07,0.1,0.1,0.1,0,2,0,0,0,0,0.2,0,0,0,0,25.2,46.4,0,9.1,Watford,PremierLeague
33590,fr,Etienne Capoue,27," D(C),M(C)",189,80,33,0,2822,0,1,7,0,1.1,79.2,1,1.1,7.01,2.9,2.5,1.6,0,1.4,1.2,0.2,0.0,0.7,1.7,0.1,1.4,1.3,0.7,46.8,79.2,0.2,3.4,Watford,PremierLeague
31376,ng,Odion Ighalo,27," AM(C),FW",188,70,36,1,3153,15,3,4,0,2.9,75.9,6,0.6,6.96,0.7,0.4,1.3,0,0.7,0.6,0.1,0,1,1.5,0.7,2.2,2.8,1,19.5,75.9,0.1,0.2,Watford,PremierLeague
10254,gb,Ben Watson,30, M(C),178,68,31,4,2815,2,0,4,0,0.5,77.6,0,1.2,6.94,2,2.5,1,0,1.8,1.9,0.4,0.0,0.9,0.4,0,0.4,0.8,0.9,41.1,77.6,1.1,3,Watford,PremierLeague
21499,gr,José Holebas,31, D(L),184,77,11,0,946,0,0,2,0,1.2,73.8,1,2.2,6.92,2.3,2.6,0.7,0.2,3.1,0.7,0.1,0.0,0.5,0.5,0,1.5,1.6,0.5,37.5,73.8,0.3,2.4,Watford,PremierLeague
27349,at,Sebastian Prödl,29, D(C),194,92,19,2,1777,2,0,5,0,0.6,73.9,0,1.4,6.82,1.1,3.1,1.1,1,4.4,0.5,0.7,0,0.1,0.3,0,0.1,0.1,0.1,24.2,73.9,0,2.8,Watford,PremierLeague
36096,uy,Miguel Britos,30, D(CL),188,82,24,0,2076,0,0,7,0,0.3,66.1,0,2.6,6.80,1,2.5,0.8,1.1,5.3,0.5,0.6,0,0,0.8,0,0.1,0.2,0,32.8,66.1,0.1,4.3,Watford,PremierLeague
14259,es,Jurado,29, M(CL),176,72,27,0,2027,0,0,3,0,1.3,84.1,0,0.1,6.76,1.4,0.9,0.4,0,0.3,0.9,0,0.0,1.5,1.4,0,1.4,1.6,1.5,35.3,84.1,0.6,1.2,Watford,PremierLeague
