player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
19610,be,Sébastien Pocognoli,28, D(L),182,78,0,1,35,0.0,1,0.0,0.0,0.0,63.2,0.0,2,7.24,0,1,0,0,3,0,0,0,2,0,0,0,0,2,19,63.2,2,1,West Bromwich Albion,PremierLeague
22079,gb,Jonny Evans,28, D(CL),188,77,30,0,2593,1,1,4,0.0,0.2,75.1,1,1.8,7.20,2.4,3,0.8,0.3,3.4,0.8,0.9,0.0,0.3,0.7,0,0.5,0.2,0.3,32.8,75.1,0.4,3.7,West Bromwich Albion,PremierLeague
73063,gb,Craig Dawson,26, D(CR),188,78,38,0,3385,4,0,3,0.0,1,62.4,2,3.1,7.02,1.6,2.2,0.7,0.2,4.3,1.1,0.7,1,0.7,0.7,0.1,0.4,0.8,0.7,29.4,62.4,0.7,2.2,West Bromwich Albion,PremierLeague
10498,gb,James Morrison,30, M(CR),178,64,17,1,1344,3,3,3,0.0,1.3,83.6,2,0.3,7.00,1.4,2.4,0.4,0,0.6,0.9,0.3,0,0.8,0.7,0,1.5,1.3,0.8,32.9,83.6,0.1,1.9,West Bromwich Albion,PremierLeague
35691,ar,Claudio Yacob,28, DMC,181,77,33,1,2854,0,1,8,0.0,0.3,78.3,2,1.4,6.99,3.2,3.5,1.8,0.1,1.9,2,0.4,0.0,0.2,1.2,0,0.6,0.4,0.2,32.1,78.3,0.1,1.8,West Bromwich Albion,PremierLeague
8773,gb,Gareth McAuley,36, D(C),191,70,34,0,3060,1,0,4,1,0.2,68.6,0,2.7,6.95,1.4,2.8,0.9,0.7,5,0.3,0.8,1,0.2,0.5,0.1,0.4,0.2,0.2,24.9,68.6,0,2.9,West Bromwich Albion,PremierLeague
8137,gb,Joleon Lescott,33, D(CL),190,89,2,0,180,0,0,0,0,0,89.5,0,1,6.93,1,3,0,0,5,0.5,0.5,0,0,0.5,0,0.5,0,0,43,89.5,0,1,West Bromwich Albion,PremierLeague
76050,ie,James McClean,27," AM(CLR),FW",180,70,28,7,2416,2,2,7,1,0.9,69.3,2,1.7,6.83,2,0.9,1,0,1.5,1.6,0.2,0.0,0.8,1.1,0.2,1.3,1,0.8,17.1,69.3,1.3,0.7,West Bromwich Albion,PremierLeague
14061,bj,Stéphane Sessegnon,32, M(CLR),172,72,21,4,1761,2,2,1,0,1.2,80.1,1,0.4,6.81,0.8,0.6,0.7,0,0.3,0.4,0,0,1.1,2.1,0.1,2.1,2.1,1.1,22.1,80.1,0.8,0.4,West Bromwich Albion,PremierLeague
8507,gb,Chris Brunt,31," D(L),M(CL)",185,84,20,2,1803,0,3,7,0,0.8,69.8,0,1.1,6.80,1.3,1.7,0.8,0.1,3.1,0.9,0.5,0,1,0.4,0,0.4,0.6,1,28.3,69.8,1.2,2.7,West Bromwich Albion,PremierLeague
70285,gb,James Chester,27, D(CLR),177,75,9,4,963,0,0,5,0,0,69.1,0,1.6,6.71,2.5,1.8,0.8,0.1,3.8,1,0.4,0.0,0.3,0.5,0,0.3,0.4,0.3,25.2,69.1,0.1,0.8,West Bromwich Albion,PremierLeague
11530,gb,Ben Foster,33, GK,193,79,15,0,1350,0,0,1,0,0,42,0,0.1,6.69,0,0.1,0,0,0.4,0.1,0,0,0,0,0,0,0.1,0,24.6,42,0,8.7,West Bromwich Albion,PremierLeague
25964,ve,Salomón Rondón,26, FW,189,85,30,4,2568,9,2,1,1,2.1,65.5,1,2.7,6.62,0.3,0.4,1,0,1.3,0.5,0,0,0.8,1,0.8,2.6,2.7,0.8,18.5,65.5,0.2,0.3,West Bromwich Albion,PremierLeague
315290,gb,Jonathan Leko,17, Midfielder,182,75,3,2,271,0,1,0,0,0,83.7,0,0,6.61,1.8,1,1.4,0,0.6,1,0,0.0,0.4,0.8,0.2,2.8,2.2,0.4,9.8,83.7,0,0,West Bromwich Albion,PremierLeague
6695,se,Jonas Olsson,33, D(C),195,85,25,3,2018,1,1,5,0,0.2,68.9,2,1.7,6.61,0.6,1.6,0.8,0.4,4.5,0.3,1.1,1,0.1,0.4,0.1,0,0.1,0.1,20.6,68.9,0,2.1,West Bromwich Albion,PremierLeague
5835,gb,Darren Fletcher,32, M(C),183,83,38,0,3376,1,3,3,0,0.6,78.2,0,0.9,6.60,1.4,1.3,0.5,0,0.9,1.2,0.2,0,0.8,0.8,0,1.5,1.1,0.8,38.9,78.2,0.3,2.8,West Bromwich Albion,PremierLeague
8462,gb,Boaz Myhill,33, GK,191,91,23,0,2070,0,0,2,0,0,41.9,0,0.2,6.57,0,0,0,0,0.8,0,0,0,0,0.2,0,0,0,0,26.3,41.9,0,8.9,West Bromwich Albion,PremierLeague
