player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
14058,fr,Dimitri Payet,29, M(CLR),175,77,29,1,2573,9,12,3,0.0,2.3,80.2,5,0.1,7.74,0.8,0.8,0.4,0,0.1,0.8,0,0,4,1.3,0.1,1.7,1.8,4,42.3,80.2,3.1,2.6,West Ham,PremierLeague
69517,gb,Michail Antonio,26," D(R),M(CLR),FW",180,82,23,3,2063,8,3,3,0.0,2.1,69.6,2,1.5,7.35,1.4,2.2,1,0,1.7,0.7,0.2,0,0.9,1.3,0.4,1.3,2.5,0.9,20.1,69.6,0.6,1.2,West Ham,PremierLeague
66741,sn,Cheikhou Kouyaté,26," D(C),DMC",189,83,34,0,3010,5,2,5,1,1.3,79.6,1,2.6,7.26,2.8,2.2,1.1,0.1,1.7,1.5,0.4,0.0,0.6,1.2,0.1,0.9,1.1,0.6,36.3,79.6,0.1,1.2,West Ham,PremierLeague
89998,ar,Manuel Lanzini,23, AM(CR),167,59,23,3,1921,6,2,3,0,1.8,88.9,3,0.2,7.21,1.3,0.9,0.3,0,0.2,0.8,0.1,0,1.3,1.2,0.2,1,1.3,1.3,42,88.9,0.5,1,West Ham,PremierLeague
19277,nz,Winston Reid,27, D(C),190,87,24,0,2136,1,1,5,0,0.7,83.1,2,2.1,7.18,1.9,3.2,1,0.7,6.5,0.5,1,1,0.3,1.1,0,0.1,0.3,0.3,34.7,83.1,0,3.8,West Ham,PremierLeague
8247,gb,Mark Noble,29, M(C),180,70,37,0,3205,7,4,8,1,0.9,86.4,3,0.5,7.15,2.8,2.2,1,0.0,0.5,1.9,0.3,0.0,1.4,1.5,0.2,1.1,1,1.4,52,86.4,0.2,4.1,West Ham,PremierLeague
14524,ar,Mauro Zárate,29," M(CL),FW",176,76,9,6,791,3,0,1,0,1.9,85.2,2,0.2,7.03,1.7,0.5,0.8,0,0.5,0.7,0,0,1.3,1.5,0,1.1,1.7,1.3,17.5,85.2,1.2,0.7,West Ham,PremierLeague
23383,gb,Andy Carroll,27, FW,193,79,13,14,1436,9,2,2,0,2.1,61.6,1,4.1,6.92,0.3,0.3,1.4,0,1,0.2,0.3,0,0.7,0.9,0.3,0.8,1.3,0.7,16.1,61.6,0,0.5,West Ham,PremierLeague
8148,gb,James Collins,32, D(C),188,83,16,3,1440,0,0,3,1,0.7,75.6,0,2.7,6.92,1,1,0.6,0.8,7.9,0.5,1.2,0,0.1,0.4,0.1,0.1,0.1,0.1,30.2,75.6,0,2.9,West Ham,PremierLeague
33930,gb,James Tomkins,27, D(CR),191,74,23,2,1965,0,0,4,0,0.4,79.5,1,1.4,6.89,2.5,2.1,0.7,0.4,4,0.7,0.4,0.0,0.5,0.6,0,0.2,0.2,0.5,33.4,79.5,0.2,2.7,West Ham,PremierLeague
83297,sn,Diafra Sakho,26, FW,184,79,18,3,1527,5,1,3,0,2.3,62.2,0,2.6,6.88,0.7,0.4,0.9,0,0.9,0.4,0.1,0,0.7,1.3,0.6,2.1,2.9,0.7,16.4,62.2,0.1,0.2,West Ham,PremierLeague
23547,it,Angelo Ogbonna,28, D(C),191,86,27,1,2328,0,0,5,0,0.2,79.4,0,2.2,6.86,1.5,1.8,0.8,0.6,5.8,0.3,0.7,0,0.1,0.6,0,0.3,0.5,0.1,33.8,79.4,0,2.8,West Ham,PremierLeague
