player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
71501,ru,Nikolay Zajtsev,27, D(C),190,78,17,5,1703,0.0,0.0,4,0.0,0.5,68.3,0.0,3,6.92,1.6,2.9,1,0.5,4.6,0.4,0.6,0.0,0.1,0.8,0,0,0.2,0.1,29.7,68.3,0,2,Amkar,RussiaLeague
22223,bg,Petar Zanev,30, D(L),180,70,23,0,1937,0.0,3,8,0.0,0.8,68.7,2,1.2,6.91,1.8,2.5,1.3,0.1,2.2,0.4,0.5,0.0,1,1,0.1,0.4,0.6,1,33.1,68.7,1.2,3.8,Amkar,RussiaLeague
25455,ru,Dmitri Belorukov,33, D(C),190,89,17,1,1560,1,0,8,0.0,0.2,75.6,2,2.1,6.89,2.3,3.2,1.4,0.6,4.3,1,0.6,0.0,0,1,0,0.2,0.4,0,32.6,75.6,0,2.9,Amkar,RussiaLeague
285661,,Giorgi Jikia,22, D(CL),183,76,16,6,1496,2,1,7,0.0,0.8,63.7,3,1.5,6.83,1.6,2.2,1,0.2,2.8,0.2,0.6,0.0,0.4,0.7,0,0.2,0.4,0.4,24.4,63.7,0.5,2.2,Amkar,RussiaLeague
76582,ua,Bogdan Butko,25, D(R),180,78,26,0,2260,0,4,2,0.0,0.4,71.3,1,1.1,6.81,1.7,1.8,0.7,0.2,1.8,0.3,0.3,0.0,1,0.3,0,0.3,0.6,1,33.3,71.3,0.6,2.2,Amkar,RussiaLeague
20111,ru,Ivan Cherenchikov,31, D(CR),186,82,11,1,1006,0,0,6,0.0,0,74.7,0,1.2,6.81,1.8,3,2.1,0.6,5.7,0.5,0.8,0.0,0.2,1.2,0.1,0.1,0.2,0.2,28.7,74.7,0,3,Amkar,RussiaLeague
44691,pl,Janusz Gol,30, M(C),182,77,27,0,2222,3,0,3,0.0,1,77.7,0,0.7,6.79,1.9,2,2.6,0,0.7,0.9,0.1,0.0,0.8,1.7,0,2.3,1.4,0.8,36.7,77.7,0.3,1.9,Amkar,RussiaLeague
92025,ng,Fegor Ogude,28, M(C),181,85,22,0,1846,0,0,10,2,0.8,81.7,1,1.6,6.79,3.3,2.2,3,0.0,1,0.5,0.6,0.0,0.4,0.7,0,0.8,0.8,0.4,41.5,81.7,0.1,4.9,Amkar,RussiaLeague
74888,by,Sergei Balanovich,28," D(R),M(CLR)",176,70,25,1,2195,0,2,3,0,0.8,72.4,0,0.3,6.73,2.5,1.8,1.6,0.1,0.9,0.9,0,0.0,1,2.3,0.4,1.5,1.6,1,29.1,72.4,0.2,0.7,Amkar,RussiaLeague
285662,ng,Izunna Uzochukwu,26, DMC,171,70,6,3,516,0,0,2,0,0.3,74.2,0,0.7,6.61,2.2,1.9,1.2,0,1.1,0.8,0,0.0,0.1,0.3,0,0.4,0.6,0.1,24.1,74.2,0,2.1,Amkar,RussiaLeague
127969,ru,Alexander Selikhov,22, GK,190,79,23,0,2070,0,0,3,0,0,37.7,2,0.5,6.60,0.1,0,0.1,0,0.7,0,0,0.0,0,0.3,0,0,0.1,0,23,37.7,0,6,Amkar,RussiaLeague
285660,ru,Pavel Komolov,27, AM(R),178,67,12,5,1142,1,1,2,0,0.2,77.7,0,0.6,6.56,1.9,1.1,1.1,0,0.6,0.8,0.1,0.0,0.5,1,0.2,1.8,1.1,0.5,21.1,77.7,0.1,0.7,Amkar,RussiaLeague
236300,ru,Alikhan Shavaev,23, M(C),176,70,9,8,840,4,0,2,0,0.8,76.5,1,0.8,6.55,1.6,0.9,1.2,0,0.3,0.6,0,0.0,0.5,0.8,0.1,1,0.9,0.5,22,76.5,0.4,0.7,Amkar,RussiaLeague
243372,rs,Branko Jovicic,23, M(CL),179,74,10,6,962,0,1,1,0,0.9,76.8,0,0.7,6.54,1.5,1.3,1.5,0.1,0.6,0.3,0.1,0.0,0.6,0.5,0,0.8,0.7,0.6,29.9,76.8,0.2,1.7,Amkar,RussiaLeague
29983,ru,Roman Gerus,35, GK,192,86,7,0,630,0,0,1,0,0,39.2,1,0.9,6.54,0,0,0,0,0.7,0,0,0.0,0,0.1,0,0,0,0,21.9,39.2,0,6.1,Amkar,RussiaLeague
7060,bg,Georgi Peev,37, AM(CLR),181,79,15,5,1257,3,0,3,0,1.6,72.2,0,0.2,6.48,0.4,0.2,0.3,0,0.4,0.4,0,0.0,1.5,0.8,0,1.2,0.7,1.5,21.2,72.2,1.4,0.9,Amkar,RussiaLeague
120377,ru,Aleksandr Salugin,27," AM(L),FW",188,83,8,12,873,3,2,3,0,1.5,65.3,0,1.5,6.42,0.3,0.2,1.5,0,0.4,0.2,0.1,0.0,0.4,0.8,0.4,0.9,1.1,0.4,11.1,65.3,0,0.3,Amkar,RussiaLeague
120417,ru,Roland Gigolaev,26, AM(L),176,70,6,2,516,0,0,3,0,0.9,72.4,0,1.3,6.41,1.3,0.9,1.6,0,0.8,0.6,0,0.0,0.3,1.4,0.5,1.4,1.8,0.3,21.3,72.4,0.6,0.8,Amkar,RussiaLeague
26368,ru,Aleksandr Prudnikov,27," AM(C),FW",185,79,20,9,1783,2,0,2,1,1.7,64.1,1,1.7,6.40,0.7,0.2,1.2,0,0.4,0.1,0.1,0.0,0.5,1.2,0.8,1.9,2,0.5,19.4,64.1,0.3,0.8,Amkar,RussiaLeague
22044,am,Robert Arzumanyan,30, D(C),184,74,5,0,391,0,0,0,0,0.2,77.4,0,1.6,6.35,0.2,2.2,1.6,0.4,3.6,0,0.8,0.0,0,0.8,0,0,0.2,0,33.6,77.4,0,4,Amkar,RussiaLeague
124454,ru,Brian Idowu,24, M(L),178,76,15,7,1413,0,0,2,0,0.4,75.6,0,1,6.33,1,0.6,0.9,0.1,1,0.2,0.1,0.0,0.3,0.8,0.5,0.7,1.1,0.3,18.4,75.6,0.3,0.5,Amkar,RussiaLeague
236299,ru,David Dzakhov,27, M(C),184,79,2,2,207,0,0,0,0,0.3,72.9,0,1.8,6.24,0.3,1.3,1.8,0,0.8,0,0,0.0,0.3,0.5,0.5,1.3,2,0.3,17.5,72.9,0.3,0.3,Amkar,RussiaLeague
