player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
33168,ru,Andrey Eshchenko,32, D(LR),170,62,15,1,1366,0.0,0.0,2,0.0,0.6,67,1,0.6,7.06,3.9,2.9,1.3,0.3,2.5,1.5,0.3,1,1.2,1.1,0.1,0.3,0.9,1.2,35,67,1.3,1.8,Anzhi Makhachkala,RussiaLeague
140844,ru,Magomed Musalov,22, Forward,183,74,9,0,810,1,1,1,0.0,0.8,77.4,1,0.9,6.98,2.2,2.9,1.4,0.2,1.4,0.3,0.4,0,1,0.7,0,1.1,1.9,1,23.1,77.4,0.4,0.8,Anzhi Makhachkala,RussiaLeague
271620,ru,Georgi Tigiev,21, D(L),176,77,16,3,1459,0,0,1,0.0,0.1,75.8,0,0.7,6.81,1.8,2.2,1.2,0.2,1.9,0.7,0.4,0,0.6,0.9,0,0.8,0.5,0.6,26.1,75.8,0.3,2,Anzhi Makhachkala,RussiaLeague
285529,ru,Alexander Zhirov,25, D(C),193,88,30,0,2700,1,1,3,0.0,0.2,74.9,0,2.1,6.80,1.7,2.8,0.9,0.6,4.8,0.3,0.5,0,0.4,0.5,0,0.2,0.1,0.4,37.5,74.9,0.1,3.9,Anzhi Makhachkala,RussiaLeague
83200,gh,Jonathan Mensah,25, D(CR),188,83,6,0,540,0,1,0,0.0,1,68.5,0,2.3,6.80,0.7,2.7,0.8,0,3.5,0.2,0.2,0,0.8,0.8,0,0,0.5,0.8,40.2,68.5,0,3.2,Anzhi Makhachkala,RussiaLeague
39696,fr,Yannick Boli,28, FW,181,75,21,7,2064,9,3,5,0.0,2.5,68.9,1,2.1,6.79,0.7,0.3,1.7,0,0.3,0.1,0.1,0,0.8,0.8,1.1,1.3,1.5,0.8,14.1,68.9,0.1,0.3,Anzhi Makhachkala,RussiaLeague
30759,ru,Ilya Maksimov,29, M(C),183,74,22,0,1857,6,1,5,0.0,1.7,78.7,1,0.5,6.76,1.2,0.8,2.1,0,0.5,0.3,0.1,0,1.2,1.8,0.4,2,1.4,1.2,31.1,78.7,0.7,1.2,Anzhi Makhachkala,RussiaLeague
71668,ng,Lukman Haruna,25, M(C),180,73,10,2,768,1,1,4,0.0,1.3,83.6,0,0.3,6.72,1.5,1.3,1.6,0,0.6,0.4,0.2,0,0.8,2.7,0,0.7,1.3,0.8,34,83.6,0.2,2.3,Anzhi Makhachkala,RussiaLeague
94899,nl,Lorenzo Ebecilio,24, M(C),176,76,19,6,1663,2,1,5,0.0,2.1,76.6,2,1,6.72,1.3,1.1,1.2,0,0.7,0.5,0.2,0,1.1,1.9,0,1.4,1.3,1.1,31.9,76.6,0.7,1.8,Anzhi Makhachkala,RussiaLeague
11678,pt,Hugo Almeida,32, FW,191,93,7,5,763,2,1,1,0.0,1.4,59,1,5.8,6.72,0,0.2,0.9,0,0.7,0,0,0,0.6,0.8,0.8,0.8,0.8,0.6,20.8,59,0.2,0.8,Anzhi Makhachkala,RussiaLeague
120395,ru,David Yurchenko,30, GK,186,80,10,0,900,0,0,0,0.0,0,39.2,0,0.1,6.66,0,0.3,0,0,0.9,0,0,0,0,0.1,0,0,0.1,0,22.2,39.2,0,5.4,Anzhi Makhachkala,RussiaLeague
275688,by,Ivan Maevski,28, DMC,190,85,17,1,1501,0,0,3,0.0,0.8,77.4,0,1,6.59,2.3,1.5,1.5,0.1,1.7,0.7,0.2,0,0.8,0.7,0,0.3,1.2,0.8,36.3,77.4,0.1,1.4,Anzhi Makhachkala,RussiaLeague
