player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
17298,se,Pontus Wernbloom,29, DMC,187,85,26,1,2316,4,2,15,0.0,1.2,80.2,3,2.9,7.60,3.4,3.9,1.8,0.1,1.3,0.9,0.2,0.0,0.6,2.3,0.1,0.2,0.5,0.6,55.4,80.2,0.2,3.3,CSKA Moscow,RussiaLeague
39013,ru,Alan Dzagoev,26, M(CL),179,70,29,0,2609,6,5,7,0.0,2.3,81,5,0.8,7.31,2.1,1.4,1.2,0,0.7,0.7,0.1,0.0,1.9,1.4,0.1,1.5,1.5,1.9,67.1,81,0.9,3.5,CSKA Moscow,RussiaLeague
10118,ru,Vasili Berezutski,34, D(C),189,87,18,0,1607,0,1,4,0.0,0.4,85.4,0,3.1,7.24,1.6,2.9,0.8,1.3,5.3,0.3,0.6,0.0,0.2,0.7,0,0.4,0.4,0.2,64.5,85.4,0.2,3.7,CSKA Moscow,RussiaLeague
41882,ru,Viktor Vasin,27, D(C),192,83,3,0,270,0,0,1,0.0,0,89.8,0,2,7.23,0.3,7.3,1.7,2,2,0,0,0.0,0,0.3,0,0,0.3,0,72,89.8,0,7.3,CSKA Moscow,RussiaLeague
93577,ng,Ahmed Musa,23," AM(CLR),FW",170,62,30,0,2689,13,5,2,0.0,2.6,74.5,4,0.4,7.16,0.9,0.8,1.1,0,0.2,0.1,0,0.0,1.3,1.3,0.9,1.5,1.5,1.3,25.6,74.5,0.2,0.4,CSKA Moscow,RussiaLeague
75969,br,Mario Fernandes,25, D(R),189,77,27,0,2333,1,2,0,1,0.4,81.1,2,2.5,7.14,2.7,2,0.9,0.3,2,0.6,0,0.0,0.8,1.2,0.7,0.4,1,0.8,49.1,81.1,0.3,1.1,CSKA Moscow,RussiaLeague
4288,ru,Sergei Ignashevich,36, D(C),187,84,24,1,2161,3,1,2,0,0.5,83.8,0,1.2,7.06,1,2.7,0.4,1.7,3.4,0.3,0.4,0.0,0.1,0.8,0,0,0,0.1,64.8,83.8,0.1,10.3,CSKA Moscow,RussiaLeague
38969,ru,Kirill Nababkin,29, D(LR),176,72,11,2,931,2,0,2,0,0.5,84.2,0,0.8,7.04,3.4,1.1,0.9,0.2,2,0.5,0.2,0.0,0.8,0.5,0,0.2,0.6,0.8,46.3,84.2,0.2,1.5,CSKA Moscow,RussiaLeague
31105,rs,Zoran Tosic,29, M(LR),171,71,27,1,2200,4,4,6,0,2.3,81.5,2,0.4,7.02,1.6,0.6,0.8,0,0.2,0.7,0,0.0,1.5,1.9,0.1,1.6,1.4,1.5,38.8,81.5,0.7,1.8,CSKA Moscow,RussiaLeague
27909,ci,Seydou Doumbia,28, FW,183,74,11,2,979,5,5,0,0,1,77.4,2,0.3,7.01,0.4,0.2,0.8,0,0.2,0.2,0,0.0,1.8,1.4,0.4,1.5,1.7,1.8,18.4,77.4,0,0.2,CSKA Moscow,RussiaLeague
