player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
24929,fr,Mathieu Valbuena,31, M(CLR),167,58,4,0.0,356,2,2,1,0.0,1.3,80.1,2,0.8,8.01,1.3,0.8,0.8,0,0,1.5,0,0.0,4,6,0.5,2.8,1.8,4,55.3,80.1,3.8,3.8,Dinamo Moscow,RussiaLeague
33286,sk,Tomas Hubocan,30, D(CLR),184,74,22,0.0,1784,1,1,4,1,0.7,83.7,2,3.2,7.12,1.6,3.5,1.3,0.9,4.7,0.3,0.3,0.0,0.1,1.1,0,0.2,0.1,0.1,42,83.7,0,4.9,Dinamo Moscow,RussiaLeague
149336,ru,Gregory Morozov,22, D(CL),183,74,20,1,1776,2,0,2,0,1,74,1,1.3,7.05,2.2,4,1.2,0.6,2.3,0.7,0.3,0.0,0.7,1,0,0.9,0.8,0.7,44.2,74,0.1,4.3,Dinamo Moscow,RussiaLeague
68671,ru,Aleksandr Kokorin,25," AM(CR),FW",181,74,8,0,678,4,0,1,1,3.3,75.8,0,1.9,6.93,0.4,1,1.3,0,0.9,0.6,0,0.0,0.3,2.8,0.8,0.8,2,0.3,23.3,75.8,0.3,0.5,Dinamo Moscow,RussiaLeague
7245,ru,Igor Denisov,32, DMC,176,70,22,1,1992,0,0,2,0,1.2,83.2,0,0.4,6.88,3,1.6,1.3,0,0.8,0.8,0.0,0.0,0.8,2,0,0.7,0.4,0.8,52.5,83.2,0.1,4.3,Dinamo Moscow,RussiaLeague
7252,ru,Yuri Zhirkov,32," D(L),M(CL)",180,75,16,0,1359,0,2,2,0,1.4,75.6,0,1.6,6.80,1.7,1.8,1.1,0.1,1.5,0.3,0.3,0.0,0.8,1.7,0.3,1.3,1.2,0.8,34.4,75.6,0.3,2.1,Dinamo Moscow,RussiaLeague
40874,ru,Aleksei Kozlov,29, D(R),186,78,21,1,1893,4,1,1,1,0.7,79,0,1.2,6.78,1.5,2.2,1.1,0.4,2.2,0.1,0.2,0.0,0.4,0.5,0.1,0.5,0.5,0.4,36.3,79,0.3,2.6,Dinamo Moscow,RussiaLeague
132609,ru,Roman Zobnin,22, M(C),184,74,25,4,2241,1,1,3,0,1.1,77.2,0,1.3,6.77,1.8,1.9,1.2,0,0.4,0.6,0.2,0.0,0.6,2.1,0,1.8,1.4,0.6,30.1,77.2,0,1.1,Dinamo Moscow,RussiaLeague
74876,ru,Vitali Djakov,27, D(C),186,77,19,1,1724,3,1,2,0,1,72.6,2,2.4,6.74,1.6,2.3,1.4,1,4.4,0.6,0.4,0.0,0.2,1.2,0.1,0.3,0.2,0.2,44.5,72.6,0,5.5,Dinamo Moscow,RussiaLeague
14710,cg,Christopher Samba,32, D(C),193,100,3,1,264,0,0,0,0,1.3,75.9,0,2.5,6.72,1,2,1,0.5,4.3,0.8,0.3,0.0,0.3,0,0,0.5,0.3,0.3,29,75.9,0,3.8,Dinamo Moscow,RussiaLeague
