player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
316658,,Kouassi Eboue,18, Defender,0,0,1,0.0,90,0.0,0.0,0.0,0.0,1,93.4,1,4,7.62,2,5,2,0,1,0,0,0.0,0,0,0,0,2,0,91,93.4,0,7,FC Krasnodar,RussiaLeague
38190,ru,Fedor Smolov,26," AM(CL),FW",187,80,29,0.0,2540,20,7,3,0.0,3.9,69.5,3,1.3,7.52,0.4,0.4,1.2,0,0.4,0.2,0,0.0,1.4,1.5,0.8,1.6,2.2,1.4,29.2,69.5,0.2,0.7,FC Krasnodar,RussiaLeague
9379,se,Andreas Granqvist,31, D(C),192,84,29,0.0,2533,1,0,3,0.0,0.2,89.4,1,2.6,7.29,1.1,3.7,0.8,1,4.5,0.2,0.9,0.0,0.1,0.7,0.1,0.1,0.2,0.1,54.2,89.4,0,4.5,FC Krasnodar,RussiaLeague
29928,ru,Pavel Mamaev,27, AM(CLR),178,70,28,1,2463,10,13,3,0.0,2.1,80.7,2,0.6,7.19,1,0.8,0.6,0,0.3,0.3,0.1,0.0,1.9,1.4,0.3,1.4,1.4,1.9,47.2,80.7,0.5,2.3,FC Krasnodar,RussiaLeague
124712,ru,Stanislav Kritsyuk,25, GK,192,82,12,0,1080,0,0,0,0.0,0,62.3,1,0.3,7.15,0.1,0,0,0,1.5,0.1,0,0.0,0.1,0.2,0,0,0,0.1,26.1,62.3,0,5.9,FC Krasnodar,RussiaLeague
27079,bf,Charles Kaboré,28, M(C),181,75,20,1,1812,0,0,5,1,0.8,85.1,0,0.6,7.12,3,1.9,1.8,0.0,1.2,1.1,0.3,0.0,1,1.6,0,0.7,0.6,1,63.1,85.1,0.1,5.3,FC Krasnodar,RussiaLeague
75477,ru,Sergei Petrov,25," D(LR),M(C)",175,71,23,1,2050,3,1,2,0,1,86.9,2,0.9,7.09,1.6,2.7,0.6,0.3,2.3,0.4,0.2,0.0,0.6,1.4,0,0.8,0.8,0.6,45.3,86.9,0.1,1.5,FC Krasnodar,RussiaLeague
43221,pl,Artur Jedrzejczyk,28, D(CR),188,82,5,1,490,0,0,2,0,0,75.9,0,1.8,7.00,2.7,1.7,2,0.3,2.5,0.5,0.5,0.0,1,1,0.2,1,0.5,1,39.5,75.9,0.3,1.8,FC Krasnodar,RussiaLeague
25758,is,Ragnar Sigurdsson,30, D(C),187,77,23,1,2047,1,2,2,1,0.3,86.2,0,1.6,6.97,0.8,2.3,0.3,0.8,4,0.1,0.3,0.0,0.2,0.5,0,0.2,0.1,0.2,53.7,86.2,0,3.6,FC Krasnodar,RussiaLeague
73926,uy,Mauricio Pereyra,26, M(CR),173,68,16,4,1326,1,4,3,0,0.8,80.4,1,0.2,6.93,1.5,1.2,1.3,0,0.3,0.5,0.1,0.0,1.3,1,0.1,0.8,0.8,1.3,45.5,80.4,0.9,2,FC Krasnodar,RussiaLeague
