player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
30465,ec,Christian Noboa,31, M(C),183,75,24,0.0,2160,4,2,3,0.0,2.2,72.3,4,0.8,7.33,2.3,2.4,1.5,0.0,1.1,0.8,0.3,0.0,1.3,1.4,0,1.7,1.9,1.3,50.4,72.3,0.4,5.7,FC Rostov,RussiaLeague
18778,md,Aleksandru Gatcan,32, M(C),186,79,23,0.0,2070,2,1,5,0.0,0.9,80.3,4,1.9,7.26,3.2,2.3,2.1,0.0,1.3,1,0.2,0.0,0.7,2,0,0.8,0.7,0.7,47.1,80.3,0.3,2.4,FC Rostov,RussiaLeague
12022,es,César Navas,36, D(C),197,88,28,0.0,2520,0,0,8,0.0,0.1,78.7,4,3.1,7.21,1.5,3.3,0.9,0.2,6.4,0.4,0.4,0.0,0.1,0.4,0,0.1,0.1,0.1,43.9,78.7,0,7.6,FC Rostov,RussiaLeague
132688,ao,Bastos,24, D(C),188,80,26,0.0,2340,3,0,2,0.0,0.3,79.2,2,1.7,7.19,1.9,2.6,1.7,0.5,4.8,0.4,0.8,0.0,0.2,0.8,0,0.6,0.5,0.2,38.9,79.2,0,3.6,FC Rostov,RussiaLeague
21937,by,Timofei Kalachev,35," D(R),M(R)",173,69,18,4,1677,0,8,9,1,1.5,68.9,2,1.2,7.11,1.7,1.2,1.7,0,1.2,0.8,0,0.0,2,2,0.3,1.2,1.2,2,33.2,68.9,1.9,2,FC Rostov,RussiaLeague
27895,ru,Fyodor Kudryashov,29, D(L),184,78,10,1,932,1,2,3,0,0.5,66.5,0,1.5,7.01,2.2,1.1,1.8,0.1,1.4,0.5,0.3,0.0,1,0.5,0,0.5,1,1,30.9,66.5,0.8,1.8,FC Rostov,RussiaLeague
127429,ga,Guélor Kanga,25, M(C),167,63,14,3,1261,2,3,5,0,1.7,81.5,1,0.5,6.93,1.4,0.9,1.5,0,0.5,0.9,0.1,0.0,1.2,2.6,0.1,1.5,1.4,1.2,47.1,81.5,0.4,4.5,FC Rostov,RussiaLeague
229184,ru,Ivan Novoseltsev,24, D(CL),190,80,28,0,2520,0,1,3,0,0.3,77.3,0,0.9,6.79,1.5,1.8,0.6,0.3,3,0.4,0.4,0.0,0.4,0.7,0,0.1,0.4,0.4,36.5,77.3,0.3,3,FC Rostov,RussiaLeague
127428,ru,Timofey Margasov,24, D(LR),181,74,23,2,2099,0,1,2,0,0.2,73.7,0,1.1,6.78,2,2,1.1,0.2,2.7,0.6,0.2,0.0,0.4,0.4,0.1,0.4,0.6,0.4,32.7,73.7,0.3,2.2,FC Rostov,RussiaLeague
42226,ru,Aleksandr Erokhin,26," M(C),FW",195,79,5,6,645,2,0,1,0,1.7,72.1,1,2.3,6.78,0.8,0.6,1.1,0,0.9,0.6,0.1,0.0,0.9,0.5,0,0.8,1.1,0.9,18.3,72.1,0.1,0.6,FC Rostov,RussiaLeague
129197,ir,Sardar Azmoun,21, FW,178,72,15,9,1277,9,3,6,0,1.4,69,1,1.3,6.76,0.5,0.3,1.9,0,1.1,0.2,0.1,0.0,0.8,0.2,0.3,1.3,1.7,0.8,12.1,69,0.2,0.1,FC Rostov,RussiaLeague
82406,ru,Dmitriy Poloz,24," AM(CL),FW",183,73,27,3,2132,7,3,2,0,1.3,78.7,1,0.6,6.74,0.5,0.5,0.9,0,0.3,0.3,0.2,0.0,1.2,0.9,0.3,1.5,1.3,1.2,18.5,78.7,0.7,0.4,FC Rostov,RussiaLeague
35892,ru,Soslan Dzhanaev,29, GK,188,80,30,0,2700,0,0,2,0,0,42.3,2,0.3,6.71,0,0,0,0,0.8,0,0,0.0,0,0.1,0,0,0,0,22.4,42.3,0,6.5,FC Rostov,RussiaLeague
38228,ru,Aleksandr Bukharov,31, FW,193,90,13,12,1251,3,2,5,0,1.6,61.8,1,2.8,6.61,0.2,0.2,1.7,0.1,0.6,0.4,0.1,0.0,0.7,1.8,0.6,1,1.2,0.7,13.5,61.8,0.1,0.1,FC Rostov,RussiaLeague
115696,ru,Pavel Mogilevets,23, DMC,183,70,19,7,1700,1,1,4,0,0.8,72.6,0,0.7,6.60,1.3,1.2,0.6,0,0.5,0.6,0.3,0.0,0.6,0.8,0,1.5,1,0.6,27.9,72.6,0.2,1.6,FC Rostov,RussiaLeague
234346,ml,Moussa Doumbia,21, AM(L),173,68,3,9,395,3,0,2,0,1.1,77.3,1,0.1,6.58,0.7,0.1,0.5,0,0,0,0,0.0,0.7,1.1,0.7,1.3,1.1,0.7,9.2,77.3,0.3,0.3,FC Rostov,RussiaLeague
107643,ru,Denis Terentjev,23, D(L),180,70,6,8,654,0,1,1,1,0.2,68.8,1,0.8,6.45,1.4,0.6,1.1,0.2,1.1,0.2,0.1,0.0,0.1,0.6,0,0.4,0.4,0.1,13.5,68.8,0.1,1,FC Rostov,RussiaLeague
122261,ru,Khoren Bayramyan,24, Midfielder,169,57,2,5,242,0,0,2,0,0.1,65.1,0,0.4,6.41,0.3,0.9,0.7,0,0.3,0.6,0,0.0,0.7,1.3,0,1,0.6,0.7,11.9,65.1,0.4,0.1,FC Rostov,RussiaLeague
39128,fi,Boris Rotenberg,30, D(R),187,80,13,2,767,0,0,6,0,0,57.8,0,0.3,6.28,0.7,1.1,1.1,0.1,0.7,0.5,0.1,0.0,0.1,0.5,0,0.4,0.4,0.1,15.3,57.8,0.2,0.7,FC Rostov,RussiaLeague
132686,kr,Byung-Soo Yoo,28, FW,183,76,3,4,315,1,0,1,0,0.7,70.4,0,1.3,6.20,0.3,0.3,1.6,0,0.7,0.6,0.1,0.0,0.6,0.4,0.1,1.3,1.1,0.6,15.4,70.4,0,0.3,FC Rostov,RussiaLeague
146645,ru,Alexander Troshechkin,20, Midfielder,183,78,0,1,8,0,0,0,0,0,0,0,0,6.16,0,1,0,0,1,0,0,0.0,0,0,0,0,0,0,1,0,0,0,FC Rostov,RussiaLeague
312911,ir,Saeid Ezatolahi,19, Midfielder,190,78,0,1,8,0,0,0,0,0,100,0,0,6.05,0,1,1,0,0,0,0,0.0,0,0,0,1,1,0,4,100,0,2,FC Rostov,RussiaLeague
84662,ru,Igor Kireev,24, AM(R),179,72,0,1,1,0,0,0,0,0,100,0,0,6.00,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,100,0,1,FC Rostov,RussiaLeague
