player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
27306,ru,Denis Tumasyan,31, D(C),185,80,15,1,1318,1,0.0,1,0.0,0.3,68.1,1,1.9,6.91,1.5,2.6,1.2,0.1,6.4,0.4,1.1,0.0,0,0.5,0.1,0.1,0.2,0,20,68.1,0,1.7,FC Ufa,RussiaLeague
69490,ng,Sly,25," AM(L),FW",173,73,24,1,2062,4,1,4,1,1.8,62.2,1,2.2,6.88,1.3,1.2,2,0,1.1,0.5,0.1,0.0,0.8,1.3,0.2,1.3,1.4,0.8,24.8,62.2,0.4,1.5,FC Ufa,RussiaLeague
273257,ua,Oleksandr Zinchenko,19, M(CR),175,64,19,5,1703,2,4,3,0,0.9,72.3,0,0.9,6.82,1.7,1.8,1,0,0.4,0.3,0.1,0.0,1.5,1.3,0.1,1.5,1.4,1.5,25.5,72.3,0.7,1.1,FC Ufa,RussiaLeague
58544,ru,Pavel Alikin,32, D(C),185,79,16,1,1464,1,0,2,0,0.2,66.8,1,1.8,6.80,1.1,3.2,1.2,0.5,5.5,0.2,0.6,0.0,0,0.7,0.1,0.1,0.2,0,22.7,66.8,0.1,2.2,FC Ufa,RussiaLeague
271111,ru,Dmitriy Stotskiy,26," D(R),M(CR)",171,63,30,0,2659,2,3,2,0,1.2,61.6,0,1.5,6.77,1.9,1.5,2.1,0.1,0.8,0.8,0.2,0.0,0.7,2,0.2,1.4,1.3,0.7,22.7,61.6,0.6,1.3,FC Ufa,RussiaLeague
129274,ru,Alexey Nikitin,24, D(CR),187,87,19,2,1686,1,0,2,0,0.1,70,0,1.5,6.74,1.5,2.4,0.5,0.3,5.1,0.5,0.8,0.0,0.2,0.6,0,0.1,0.1,0.2,26,70,0,2.3,FC Ufa,RussiaLeague
120395,ru,David Yurchenko,30, GK,186,80,12,0,1080,0,0,2,0,0,35.4,2,0.5,6.74,0,0.1,0,0,2.2,0.2,0,0.0,0.1,0.2,0,0,0,0.1,28.8,35.4,0,7.6,FC Ufa,RussiaLeague
47782,ru,Aleksandr Katsalapov,30, D(LR),185,78,13,3,1154,0,2,3,0,0.1,59.2,0,1.1,6.66,1.4,1.9,0.8,0.1,3.5,0.6,0.3,0.0,0.4,0.6,0,0.3,0.2,0.4,19.6,59.2,0.3,1.8,FC Ufa,RussiaLeague
38066,ru,Sergei Narubin,34, GK,195,87,6,1,543,0,0,1,0,0,27.3,0,0.3,6.64,0,0,0,0,1.1,0,0,0.0,0,0,0,0,0,0,23.6,27.3,0,5.1,FC Ufa,RussiaLeague
20729,hr,Ivan Paurevic,24," D(C),DMC",194,86,28,0,2310,3,1,4,0,0.6,72.9,1,1.8,6.64,1.4,2.6,1,0.2,2.6,0.9,0.1,0.0,0.3,0.8,0.1,0.7,0.6,0.3,33.9,72.9,0.1,2.4,FC Ufa,RussiaLeague
72440,ru,Aleksandr Sukhov,30, D(LR),174,71,16,1,1465,0,1,1,0,0.2,64.8,0,0.7,6.63,2.2,2.4,1.3,0.3,2.8,0.5,0.1,0.0,0.4,0.8,0,0.8,0.6,0.4,23.4,64.8,0.4,1.4,FC Ufa,RussiaLeague
64851,ru,Azamat Zaseev,28, DMC,180,73,10,0,857,0,0,4,0,0.3,71.7,0,0.6,6.61,2.8,2.3,2.1,0.1,1.2,1.1,0.4,0.0,0.3,2.1,0,0.6,1.1,0.3,29,71.7,0.1,3.9,FC Ufa,RussiaLeague
300725,ua,Oleksandr Filin,19, Defender,0,0,1,0,65,0,0,0,0,0,41.2,0,0,6.58,1,1,0,0,3,0,0,0.0,0,0,0,0,1,0,17,41.2,0,0,FC Ufa,RussiaLeague
120394,ru,Evgeny Osipov,29, D(C),189,87,8,5,805,0,0,1,0,1,68.7,0,2.1,6.55,0.8,1.3,0.8,0.3,5.2,0.2,0.8,0.0,0.1,0.3,0,0,0.2,0.1,19.4,68.7,0,2.5,FC Ufa,RussiaLeague
44534,by,Dmitri Verkhovtsov,29, D(C),190,88,6,3,608,0,0,0,0,0.3,76.1,1,3.1,6.52,0.8,1.8,0.9,0.2,4.4,0.1,0.9,0.0,0,0.9,0,0,0,0,18.1,76.1,0,1.2,FC Ufa,RussiaLeague
55019,ru,Nikolay Safronidi,32, D(L),180,70,12,3,994,1,1,1,0,0.1,62.8,0,1.1,6.51,1.3,1.6,1,0.1,2.1,0.1,0.1,0.0,0.7,0.9,0,0.5,0.1,0.7,21.1,62.8,0.7,1.8,FC Ufa,RussiaLeague
312987,ru,Vladimir Zubarev,23, DMC,178,71,11,0,869,1,0,2,0,0.4,67.7,0,0.5,6.49,2.5,2,1,0,0.6,0.5,0.2,0.0,0.1,0.6,0,0.4,0.6,0.1,17.7,67.7,0,0.7,FC Ufa,RussiaLeague
129944,ru,Vyacheslav Krotov,23," D(R),FW",182,73,15,5,1160,2,0,1,0,0.8,67.5,0,0.5,6.48,0.9,0.8,0.7,0.1,1.2,0.2,0.1,0.0,0.4,1.1,0.3,0.7,1.5,0.4,13.3,67.5,0.2,0.7,FC Ufa,RussiaLeague
70912,de,Marvin Pourie,25, Forward,184,80,5,6,526,1,1,1,0,1,68.7,0,0.4,6.44,0.5,0.4,1.5,0,0.1,0,0.1,0.0,0.6,0.9,0.5,1,1.3,0.6,10.5,68.7,0.5,0.3,FC Ufa,RussiaLeague
27800,ru,Dmitri Sysuev,28, FW,176,75,7,4,596,2,1,2,0,0.5,62.1,0,1.2,6.43,0.8,0.4,0.8,0,0.4,0.3,0,0.0,0.2,1.1,0.6,1.7,0.8,0.2,10.5,62.1,0,0.3,FC Ufa,RussiaLeague
122316,ru,Semen Fomin,27, M(C),180,79,4,9,530,1,0,3,0,0.2,72.2,1,0.2,6.38,1.9,1.2,1.7,0,0.4,0.8,0.5,0.0,0.1,0.5,0.1,0.5,0.3,0.1,13.8,72.2,0.1,0.5,FC Ufa,RussiaLeague
312986,ru,Giorgi Shelia,27, GK,190,83,12,0,1077,0,0,0,0,0,35,0,0.3,6.37,0,0.2,0,0,0.4,0.1,0,0.0,0,0.4,0,0,0,0,29.3,35,0,7.3,FC Ufa,RussiaLeague
75551,br,Marcinho,30," AM(CLR),FW",182,72,13,4,1046,1,1,4,0,0.7,66.4,0,1.4,6.29,0.3,0.6,1.2,0,0.6,0.1,0.1,0.0,0.8,0.8,0.2,1.7,2.5,0.8,15.9,66.4,0.5,0.4,FC Ufa,RussiaLeague
28285,ru,Maksim Semakin,32, M(C),180,78,1,2,190,0,0,0,0,0,65.9,0,0.3,6.28,2,1.3,1.7,0,0,0.7,0.3,0.0,0.3,0.3,0,1.7,1.7,0.3,27.3,65.9,0.3,1,FC Ufa,RussiaLeague
71570,ba,Haris Handzic,26, FW,191,85,9,10,1004,1,1,4,0,0.8,55.2,0,2.1,6.24,0.5,0.2,0.8,0,0.4,0.1,0.1,0.0,0.5,0.8,0.4,0.9,1.6,0.5,10.7,55.2,0.1,0.2,FC Ufa,RussiaLeague
229223,br,Diego Carlos,28," AM(L),FW",174,67,12,6,1088,0,1,3,0,0.8,70.9,0,0.1,6.21,0.8,0.4,1.2,0,0.5,0.2,0.1,0.0,0.4,1.8,0.3,1.9,1.3,0.4,17.2,70.9,0.3,1.2,FC Ufa,RussiaLeague
254552,ru,Igor Bezdenezhnykh,19, Midfielder,175,65,0,5,128,0,0,1,0,0.2,48.3,0,0.6,6.17,0.6,0.4,1.4,0,0.2,0.4,0,0.0,0.4,0.6,0,0.4,0.2,0.4,5.8,48.3,0,0.2,FC Ufa,RussiaLeague
42835,uz,Vagiz Galiulin,28, AM(LR),175,66,1,8,218,0,0,1,0,0.6,79.2,0,0.3,6.13,0.6,0.2,0.4,0,0,0.1,0.1,0.0,0.4,0.6,0.2,0.6,0.2,0.4,5.9,79.2,0.1,0.3,FC Ufa,RussiaLeague
69740,gh,Emmanuel Frimpong,24, M(C),180,70,5,3,425,0,0,1,2,0.4,77.3,0,0.5,6.12,1.4,0.6,2.1,0,0.5,0.5,0.1,0.0,0.5,1.4,0.1,1,0.8,0.5,17.6,77.3,0,0.8,FC Ufa,RussiaLeague
