player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
44526,md,Igor Armas,28, D(C),194,82,24,1,2207,1,0.0,5,0.0,1.1,72.1,2,3.7,7.31,1.3,3.4,0.6,0.7,7.3,0.4,1,0.0,0.2,0.6,0,0,0.4,0.2,37.6,72.1,0.1,3.6,Kuban Krasnodar,RussiaLeague
28839,br,Felipe Santana,30," D(C),DMC",194,85,9,0,810,0,0.0,1,0.0,0.3,70.5,1,3.1,7.19,2.8,3.8,1.6,0,4.7,0.9,1.1,0.0,0.4,1.1,0,0.3,0.2,0.4,36.9,70.5,0,2.3,Kuban Krasnodar,RussiaLeague
31299,ru,Vladislav Ignatjev,29, AM(LR),180,72,17,0,1491,6,3,3,0.0,1.6,72.1,2,0.6,7.07,2.8,1.1,1.9,0,0.8,1.4,0,0.0,1.1,2.2,0.2,2.1,1.6,1.1,31.2,72.1,0.4,0.8,Kuban Krasnodar,RussiaLeague
285533,ru,Georgi Zotov,26, D(LR),175,72,12,0,1071,0,0,1,0.0,0.1,67.2,0,0.3,7.05,3.2,3.2,1.1,0.2,2.1,0.8,0.4,0.0,0.4,1.1,0,1,1,0.4,24.9,67.2,0.3,1.4,Kuban Krasnodar,RussiaLeague
42540,ba,Toni Sunjic,27, D(C),193,84,6,0,540,0,0,2,0.0,0.7,84.9,0,4.5,7.05,3,3.2,2.2,0.8,5.2,1.2,0.3,0.0,0.2,0.7,0,0,0,0.2,39.8,84.9,0,1.3,Kuban Krasnodar,RussiaLeague
75179,br,Xandao,28, D(C),193,88,27,0,2269,1,1,5,0.0,0.2,68.2,2,2.6,7.03,1.6,4.7,1.4,0.7,5.9,0.5,0.6,0.0,0.2,0.5,0,0.2,0.1,0.2,30.1,68.2,0.1,2.8,Kuban Krasnodar,RussiaLeague
41030,gh,Rabiu Mohammed,26, M(C),187,70,20,0,1644,0,2,6,2,0.4,76.4,1,2.5,6.99,3,3.3,2.6,0.1,1.9,0.8,0.1,0.0,0.5,1.4,0.1,0.5,0.6,0.5,36.5,76.4,0.1,1.9,Kuban Krasnodar,RussiaLeague
35908,br,Apodi,29, D(R),172,67,12,0,1075,1,1,1,0,0.9,65.3,1,0.9,6.97,2.4,2.8,1.9,0.2,2.3,0.3,0.3,0.0,0.9,2,0.1,0.8,1.4,0.9,22.8,65.3,0.9,0.9,Kuban Krasnodar,RussiaLeague
74698,py,Lorenzo Melgarejo,25," D(L),M(CL),FW",171,78,14,2,1241,8,2,2,0,2.7,67.1,0,2.3,6.89,0.3,0.2,1.4,0,0.7,0.1,0,0.0,0.8,1.9,0.8,0.9,1.4,0.8,15.6,67.1,0.2,0.4,Kuban Krasnodar,RussiaLeague
81536,ru,Sergey Tkachev,27, M(CLR),184,79,15,1,1188,3,1,1,0,2.7,75.3,0,0.6,6.87,1.5,0.8,1.6,0,0.1,0.7,0,0.0,1,1.2,0.1,1.1,1.3,1,22.5,75.3,0.8,0.5,Kuban Krasnodar,RussiaLeague
