player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
11596,sk,Jan Durica,34, D(C),188,86,13,0.0,1170,1,0.0,2,0.0,0.3,79.6,2,3.3,7.46,2.1,4.2,1,0.6,5.5,0.2,0.3,1,0,1.2,0.1,0.3,0.1,0,51.7,79.6,0,5.5,Lokomotiv Moscow,RussiaLeague
278156,ru,Dimitri Barinov,19, Midfielder,179,72,2,0.0,160,0,1,1,0.0,1.5,78.3,0,1.5,7.31,2,2.5,2.5,0,1,1,0,0,1.5,0,0,1.5,0,1.5,41.5,78.3,0,2,Lokomotiv Moscow,RussiaLeague
111141,sn,Oumar Niasse,26, FW,182,82,13,2,1166,8,6,2,0.0,3.6,72.3,2,1.7,7.29,0.8,0.3,2.1,0,0.1,0.3,0.1,0,1.3,2.1,0.9,2.7,3.5,1.3,18.8,72.3,0.2,0.2,Lokomotiv Moscow,RussiaLeague
7181,ru,Aleksandr Samedov,31, AM(R),177,75,28,0,2520,9,6,4,0.0,1.8,79.3,4,0.6,7.27,1.4,0.7,0.9,0,0.3,0.5,0.1,0,2.4,1.4,0.5,1.2,1.4,2.4,38,79.3,1.9,1.3,Lokomotiv Moscow,RussiaLeague
39716,uz,Vitaliy Denisov,29, D(L),178,75,29,0,2510,0,1,5,0.0,0.7,80.4,0,1.6,7.25,2.9,4,1.1,0.3,2,0.7,0.1,0.0,0.9,1.8,0,0.4,0.7,0.9,47.7,80.4,0.4,3.3,Lokomotiv Moscow,RussiaLeague
69171,rs,Nemanja Pejcinovic,28, D(CR),185,81,21,0,1843,1,3,4,0.0,0.6,83.1,0,1.5,7.09,1,2.2,0.8,0.3,4.8,0.3,0.5,0,0.3,0.9,0,0.3,0.5,0.3,42.7,83.1,0.2,4.9,Lokomotiv Moscow,RussiaLeague
22040,hr,Vedran Corluka,30, D(C),192,84,23,1,2082,3,0,4,1,0.3,83.1,3,2.1,7.04,1,2.8,0.6,0.6,3.6,0.3,0.7,0,0.2,0.5,0.1,0.1,0.3,0.2,46.9,83.1,0,7,Lokomotiv Moscow,RussiaLeague
22181,ru,Roman Shishkin,29," D(R),DMC",176,73,19,0,1710,0,3,2,0,0.5,85.3,0,1.9,6.99,1.4,2.4,1.3,0.1,2.9,0.7,0.2,1,1.1,0.7,0.2,0.3,0.9,1.1,42.7,85.3,1.2,2.2,Lokomotiv Moscow,RussiaLeague
27932,ru,Dmitriy Tarasov,29, DMC,188,73,20,3,1581,0,1,3,0,1.1,79.5,0,2,6.91,2.8,2,2,0,1.1,0.9,0.2,0.0,0.3,1.7,0,1.2,0.6,0.3,43.7,79.5,0,3,Lokomotiv Moscow,RussiaLeague
303498,ru,Rifat Zhemaletdinov,19, Forward,182,0,3,2,305,2,0,0,0,3,82.8,2,0.2,6.76,1.4,0.6,1.6,0,0,0.4,0,0,1.2,1.8,0.2,1.8,1.4,1.2,18.6,82.8,0,0.2,Lokomotiv Moscow,RussiaLeague
