player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
40066,by,Igor Shitov,29, D(R),185,73,16,1,1397,0.0,2,7,0.0,0.5,70.8,4,0.9,7.38,4.5,4.2,2.4,0.2,3.1,0.6,0.2,1,1.1,1.5,0,0.6,0.5,1.1,38.5,70.8,0.9,3.6,Mordovya,RussiaLeague
74789,fr,Damien Le Tallec,26, DMC,184,74,13,2,1191,1,0,3,0.0,0.6,79.4,2,3.8,7.23,2.6,3.2,1.7,0,2.9,1.1,0.3,0,0.5,1.3,0,0.5,0.3,0.5,42.5,79.4,0,2.6,Mordovya,RussiaLeague
56256,ru,Maksim Tishkin,26, D(LR),181,72,15,3,1487,0,0,1,0.0,0.3,66.4,1,1.3,7.11,3.6,3.8,1.2,0.2,2,0.8,0.3,0,0.3,1.6,0,0.6,0.6,0.3,30.6,66.4,0.5,1.6,Mordovya,RussiaLeague
131000,ru,Evgeni Lutsenko,29, FW,186,73,20,7,1959,10,5,2,0.0,2.1,66.2,2,2.4,7.06,0.4,0.4,0.7,0,0.5,0.2,0.1,0,0.7,1.4,0.3,1.7,1.3,0.7,18.4,66.2,0.3,0.6,Mordovya,RussiaLeague
136292,gp,Thomas Phibel,30, D(C),191,92,17,0,1530,1,1,5,0.0,0.5,75.7,1,2.7,6.94,1.3,4.5,1.6,0.2,5,0.4,0.7,0,0.2,0.9,0,0.2,0.5,0.2,29.6,75.7,0,1.9,Mordovya,RussiaLeague
12406,rs,Marko Lomic,32, D(L),187,81,7,0,554,1,0,1,0.0,0.7,83.8,0,0.1,6.90,1.7,1.3,1.1,0.1,0.9,0.3,0,0,1.4,2,0,1,0.7,1.4,41.4,83.8,2.6,6,Mordovya,RussiaLeague
55773,ru,Vladimir Rykov,28, D(C),192,88,27,0,2401,2,0,5,0.0,1,66.7,0,2.2,6.88,1.3,3.1,1.1,0.2,5.1,0.3,0.7,0,0.1,1,0,0,0.1,0.1,29.9,66.7,0,3.4,Mordovya,RussiaLeague
121911,si,Dalibor Stevanovic,31, DMC,183,74,26,1,2273,2,0,9,0.0,1,79.4,2,1.5,6.84,2.4,2.9,1.7,0,0.9,1.1,0.2,0,0.4,1,0,0.7,0.6,0.4,40.6,79.4,0.1,1.9,Mordovya,RussiaLeague
76777,ru,Emin Makhmudov,24, M(C),175,70,16,2,1344,0,0,4,0.0,0.4,80,0,0.6,6.73,3.2,1.9,1.2,0,1,0.6,0.2,0,0.7,1.6,0.1,0.6,1.1,0.7,37.8,80,0.5,3.3,Mordovya,RussiaLeague
120388,ru,Ruslan Mukhametshin,34," AM(L),FW",183,75,26,2,2223,6,3,7,0.0,1.2,73.5,0,1.1,6.71,1.3,0.8,1.3,0,0.4,0.4,0.2,0,1.3,1.3,0.1,0.6,1.1,1.3,23.9,73.5,0.3,0.8,Mordovya,RussiaLeague
271699,ru,Evgeniy Gapon,25, D(L),189,73,10,1,904,0,1,1,0.0,0.2,70.7,0,0.5,6.67,1.7,3.1,1.3,0,1.5,0.8,0,0,0.5,1.5,0,0.2,0.5,0.5,31.4,70.7,0.1,2.5,Mordovya,RussiaLeague
65381,rs,Milan Perendija,30, D(C),191,87,7,3,677,1,0,2,0.0,0.5,79.3,0,1.6,6.67,0.7,2.2,0.4,0.3,3.7,0.5,0.7,0,0.1,0.3,0,0,0.1,0.1,20.8,79.3,0,3.1,Mordovya,RussiaLeague
28348,ru,Ruslan Nakhushev,31, D(CLR),187,84,16,0,1377,0,1,7,0.0,1.1,68.3,0,1.1,6.66,1.7,2.2,1.1,0.3,4,0.4,1.1,1,0.6,0.8,0,0.1,0.3,0.6,29.2,68.3,0.4,3.1,Mordovya,RussiaLeague
31084,ge,Nukri Revishvili,29, GK,188,80,22,0,1953,0,0,3,0.0,0,36.2,0,0.1,6.65,0,0.1,0,0,0.8,0,0,0,0,0.2,0,0,0.1,0,25.5,36.2,0,7.6,Mordovya,RussiaLeague
14370,ru,Sergey Samodin,31, FW,185,77,12,5,944,3,0,0,0.0,1.5,59.5,0,3.8,6.62,0.2,0.4,0.8,0,0.6,0.1,0.1,0,0.2,0.7,0.5,0.7,1.3,0.2,15.2,59.5,0,0.2,Mordovya,RussiaLeague
120272,ru,Oleg Vlasov,31," AM(CLR),FW",177,73,26,4,2104,1,2,0,0.0,0.8,73.3,0,0.5,6.54,1.2,0.7,0.7,0,0.2,0.5,0.2,0,1.2,0.5,0.2,1.3,1.3,1.2,28.2,73.3,0.8,1.7,Mordovya,RussiaLeague
120416,ru,Aslan Dudiyev,26," D(R),M(R)",181,71,24,2,2020,0,4,4,0.0,0.7,72.5,0,0.5,6.49,1.2,0.8,1.3,0,0.8,0.3,0.1,0,0.9,1.9,0.2,1,1.7,0.9,18.5,72.5,0.7,0.7,Mordovya,RussiaLeague
312988,ru,Ruslan Navletov,22, Forward,191,85,0,2,43,0,0,0,0.0,0,81.5,0,1,6.49,0.5,0.5,1.5,0,0.5,0.5,1.5,0,0,0,0,0,0,0,13.5,81.5,0,0.5,Mordovya,RussiaLeague
22183,pt,Yannick Djaló,30, AM(CLR),168,64,2,5,265,1,1,1,1,1,81.7,0,0.1,6.37,0.6,0.6,1,0,0.6,0.4,0.1,0,0.7,0.7,0,0.9,1.6,0.7,15.6,81.7,0.3,0.4,Mordovya,RussiaLeague
63884,nl,Mitchell Donald,27, M(C),183,80,1,1,95,1,0,1,0,1.5,81.1,0,0,6.37,0.5,0.5,1,0.5,0.5,0.5,0,0,0,0.5,0,0.5,0.5,0,18.5,81.1,0,1.5,Mordovya,RussiaLeague
25920,ru,Aleksey Ivanov,34, AM(R),178,72,7,6,566,0,1,0,0,0.8,71.5,0,0.2,6.29,0.8,0.3,0.8,0,0.2,0.2,0,0,0.6,0.6,0.2,0.5,0.7,0.6,11.1,71.5,0.5,0.4,Mordovya,RussiaLeague
