player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
90843,ru,Yuri Nesterenko,25, Goalkeeper,189,85,0,1,54,0.0,0.0,0.0,0.0,0.0,50,0.0,0.0,7.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,50,0,1,Rubin Kazan,RussiaLeague
102399,ge,Saba Kverkvelia,24, D(C),196,75,29,0,2584,1,0.0,2,1,0.5,75.3,3,2.3,7.16,2.6,3.9,1,0.4,6.9,0.7,1,2,0.1,0.6,0,0.1,0.3,0.1,37.6,75.3,0,3.9,Rubin Kazan,RussiaLeague
87643,ru,Magomed Ozdoev,23, M(C),181,77,28,1,2540,2,1,3,0,0.8,83.3,4,0.6,7.10,2.6,2.9,1.1,0,1,0.9,0.1,0.0,1.9,1.8,0.1,1.4,1.1,1.9,57.1,83.3,0.7,5.2,Rubin Kazan,RussiaLeague
31493,ru,Sergei Ryzhikov,35, GK,192,92,30,0,2643,0,0,1,1,0,45.2,3,0.4,6.99,0,0.1,0.1,0,0.9,0,0,1,0.1,0.1,0,0,0,0.1,26.2,45.2,0,8,Rubin Kazan,RussiaLeague
143510,ru,Elmir Nabiullin,21," D(L),M(L)",174,70,15,1,1289,1,2,4,0,0.6,70.2,0,1.6,6.99,1.4,2.6,1.3,0,2.5,0.6,0.1,0,0.9,0.9,0.2,0.5,1.1,0.9,25.4,70.2,1,1.4,Rubin Kazan,RussiaLeague
42562,ru,Ruslan Kambolov,26," D(C),DMC",180,79,24,3,2136,0,1,5,1,1.4,75.5,0,2,6.94,1.6,3.4,1.3,0.2,4.3,0.7,0.7,0,0.3,0.9,0,0.2,0.5,0.3,40.1,75.5,0.1,5.3,Rubin Kazan,RussiaLeague
10970,tr,Gökdeniz Karadeniz,36, M(CLR),168,68,17,5,1559,5,2,1,0,1.5,81.8,2,0.4,6.92,1.1,0.6,1,0,0.4,0.5,0,0,1.3,1.4,0.1,1.7,1.2,1.3,27.2,81.8,0.7,0.9,Rubin Kazan,RussiaLeague
38178,ru,Oleg Kuzmin,35, D(R),175,72,21,0,1784,2,1,8,2,1.2,72.9,1,1,6.91,2.4,2,1.5,0,1.4,1,0.3,0,1.1,1.2,0,1.3,1,1.1,42.9,72.9,0.8,1.7,Rubin Kazan,RussiaLeague
144470,ru,Vitaly Ustinov,25, Defender,180,78,4,4,409,0,0,2,0,0.1,77.6,0,0.9,6.89,2.6,2.6,1,0.1,1.3,0.4,0,0.0,0,0.8,0,0.6,0.8,0,19.5,77.6,0.5,1.3,Rubin Kazan,RussiaLeague
312913,se,Emil Bergström,23, D(C),187,87,12,0,1080,1,0,1,0,0.3,78.2,1,1.6,6.85,0.6,3.8,0.5,0.6,2.9,0.4,0.6,0,0.3,0.3,0,0,0.3,0.3,42,78.2,0.1,3.8,Rubin Kazan,RussiaLeague
287049,,Mauricio Lemos,20, D(C),186,80,4,0,272,0,0,0,0,1.3,71.4,0,1.5,6.84,3.5,3,1.3,0.0,3.5,0.5,0.3,0.0,0,0.8,0,0,0.5,0,31.5,71.4,0,2,Rubin Kazan,RussiaLeague
26261,by,Sergei Kislyak,28," D(L),M(C)",180,75,14,3,1162,1,0,3,0,1.1,77.7,0,1.2,6.83,2.1,1.6,1.4,0,1.3,0.8,0.4,0,0.4,1.1,0,0.5,0.6,0.4,36.9,77.7,0.2,3.3,Rubin Kazan,RussiaLeague
14475,bg,Blagoy Georgiev,34, M(C),185,84,14,1,1227,0,1,3,1,1.9,81.9,0,1.8,6.79,1.1,1.5,1.6,0,2.3,0.6,0.1,0,1.6,1.8,0.1,1.1,1.1,1.6,48.3,81.9,1,3.9,Rubin Kazan,RussiaLeague
75478,ru,Maksim Kanunnikov,24," AM(LR),FW",184,80,30,0,2665,4,2,3,0,1.7,70.9,1,2,6.70,0.7,0.5,1.2,0,0.9,0.2,0.1,0,0.8,2.7,0.3,1.6,1.3,0.8,22.7,70.9,0.6,0.6,Rubin Kazan,RussiaLeague
27830,br,Carlos Eduardo,28," M(CL),FW",171,68,10,6,931,1,3,1,0,1.3,86.8,1,0.1,6.69,0.6,0.4,0.6,0,0.1,0.2,0,0,1.4,1.9,0.3,1,0.2,1.4,33.3,86.8,1.1,1.8,Rubin Kazan,RussiaLeague
295219,hr,Mijo Caktas,24, AM(C),178,68,8,3,689,1,2,1,0,1.5,82.7,1,0.5,6.61,1.2,0.6,1.5,0,0.2,0.3,0.2,0,1,1,0.1,1.1,1.2,1,28.4,82.7,0.5,0.9,Rubin Kazan,RussiaLeague
271647,uy,Guillermo Cotugno,21, D(CLR),177,75,20,3,1723,0,1,2,0,0.2,79.3,0,0.7,6.59,1.5,2.2,0.9,0.2,2.4,0.3,0.4,0,0.4,0.7,0,0.4,0.7,0.4,30.3,79.3,0.4,1.4,Rubin Kazan,RussiaLeague
136530,ua,Andriy Pylyavskyi,27, D(C),193,88,2,1,146,0,0,0,0,0,69.6,0,0.7,6.54,0.7,2.7,0.7,0,2,0.7,0.3,0,0,0.7,0,0.3,0.3,0,18.7,69.6,0,2.3,Rubin Kazan,RussiaLeague
29982,ua,Marko Devic,32," AM(C),FW",185,76,11,8,1073,7,1,1,0,1.5,75.4,0,0.4,6.54,0.4,0.1,1.2,0,0.2,0.2,0,0,1.3,0.8,0.4,1.3,1.6,1.3,17.5,75.4,0.1,0.4,Rubin Kazan,RussiaLeague
44796,ru,Igor Portnyagin,27," AM(L),FW",191,74,15,9,1443,4,3,1,0,1.8,70,0,2.5,6.50,0.5,0.1,1.3,0,0.3,0,0,0,0.3,1.5,0.2,1.4,2.1,0.3,14.5,70,0,0.2,Rubin Kazan,RussiaLeague
7865,ru,Diniyar Bilyaletdinov,31, M(CLR),185,77,8,6,766,2,0,2,0,1.1,80.2,0,1.1,6.42,1.2,0.4,1.1,0,0.5,0.6,0.1,0,0.9,0.7,0,1.1,0.7,0.9,17.7,80.2,0.3,0.9,Rubin Kazan,RussiaLeague
295933,ru,Denis Tkachuk,26, AM(L),176,68,7,3,600,1,0,1,0,2.3,70,0,0.4,6.42,1.3,0.9,0.5,0,0.6,0.3,0.1,0,0.7,1,0.2,1,1,0.7,16,70,0.4,0.3,Rubin Kazan,RussiaLeague
271619,ru,Maksim Batov,24, Midfielder,177,70,2,1,202,0,0,1,0,1,71.7,0,1,6.31,0.7,1.7,1.3,0.3,2.7,0,0.3,0,0,0.7,0,0.7,1,0,17.7,71.7,0.3,1,Rubin Kazan,RussiaLeague
97700,ru,Alisher Dzhalilov,22, Midfielder,168,57,1,3,77,0,0,0,0,0.5,76.7,0,0,6.17,0.8,0.3,0.5,0,0,0,0,0,0,0,0.8,0.3,0.5,0,10.8,76.7,0,0.3,Rubin Kazan,RussiaLeague
243757,ru,Ilzat Akhmetov,18, Midfielder,172,65,0,3,50,0,0,0,0,0.3,84.2,0,0,6.16,0.3,0.3,0.7,0,0,0,0,0,0,0.7,0,1,0.7,0,6.3,84.2,0,0,Rubin Kazan,RussiaLeague
41805,ru,Vladimir Dyadyun,27," AM(LR),FW",183,77,3,11,403,0,0,2,0,0.6,64.6,0,0.9,6.07,0.1,0.2,0.5,0,0.1,0.1,0.1,0,0.1,0.2,0.3,0.5,0.7,0.1,8.1,64.6,0.1,0.1,Rubin Kazan,RussiaLeague
285421,ru,Albert Sharipov,23, Midfielder,172,67,0,1,4,0,0,0,0,0,71.4,0,0,5.95,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,71.4,0,0,Rubin Kazan,RussiaLeague
248152,ru,Ramil Sheydaev,20, Forward,187,77,1,0,46,0,0,0,0,1,71.4,0,1,5.82,0,0,0,0,0,0,0,0,0,1,0,1,1,0,7,71.4,0,0,Rubin Kazan,RussiaLeague
