player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
83333,nl,Quincy Promes,24," AM(LR),FW",174,70,29,1,2651,18,4,3,0.0,3.5,79.3,7,0.6,7.45,0.9,0.1,1.4,0,0.1,0.3,0,0.0,2,1.5,0.7,2.2,2.3,2,31.7,79.3,1.6,0.7,Spartak Moscow,RussiaLeague
76773,ru,Sergei Bryzgalov,23, D(CR),181,76,6,0,515,0,0,3,0.0,0.3,78.4,1,0.7,7.31,4,3.7,0.8,0.7,2.7,0.5,0.3,0.0,0.2,0.5,0,0.3,0.3,0.2,31.7,78.4,0.2,1.7,Spartak Moscow,RussiaLeague
23065,it,Salvatore Bocchetti,29, D(C),186,81,28,0,2520,3,0,10,0.0,0.6,81.6,0,2.9,7.28,1.8,3.6,1.4,0.8,6,0.6,0.6,0.0,0.2,1.5,0,0.1,0.2,0.2,52,81.6,0,3.6,Spartak Moscow,RussiaLeague
13762,de,Serdar Tasci,29, D(C),186,80,16,0,1428,1,0,4,0.0,0.4,87.5,1,2.6,7.13,1.9,3.1,1.1,0.8,5.2,0.4,0.3,0.0,0.4,1.3,0,0.3,0.2,0.4,49.5,87.5,0,3.2,Spartak Moscow,RussiaLeague
25804,ru,Dmitri Kombarov,29," D(L),M(L)",181,73,24,1,2178,2,3,2,1,0.8,78.4,1,0.4,7.11,2,2.2,1.6,0.2,2,0.7,0.1,0.0,1.6,1.4,0,0.4,0.5,1.6,44.2,78.4,1.1,1.8,Spartak Moscow,RussiaLeague
40481,ru,Sergey Pesjakov,27, GK,198,90,6,0,540,0,0,2,0,0,52.3,0,0.2,7.07,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,25.2,52.3,0,7.3,Spartak Moscow,RussiaLeague
110867,cv,Zé Luís,25, FW,185,78,17,7,1680,8,4,3,0,2.5,69.4,2,2.7,7.02,0.4,0.3,1.8,0,1.3,0.2,0.1,0.0,0.9,1.5,0.3,1.5,1.7,0.9,16.2,69.4,0.0,0.3,Spartak Moscow,RussiaLeague
118302,ru,Aleksandr Putsko,23, Defender,192,85,2,0,180,0,0,0,0,1.5,82.9,0,1,6.98,1.5,2,0.5,1,3.5,1,0,0.0,0,0,0.5,0,0,0,38,82.9,0,6.5,Spartak Moscow,RussiaLeague
28498,ru,Denis Glushakov,29, M(C),182,80,27,0,2331,4,0,8,0,1.3,83,1,0.5,6.94,2.3,2.1,1.4,0,1.6,1,0.3,0.0,0.7,0.6,0,0.7,0.8,0.7,50.2,83,0.2,3.4,Spartak Moscow,RussiaLeague
30082,bg,Ivelin Popov,28, AM(CL),182,78,28,1,2313,4,2,6,0,2,73.5,1,0.8,6.94,1,0.8,1.6,0,1,0.7,0,0.0,1.5,1.5,0.3,1.2,1.4,1.5,33.3,73.5,0.6,1.1,Spartak Moscow,RussiaLeague
88492,br,Rómulo,25, M(C),187,82,18,3,1621,0,3,2,0,0.6,82.4,1,0.9,6.89,2,2.7,1.7,0,1.2,0.5,0,0.0,0.6,0.6,0,0.7,1,0.6,46.9,82.4,0,2.1,Spartak Moscow,RussiaLeague
115697,ru,Ilya Kutepov,22, D(C),191,79,9,1,805,0,0,1,0,0.3,82.2,0,1.3,6.85,0.8,2.8,1.1,0.7,3.6,0.5,0.9,0.0,0.3,0.8,0,0,0.3,0.3,38.7,82.2,0,3.2,Spartak Moscow,RussiaLeague
76650,ge,Jano Ananidze,23, AM(CLR),170,61,6,5,596,0,3,0,0,0.5,86.8,0,0.1,6.83,0.7,0.7,0.6,0,0.3,0.5,0.1,0.0,1.5,1.1,0.1,1.4,0.6,1.5,29,86.8,0.5,1,Spartak Moscow,RussiaLeague
14259,es,Jurado,29, M(CL),176,72,1,0,69,0,0,0,0,7,87.5,0,0,6.74,1,1,0,0,0,1,0,0.0,0,2,0,2,0,0,32,87.5,0,0,Spartak Moscow,RussiaLeague
45864,ru,Artyom Rebrov,32, GK,193,92,24,0,2160,0,0,2,0,0,56,2,0.3,6.71,0,0.2,0,0,1,0,0,0.0,0,0,0,0,0,0,24.8,56,0,6.7,Spartak Moscow,RussiaLeague
25456,ru,Kirill Kombarov,29," D(R),M(R)",181,72,9,3,762,0,0,1,0,1.1,75.7,1,1.1,6.70,1.1,1.1,0.9,0.1,3.1,0.5,0,0.0,0.3,1.2,0.1,0.7,0.3,0.3,30.5,75.7,0.5,1.3,Spartak Moscow,RussiaLeague
27921,ru,Vladimir Granat,29, D(CL),184,78,10,4,931,0,0,2,0,0.1,85.8,0,0.9,6.70,1.1,2.4,0.6,1.1,3.2,0.6,0.5,0.0,0,0.4,0,0.1,0.1,0,36.8,85.8,0.1,3,Spartak Moscow,RussiaLeague
28983,ru,Roman Shirokov,34, M(CR),183,80,14,0,1197,0,3,4,0,1.3,78.3,0,0.2,6.67,1.1,0.9,1.4,0,0.7,0.7,0,0.0,2.2,1.5,0.1,1.2,1.4,2.2,52.3,78.3,0.9,3.1,Spartak Moscow,RussiaLeague
72298,ru,Evgeni Makeev,26, D(CLR),181,73,13,2,1081,0,1,2,1,0.1,85.5,0,1,6.67,2.2,1.5,0.8,0.1,1.7,0.3,0.2,0.0,0.3,0.8,0,0.3,0.5,0.3,33.6,85.5,0.2,2.4,Spartak Moscow,RussiaLeague
26736,am,Yura Movsisyan,28, FW,181,81,10,1,663,3,2,1,0,1.5,59.8,0,0.9,6.64,0.5,0.1,0.8,0,0,0.2,0,0.0,0.9,0.7,0.5,1,1.6,0.9,12,59.8,0.2,0.3,Spartak Moscow,RussiaLeague
35890,ru,Sergey Parshivlyuk,27, D(R),180,75,11,5,1041,0,0,5,0,0.4,83.4,0,0.5,6.49,1.8,1.6,1.1,0.2,0.8,0.6,0.2,0.0,0.5,1.2,0.1,0.4,0.7,0.5,32.8,83.4,0.4,0.5,Spartak Moscow,RussiaLeague
74698,py,Lorenzo Melgarejo,25," D(L),M(CL),FW",171,78,6,5,463,2,1,1,0,1,60.3,0,1.1,6.49,0.1,0.5,0.8,0,0.7,0.2,0.1,0.0,0.3,1.1,0.2,0.6,1.4,0.3,11.5,60.3,0.1,0.2,Spartak Moscow,RussiaLeague
69795,ru,Alexandr Zotov,25, M(C),178,70,12,8,1106,0,2,2,0,0.8,81.6,0,0.4,6.44,0.8,1.3,1.2,0,0.5,0.7,0.2,0.0,0.5,1.1,0.1,0.4,0.4,0.5,27.2,81.6,0.2,1,Spartak Moscow,RussiaLeague
232251,ru,Denis Kutin,22, Defender,184,67,0,1,25,0,0,1,0,0,85.7,0,2,6.41,1,1,3,0,2,0,0,0.0,0,0,0,0,0,0,7,85.7,0,2,Spartak Moscow,RussiaLeague
136856,ru,Denis Davydov,21, FW,175,75,1,7,155,1,1,0,0,0.9,71.2,0,0.3,6.31,0.4,0,0.1,0,0,0,0,0.0,0.3,0.5,0.4,0.4,0.9,0.3,7.4,71.2,0,0.3,Spartak Moscow,RussiaLeague
89562,am,Aras Özbiliz,26, AM(R),175,72,1,6,210,0,1,3,0,1.1,72.4,0,0,6.29,0.6,0.1,0.9,0,0.1,0.1,0,0.0,0.7,0.9,0,1.3,1.1,0.7,12.4,72.4,0.6,0.3,Spartak Moscow,RussiaLeague
243786,ru,Aleksandr Zuev,19, Midfielder,175,62,2,12,331,0,1,1,0,0.4,82,0,0.1,6.19,0.4,0.2,0.5,0,0,0.1,0,0.0,0.4,0.3,0.1,0.6,0.2,0.4,8.7,82,0,0.2,Spartak Moscow,RussiaLeague
84817,ru,Aleksandr Kozlov,23, Forward,172,71,0,1,7,0,0,0,0,0,0,0,0,6.04,0,1,0,0,0,0,0,0.0,0,0,0,1,0,0,1,0,0,0,Spartak Moscow,RussiaLeague
297201,ru,Igor Leontyev,22, Midfielder,183,70,0,3,53,0,0,0,0,0,94.3,0,0,6.00,0.3,0,0,0,0,0.3,0,0.0,0,0,0,0,1,0,11.7,94.3,0,0.3,Spartak Moscow,RussiaLeague
280268,ge,George Melkadze,19, Midfielder,180,77,0,4,84,0,0,0,0,0.5,75,0,0,5.94,0.3,0,0.8,0,0,0,0,0.0,0,0.5,0,0.5,0.5,0,8,75,0,0.3,Spartak Moscow,RussiaLeague
