player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
11438,ru,Oleg Ivanov,29, M(C),192,86,28,0.0,2498,1,8,8,0.0,1.6,74.5,6,2.3,7.25,1.3,0.8,1.3,0,1,0.6,0.2,0,2.1,3.4,0.2,1.7,1.6,2.1,54.5,74.5,0.8,5,Terek Grozny,RussiaLeague
64076,br,Adilson,29," D(C),DMC",181,75,24,2,2169,2,1,6,0.0,0.5,90.1,1,0.5,7.11,1.9,3,1.7,0.1,1.3,0.6,0.3,0,0.7,1.7,0,0.8,0.7,0.7,58.5,90.1,0,3.6,Terek Grozny,RussiaLeague
36375,br,Mauricio,27, M(C),180,74,15,2,1393,3,1,5,0.0,2.2,86.6,1,0.9,7.11,1.9,1.7,1.7,0,0.6,0.6,0.4,0,1.1,2.5,0.1,1.4,1.1,1.1,58.6,86.6,0.2,2.8,Terek Grozny,RussiaLeague
27895,ru,Fyodor Kudryashov,29, D(L),184,78,13,0,1170,0,1,3,0.0,0.3,74.3,0,1.8,7.03,1.9,2.6,1.4,0.5,2.3,0.5,0.3,0,0.8,0.5,0.1,0.4,0.5,0.8,43.5,74.3,0.4,2.5,Terek Grozny,RussiaLeague
33661,pl,Maciej Rybus,26," D(L),M(LR)",173,73,22,6,2010,9,1,2,0.0,1.6,81.2,6,0.9,7.02,1.3,1.2,1.2,0.1,1.3,0.3,0.1,0,1.1,1.6,0.3,1,1.1,1.1,32.2,81.2,1.2,0.8,Terek Grozny,RussiaLeague
143437,ru,Daler Kuzyaev,23," D(R),DMC",180,72,17,4,1652,0,0,5,0.0,0.7,87.7,0,1.4,7.00,2.8,2.6,0.9,0,0.9,0.4,0.1,0.0,0.9,1.5,0,1,0.9,0.9,49.3,87.7,0.1,1.3,Terek Grozny,RussiaLeague
122080,ru,Andrey Semenov,27, D(CR),190,86,29,0,2610,0,0,7,0.0,0.2,79.5,0,2.2,7.00,1.9,2.7,1.1,0.4,5.1,0.4,0.5,1,0.3,0.6,0.1,0.1,0.1,0.3,53.2,79.5,0,7,Terek Grozny,RussiaLeague
10660,br,Rodolfo,33, D(C),185,86,25,1,2152,0,0,8,0.0,0.7,85.7,0,2.5,6.88,1,2.6,0.8,0.5,4.3,0.3,0.8,0,0,1.5,0.1,0.2,0.3,0,46.4,85.7,0,3.9,Terek Grozny,RussiaLeague
56324,ru,Rizvan Utsiev,28, D(R),173,73,19,0,1710,1,0,4,0.0,0.3,82.5,1,0.5,6.86,2.3,1.5,1.3,0.2,2.2,0.5,0.4,1,0.5,1.1,0.1,0.8,0.6,0.5,40.8,82.5,0.5,1.1,Terek Grozny,RussiaLeague
18272,nl,Ismail Aissati,27, AM(CLR),174,70,27,1,2352,1,5,0,0.0,1,85.4,0,0.2,6.83,1.9,1.1,0.5,0,0.3,0.4,0.1,0,1.4,1.3,0.3,1,1,1.4,42.6,85.4,0.4,1.7,Terek Grozny,RussiaLeague
42182,ua,Yaroslav Godzyur,31, GK,194,90,8,1,752,0,1,0,0.0,0,55.9,0,0.7,6.66,0.1,0,0,0,1,0.2,0,0,0.1,0.2,0,0,0,0.1,19.9,55.9,0,5.3,Terek Grozny,RussiaLeague
120408,ru,Zaurbek Pliev,24, D(L),188,80,7,2,618,0,0,1,0.0,0.9,84,0,1.6,6.60,1.4,2,1.3,0.1,1.6,0.3,0,0,0.7,0.3,0,0.7,1.2,0.7,41.7,84,0.1,2.2,Terek Grozny,RussiaLeague
3100,au,Luke Wilkshire,34, D(R),176,78,6,0,502,0,0,2,1,0.3,82.2,0,0.3,6.59,2.8,3.2,2,0.2,1.8,0.2,0.5,0.0,0.2,0.7,0,0.3,0.3,0.2,46.8,82.2,0,2.3,Terek Grozny,RussiaLeague
87278,uy,Facundo Píriz,26, DMC,189,79,8,3,673,1,0,2,0,0.5,85.7,0,0.8,6.58,1.5,2.4,1.2,0,0.5,0.8,0.2,0,0.5,0.6,0.1,0.4,0.6,0.5,40.8,85.7,0,4.5,Terek Grozny,RussiaLeague
312994,ir,Milad Mohammadi,22, Defender,178,79,1,2,106,0,0,0,0,0.3,84.8,0,1,6.58,2.7,0.3,0.7,0,0.3,0.3,0,0.0,0,0.3,0,0.3,1,0,15.3,84.8,0,0,Terek Grozny,RussiaLeague
58591,ru,Evgeni Gorodov,30, GK,189,86,22,0,1948,0,0,2,0,0,53,0,0.1,6.53,0,0,0,0,1.4,0,0,0,0,0.2,0,0,0,0,19,53,0,5.2,Terek Grozny,RussiaLeague
41821,ru,Zaur Sadaev,26, FW,182,78,8,7,648,5,0,4,0,1.3,71.2,0,0.4,6.42,0.3,0.5,2.1,0,0.4,0.2,0.1,0,0.4,0.6,0.4,1.5,1.5,0.4,11.3,71.2,0,0.3,Terek Grozny,RussiaLeague
91039,ru,Magomed Mitrishev,23, FW,178,70,15,7,1200,4,1,3,0,1.1,80,0,0.4,6.41,0.5,0.3,1.2,0,0,0.1,0,0,0.3,0.9,0.5,1.7,2.2,0.3,10.9,80,0,0.1,Terek Grozny,RussiaLeague
76951,ro,Gheorghe Grozav,25, AM(L),179,71,9,9,756,2,0,4,0,1.3,81.8,1,0.8,6.40,0.8,0.5,1.6,0,0.3,0.4,0.1,0,0.3,0.3,0.2,0.4,0.7,0.3,18.1,81.8,0.1,0.2,Terek Grozny,RussiaLeague
269793,sn,Ablae Mbengue,24, FW,187,78,6,15,724,3,0,2,0,1,62.8,0,1,6.36,0.5,0,1,0,0.1,0.1,0,0,0.7,0.5,0.3,0.7,1.5,0.7,7.4,62.8,0,0,Terek Grozny,RussiaLeague
7178,ru,Igor Lebedenko,33, AM(LR),182,80,16,9,1448,2,2,1,1,1,78.9,0,0.2,6.35,0.9,0.6,0.8,0,0.2,0.3,0.1,0,0.4,0.9,0.6,0.6,1.1,0.4,17.5,78.9,0.2,0.3,Terek Grozny,RussiaLeague
40752,br,Pedro Ken,29, M(C),182,79,3,2,246,0,0,0,0,0.2,90.7,0,0.2,6.30,1.2,0.8,2,0,0.6,0.6,0.2,0,0.4,0.8,0,0.4,0,0.4,28,90.7,0,1.8,Terek Grozny,RussiaLeague
122318,ru,Reziuan Mirzov,22, AM(L),179,75,1,4,153,0,0,0,0,1,77.4,0,0,6.17,0.2,0.4,0.2,0,0,0.2,0,0,0.2,1.6,0.2,0.6,0,0.2,10.6,77.4,0.4,0,Terek Grozny,RussiaLeague
93690,ru,Khalid Kadyrov,22, Forward,167,59,1,3,85,0,0,0,0,1.3,78.3,0,0.3,6.14,0.3,0,0,0,0.3,0.5,0,0,0.3,0.8,0,0,0,0.3,5.8,78.3,0.3,0.3,Terek Grozny,RussiaLeague
149039,ru,Apti Ahyadov,22, Forward,175,73,0,1,10,0,0,0,0,0,100,0,0,5.99,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,100,0,0,Terek Grozny,RussiaLeague
42007,br,Kanu,28, AM(CL),190,85,0,5,70,0,0,0,0,0.2,69.7,0,0.4,5.99,0.2,0,0.4,0,0.2,0.6,0.2,0,0.2,0.6,0,0.4,1.2,0.2,6.6,69.7,0,0.4,Terek Grozny,RussiaLeague
