player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
29439,ar,Pablo Fontanello,31, D(C),193,84,27,0.0,2430,3,1,2,0.0,0.4,78,5,3.5,7.46,2.4,4.8,0.9,0.4,6.2,0.6,0.6,0.0,0.2,0.6,0,0.2,0.3,0.2,48.1,78,0,7.3,Ural,RussiaLeague
30091,by,Aleksandr Martynovich,28, D(C),192,82,24,0.0,2138,0,1,2,0.0,0.4,79.5,2,3.3,7.42,2.2,5.3,1.1,0.8,6,0.4,0.6,0.0,0.1,1.1,0,0,0.2,0.1,42.6,79.5,0,4.6,Ural,RussiaLeague
42226,ru,Aleksandr Erokhin,26," M(C),FW",195,79,12,0.0,1080,4,2,5,0.0,3.4,76.2,0,3.7,7.12,0.9,1.1,2.6,0,1.8,0.3,0,0,1.2,2,0.5,2.3,2.1,1.2,36.4,76.2,0,1.8,Ural,RussiaLeague
41710,cl,Gerson Acevedo,28, M(C),182,78,20,2,1722,6,6,1,1,2.3,76.1,2,0.3,7.03,0.7,0.5,1.4,0,0.5,0.3,0.1,0,1.8,1.8,0.3,3,1.8,1.8,43.9,76.1,1.5,4.4,Ural,RussiaLeague
38124,ru,Aleksandr Sapeta,26, M(C),183,79,27,2,2375,7,5,3,1,1,76.7,3,0.7,6.93,2.2,1.5,1.6,0,1.2,1,0.4,0.0,0.9,1.8,0.1,0.9,0.9,0.9,42.9,76.7,0,3.5,Ural,RussiaLeague
90454,ru,Roman Emelyanov,24," D(C),DMC",189,85,21,3,1930,0,0,5,0,0.4,82.7,0,1.5,6.80,2.8,2.5,1.8,0.2,1.6,1.3,0.3,0.0,0.2,1.3,0,0.5,0.8,0.2,44.9,82.7,0,2.6,Ural,RussiaLeague
120354,ru,Artem Fiedler,32, DMC,178,74,19,2,1653,0,1,3,1,0.9,79.6,1,1.3,6.75,2.1,3,2.2,0.1,1.7,0.6,0.5,0.0,0.4,0.9,0,0.4,0.8,0.4,47.9,79.6,0.1,5.8,Ural,RussiaLeague
109841,zm,Chisamba Lungu,25, M(LR),178,68,15,3,1316,1,2,1,0,0.6,76.6,1,0.3,6.75,1.1,1.3,0.4,0,0.3,0.7,0.1,0,1.2,0.8,0.2,1.3,1.7,1.2,23.2,76.6,0.7,0.7,Ural,RussiaLeague
27106,ru,Spartak Gogniyev,35, FW,185,78,13,4,1157,8,0,0,0,1.6,69.4,1,1.2,6.72,0.3,0.5,0.8,0,0.5,0,0,0,0.1,1.2,0.9,0.8,1.1,0.1,16.7,69.4,0.1,0.2,Ural,RussiaLeague
18576,am,Edgar Manucharyan,29," AM(R),FW",177,72,13,9,1180,6,1,0,0,1.8,76.8,2,0.5,6.68,0.4,0.5,0.2,0,0.1,0.2,0.1,1,1,1,0.3,0.8,1,1,22.8,76.8,0.9,1.1,Ural,RussiaLeague
