player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
40384,it,Giacomo Bonaventura,26, AM(CLR),181,75,31,2,2841,6,8,8,0.0,3.2,82.2,7,0.6,7.39,0.8,1.2,1.3,0,0.9,0.7,0.1,0.0,2.1,2.5,0.1,2.2,1.5,2.1,43.9,82.2,1.4,2,AC Milan,SerieA
14040,it,Luca Antonelli,29," D(L),M(CL)",184,79,25,3,2334,3,1,2,0.0,0.7,79.3,2,1,7.22,2.8,2,0.6,0.3,2.6,0.6,0.6,0.0,0.6,2.2,0.1,0.5,0.6,0.6,43.5,79.3,0.3,1.4,AC Milan,SerieA
23206,it,Ignazio Abate,29, D(R),180,73,27,0,2254,1,1,7,0.0,0.1,78.1,3,0.6,7.19,2.8,2.8,1.4,0.1,2.9,0.5,0.3,0.0,0.7,0.6,0,0.4,0.3,0.7,47.1,78.1,0.6,3.5,AC Milan,SerieA
2533,it,Christian Abbiati,38, GK,191,92,0,1,71,0,0,0,0.0,0,47.6,0,0,7.18,0,0,0,0,2,0,0,0,0,0,0,0,0,0,21,47.6,0,1,AC Milan,SerieA
10132,br,Alex,34, D(C),188,92,24,1,2094,3,1,5,0.0,0.9,87.9,0,3,7.18,1.8,2.6,1.2,0.6,5.7,0.4,0.4,0.0,0.2,0.3,0,0.1,0.3,0.2,35.4,87.9,0,2.6,AC Milan,SerieA
32514,sk,Juraj Kucka,29, M(CL),186,84,24,5,2083,1,3,11,0.0,1.6,76.2,3,2.2,7.10,2.8,2.2,2.2,0.1,1.1,1.2,0.1,0.0,1,1.6,0,1.8,1.6,1,34.2,76.2,0.1,1.6,AC Milan,SerieA
9974,it,Riccardo Montolivo,31, M(C),181,76,31,0,2689,0,1,5,0.0,0.9,82.1,0,0.5,7.09,1.9,3.7,0.7,0.1,1.4,1,0.4,0.0,0.6,1.4,0,0.9,0.8,0.6,62.4,82.1,0.1,6.4,AC Milan,SerieA
2303,fr,Philippe Mexes,34, D(C),187,82,4,1,399,1,0,4,0.0,1,85.2,1,3,7.05,1.8,1.2,0.8,1,5.2,0.2,0.4,0.0,0.2,0.2,0,0,0.8,0.2,43.2,85.2,0,4.2,AC Milan,SerieA
58761,sn,M'Baye Niang,21," AM(LR),FW",184,75,15,1,1162,5,4,1,0.0,2.3,73.7,0,1.3,7.02,1.1,0.5,3.1,0,0.3,0.6,0.1,0.0,0.9,1.8,0.6,2.5,3,0.9,20.9,73.7,0.5,0.8,AC Milan,SerieA
14063,co,Cristian Zapata,29, D(C),186,78,14,2,1335,1,0,3,0.0,0.2,82.4,0,1.9,6.94,1.5,2.6,1.2,1.1,5.2,0.3,1,0.0,0.1,0.8,0.1,0.2,0.4,0.1,38.8,82.4,0,2.9,AC Milan,SerieA
71687,co,Carlos Bacca,29, FW,181,77,36,2,3170,18,2,2,0.0,2,73,0,0.7,6.89,0.3,0.3,0.8,0.1,0.6,0.3,0,0,1.1,0.6,1.4,1.6,2,1.1,17.7,73,0.1,0.6,AC Milan,SerieA
118158,it,Alessio Romagnoli,21, D(CL),185,75,33,1,2943,0,0,8,1,0.2,86.4,1,2.3,6.89,1.3,2.5,1.4,0.8,5.4,0.3,0.6,0.0,0.1,0.6,0.1,0.2,0.3,0.1,44.5,86.4,0,3.2,AC Milan,SerieA
24605,jp,Keisuke Honda,30, AM(CR),182,76,23,7,1931,1,3,2,0,1.5,81.9,2,1.1,6.84,1.1,1,1,0,0.6,0.6,0.1,0.0,1.3,1.1,0,1.5,1,1.3,28.8,81.9,0.7,0.7,AC Milan,SerieA
260498,it,Davide Calabria,19, Defender,176,70,3,3,370,0,0,4,0,0.2,72.1,0,0.5,6.81,3.3,1.5,1.3,0.0,1.3,0.5,0.2,0.0,1,0.8,0,1.5,1,1,31.7,72.1,0.8,1.5,AC Milan,SerieA
107275,it,Mattia De Sciglio,23," D(LR),M(L)",183,74,21,1,1843,0,1,3,0,0.6,76.8,0,1.4,6.80,1.8,2.2,1.5,0.5,2.6,0.8,0.3,0.0,0.8,0.6,0.2,0.5,0.4,0.8,40.3,76.8,0.7,2,AC Milan,SerieA
262515,it,Gianluigi Donnarumma,17, GK,196,90,30,0,2629,0,0,3,0,0,62.6,1,0.1,6.77,0,0.1,0,0,1,0,0,0,0,0.2,0,0,0,0,24.8,62.6,0,5.4,AC Milan,SerieA
67428,it,Andrea Bertolacci,25, M(C),179,75,21,6,1804,1,1,6,0,0.7,81.8,2,0.5,6.73,2.4,1.1,1.4,0.1,0.3,0.7,0.3,0.0,0.8,2.3,0,1.5,1.2,0.8,35.6,81.8,0.1,1.6,AC Milan,SerieA
33799,it,Mario Balotelli,25, FW,189,88,8,12,828,1,1,6,0,2.2,72.4,1,0.5,6.60,0.5,0.1,1.3,0,0.2,0.2,0.1,0.0,1.2,2,0.2,1,1.4,1.2,14.3,72.4,1.1,0.7,AC Milan,SerieA
12473,it,Alessio Cerci,28," M(R),FW",178,73,8,5,760,0,1,0,0,1.3,72.5,0,0.3,6.58,0.7,0.2,1.2,0,0.2,0.6,0,0.0,1.2,1.5,0.8,1.2,1.3,1.2,15.9,72.5,1.1,0.5,AC Milan,SerieA
140116,ar,José Mauri,20, M(C),169,63,3,2,247,0,0,2,0,1.4,90.2,0,0.6,6.49,1.4,0.4,1.4,0,0.2,0.4,0.2,0.0,1,1.6,0.2,1,0.6,1,30.6,90.2,0,2.2,AC Milan,SerieA
14105,br,Luiz Adriano,29, FW,182,71,12,14,1187,4,3,4,0,1,77.6,1,1.3,6.45,0.4,0.3,1.1,0,0.2,0.2,0,0.0,0.7,1.3,0.3,0.5,1.2,0.7,10.5,77.6,0,0.6,AC Milan,SerieA
31355,it,Andrea Poli,26, M(CL),181,70,4,14,570,0,1,1,0,0.3,89.5,0,0.1,6.33,0.8,1.3,0.5,0,0.1,0.7,0,0.0,0.4,0.7,0,0.7,0.6,0.4,14.3,89.5,0.1,0.5,AC Milan,SerieA
10407,fr,Jérémy Menez,29," M(CLR),FW",181,77,2,8,288,2,0,1,0,0.6,81,0,0.1,6.30,0.8,0,0.6,0,0,0.2,0,0.0,0.6,0.5,0.8,1,0.7,0.6,15.3,81,0,0.7,AC Milan,SerieA
11867,gh,Kevin-Prince Boateng,29," M(CR),FW",186,86,1,10,188,1,0,1,0,0.5,75.2,0,0.7,6.29,0.5,0,0.5,0,0.3,0,0,0.0,0.5,0.3,0.1,0.5,0.7,0.5,12.5,75.2,0.1,1.1,AC Milan,SerieA
10445,es,Diego López,34, GK,196,88,8,0,720,0,0,1,0,0,71.7,0,0,6.24,0,0.3,0,0,0.6,0.1,0,0,0.1,0,0,0,0,0.1,26.5,71.7,0,9.8,AC Milan,SerieA
19553,it,Antonio Nocerino,31, M(C),175,74,1,1,66,0,0,0,0,0,89.2,0,0,6.21,0,0,0.5,0,0.5,0,0,0,0.5,1.5,0,0,0.5,0.5,18.5,89.2,0,1,AC Milan,SerieA
4608,nl,Nigel de Jong,31, M(C),174,72,5,0,373,0,0,0,1,0.8,85.5,0,0.6,6.11,1,2,1.8,0,1.4,0.2,0,0.0,0.4,0.6,0,1,1.2,0.4,35.8,85.5,0,3.4,AC Milan,SerieA
105591,es,Suso,22," AM(CLR),FW",176,70,1,0,55,0,0,0,0,2,87.5,0,0,6.09,1,0,0,0,0,3,1,0.0,0,0,0,1,1,0,32,87.5,0,1,AC Milan,SerieA
273539,it,Manuel Locatelli,18, Midfielder,0,0,1,1,92,0,0,1,0,0,78.3,0,0,6.09,0.5,0.5,1,0,0.5,0,0.5,0.0,0,0,0,0.5,0,0,30,78.3,0,4,AC Milan,SerieA
97262,br,Rodrigo Ely,22, Defender,192,82,2,1,170,0,0,1,1,0.7,73.8,0,0,5.69,0.3,2,2.7,1,1.3,0.3,0.3,1,0,0,0.3,0,0.3,0,21.7,73.8,0,2.3,AC Milan,SerieA
