player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
22546,ar,Alejandro Gomez,28," M(L),FW",164,60,33,1,2825,7,7,4,1,2.5,79.5,5,0.2,7.36,1.1,1.3,0.9,0,0.3,1.2,0,0,1.8,2.4,0.4,1.1,1.9,1.8,33.4,79.5,1.6,1.3,Atalanta,SerieA
22486,sn,Boukary Dramé,30," D(L),M(L)",181,74,25,0,2053,0,0,1,1,0.7,81.9,1,1.7,7.07,1.9,2.5,0.9,0.4,1.9,0.1,0.2,0,0.6,1.3,0,0.6,0.8,0.6,39.2,81.9,0.5,2.2,Atalanta,SerieA
85070,nl,Marten de Roon,25, DMC,185,76,35,1,3095,1,2,9,1,0.6,77.2,2,1.8,7.05,3.4,3.7,2.2,0.0,1.3,1.9,0.3,0.0,0.5,0.9,0,1,0.4,0.5,45.8,77.2,0,3.5,Atalanta,SerieA
136279,it,Roberto Gagliardini,22, Midfielder,180,76,1,0,82,0,0,0,0,2,82.4,0,2,7.02,3,1,2,0.0,1,0,1,0.0,1,0,0,1,1,1,34,82.4,0,0,Atalanta,SerieA
20596,ar,Maximiliano Moralez,29, AM(CLR),161,54,16,1,1362,1,4,2,0,1.5,83,1,0.1,6.94,1.3,1.1,1.4,0,0.3,1.5,0,0,2.3,2.5,0.3,1.9,2.1,2.3,40.4,83,1.6,1.5,Atalanta,SerieA
14126,it,Luca Cigarini,30, M(C),175,72,21,4,1825,2,2,10,0,1.7,79.9,0,0.9,6.93,2.1,1.5,1.8,0,0.8,1.2,0.2,0.0,1.4,1.3,0.1,0.9,0.8,1.4,49.4,79.9,0.5,4.2,Atalanta,SerieA
240989,it,Alberto Grassi,21, M(C),183,75,13,0,985,0,0,4,1,1.2,78.5,0,1.3,6.87,2.6,2.1,1.8,0.1,1.5,0.8,0.2,0.0,0.6,1.8,0,0.8,1,0.6,27.5,78.5,0.2,0.9,Atalanta,SerieA
64075,br,Rafael Tolói,25, D(C),185,75,21,3,1896,1,0,6,1,0.4,77.2,1,1.3,6.86,2,3,1.4,0.5,4.4,1,0.4,1,0.1,0.3,0,0.2,0.2,0.1,28.1,77.2,0,3,Atalanta,SerieA
14157,it,Andrea Masiello,30, D(CR),185,75,27,2,2401,0,1,7,0,0.1,76.3,0,0.8,6.84,1.4,3,0.9,0.5,3.9,0.9,0.2,0,0.4,0.6,0.1,0.1,0.2,0.4,36.4,76.3,0.3,4.2,Atalanta,SerieA
100962,al,Berat Xhimshiti,23, D(C),190,78,3,0,270,0,0,1,0,0.3,82,0,2,6.82,1.7,2.3,0.7,0.7,8,0.3,0.3,0,0,1.7,0,0,0,0,46.3,82,0,1.7,Atalanta,SerieA
5734,cl,Mauricio Pinilla,32, FW,187,78,16,4,1342,5,2,8,1,2.1,68.4,1,2.8,6.81,0.9,0.4,2.1,0.1,1.1,0.6,0.1,0,1.1,1.7,0.8,1,2,1.1,17,68.4,0.2,0.7,Atalanta,SerieA
95504,it,Marco Sportiello,24, GK,186,80,36,0,3240,0,0,2,0,0,50.8,0,0.1,6.79,0,0,0,0,0.1,0,0,0,0.1,0.1,0,0,0.1,0.1,25.4,50.8,0,8.5,Atalanta,SerieA
22605,it,Gabriel Paletta,30, D(C),190,80,24,0,2014,1,0,5,2,0.3,78.1,0,1.8,6.78,2.1,2.1,1.5,0.8,5,0.5,0.5,0.0,0.1,0.6,0.2,0,0.1,0.1,32.4,78.1,0,4.2,Atalanta,SerieA
294137,it,Andrea Conti,22," D(R),M(R)",184,76,10,4,814,2,1,1,1,0.4,77.2,0,1,6.77,2.1,2.7,0.9,0.5,1.9,1,0.2,0.0,0.3,1.2,0.1,1.1,1.1,0.3,24.1,77.2,0.2,1,Atalanta,SerieA
302691,ch,Remo Freuler,24, M(C),179,75,5,1,451,1,0,0,0,0.8,79.1,0,0.7,6.71,2.5,1.3,2.5,0,0.5,1.2,0.2,0.0,0.5,0.8,0,0.7,1,0.5,25.5,79.1,0.2,1,Atalanta,SerieA
14484,ar,Germán Denis,34, FW,183,78,12,3,977,4,1,0,0,1.3,70.7,1,2.9,6.67,0.4,0.1,1.4,0,0.6,0.1,0.1,0,1.1,1.2,0.1,1.2,1.4,1.1,22.7,70.7,0,0.3,Atalanta,SerieA
14137,it,Guglielmo Stendardo,35, D(C),190,89,12,3,1108,1,0,3,1,0.3,82.5,0,1,6.67,1.9,1.7,1.1,0.5,2.9,0.3,0.1,0,0.1,1,0.1,0,0.2,0.1,26.7,82.5,0,1.5,Atalanta,SerieA
79498,it,Marco D'Alessandro,25, AM(LR),173,71,11,12,1160,3,2,3,0,0.6,73.2,0,0.1,6.60,1.1,0.5,0.7,0,0.4,0.6,0,0,0.7,1.3,0.1,0.6,1.3,0.7,14.1,73.2,0.7,0.4,Atalanta,SerieA
30585,it,Nicolò Cherubin,29, D(CL),188,83,10,4,1026,1,0,1,1,0.2,74.8,0,1.3,6.60,0.6,1.8,1,0.9,3.6,0.1,0.8,0,0.1,0.9,0,0.2,0.2,0.1,23.6,74.8,0,2,Atalanta,SerieA
