player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
79451,it,Archimede Morleo,32," D(L),M(L)",183,78,5,0.0,399,0.0,0.0,0.0,0.0,0.8,71.1,0.0,1.8,7.14,2,4,0.8,0.2,2.2,0.6,0.4,0.0,0.6,1.8,0.2,0.2,1.4,0.6,29.8,,,,Bologna,SerieA
137512,ma,Adam Masina,22, D(L),179,70,30,3,2625,2,3,8,1,0.4,74.2,2,2.2,7.08,2.1,2.5,1,0.3,2.9,1,0.5,0.0,0.6,0.9,0.2,0.5,0.7,0.6,36.7,,,,Bologna,SerieA
16367,it,Domenico Maietta,33, D(C),185,77,18,1,1565,0,0,4,0,0.1,84.8,1,1.5,7.07,2.1,3.2,0.9,1.2,4.6,0.9,0.4,0.0,0.1,0.4,0.1,0.4,0.3,0.1,40.9,,,,Bologna,SerieA
12348,it,Daniele Gastaldello,32, D(C),185,77,26,0,2203,1,2,7,1,0.3,82.7,3,2.5,7.05,1.5,3.2,1.3,0.6,4.8,0.7,0.6,0.0,0.2,0.9,0,0.1,0.5,0.2,39.4,,,,Bologna,SerieA
135920,gr,Marios Oikonomou,23, D(C),189,76,17,3,1617,0,1,5,1,0.2,80.9,0,1.6,6.96,2.1,3.4,1.1,0.6,4.4,0.6,0.8,0.0,0.1,0.5,0.1,0.1,0.3,0.1,36.4,,,,Bologna,SerieA
31302,it,Luca Rossettini,31, D(CR),187,81,28,1,2542,3,1,5,0,0.5,76.2,1,2.3,6.89,2,3,1.5,0.5,4.8,0.7,0.4,0.0,0.3,0.5,0,0.2,0.3,0.3,40.3,,,,Bologna,SerieA
72296,it,Emanuele Giaccherini,31, M(CLR),167,60,27,1,2187,7,0,7,0,1.6,80.4,0,0.2,6.86,0.8,0.5,0.5,0,0.4,0.8,0,0.0,1.5,1.6,0.3,1.8,1.9,1.5,36.1,,,,Bologna,SerieA
141813,gh,Godfred Donsah,20, M(C),175,72,18,2,1359,2,2,2,0,0.8,69.2,2,1.5,6.83,1.2,1.6,1,0,1.4,0.7,0.2,0.0,0.4,0.6,0.1,1,1.8,0.4,23.6,,,,Bologna,SerieA
118142,sn,Ibrahima Mbaye,21," D(R),M(LR)",187,70,11,4,979,0,0,3,1,0.3,81.7,1,1.5,6.83,2.3,2.3,1.2,0.5,2.9,0.6,0.3,0.0,0.1,1.7,0,0.4,0.7,0.1,32.5,,,,Bologna,SerieA
17949,it,Antonio Mirante,32, GK,188,78,33,0,2970,0,0,2,0,0,54.2,0,0.2,6.79,0,0.1,0,0,0.8,0.1,0,0.0,0,0.2,0,0,0,0,28.9,,,,Bologna,SerieA
