player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
41008,it,Simone Colombi,24, GK,188,81,1,0.0,90,0.0,0.0,0.0,0.0,0.0,27.8,0.0,0.0,7.12,0,0,0,0,3,0,0,0.0,0,0,0,0,0,0,18,27.8,0,3,Carpi,SerieA
122452,it,Riccardo Gagliolo,26, D(CL),180,75,29,2,2636,1,0.0,11,1,0.4,70,2,1,7.07,3,3.5,1.5,0.6,5.3,1.4,0.5,0.0,0.4,2.4,0,0.2,0.6,0.4,31.6,70,0.1,2.6,Carpi,SerieA
2796,it,Cristian Zaccardo,34, D(CR),184,77,26,1,2404,1,0.0,4,0,0.6,72.8,3,1,6.99,2.5,3.2,0.9,0.4,4,0.8,0.4,0.0,0.3,0.9,0.3,0.2,0.1,0.3,28.3,72.8,0.3,1.7,Carpi,SerieA
122454,it,Gaetano Letizia,25," D(LR),M(LR)",171,63,33,2,2894,1,0.0,5,0,0.7,68.5,1,0.6,6.96,2.9,2.6,0.9,0.2,1.7,1.2,0.3,0.0,0.9,1.7,0,0.7,1.1,0.9,33.5,68.5,0.8,2.5,Carpi,SerieA
67256,it,Simone Romagnoli,26, D(C),193,85,30,0,2639,0,0.0,5,0,0.4,71,0,2.4,6.93,1.5,2.1,0.7,0.8,6.7,0.4,0.9,0.0,0.2,0.1,0,0.1,0.2,0.2,24.9,71,0,1.7,Carpi,SerieA
4644,it,Marco Borriello,34, FW,180,73,8,4,748,4,3,1,1,2.5,80.8,0,1.6,6.92,1,0.3,1.7,0,0.7,0.1,0.1,0.0,1,1,1,1.3,2,1,16.5,80.8,0.3,0.7,Carpi,SerieA
86684,br,Gabriel Silva,25," D(L),M(L)",179,69,14,2,1279,0,2,4,0,0.6,66.9,2,0.9,6.89,1.8,3.2,1.3,0.2,2.1,0.6,0.1,0.0,0.7,2,0.1,0.1,0.5,0.7,24.4,66.9,1.1,1.2,Carpi,SerieA
95721,it,Lorenzo Lollo,25, AM(C),180,75,25,2,2096,3,1,10,2,1.3,73.8,0,1,6.82,2.9,2,2.7,0,0.7,1.8,0.2,0.0,0.6,1.5,0,0.7,1.2,0.6,24.6,73.8,0.1,1.1,Carpi,SerieA
28342,it,Raffaele Bianco,28, M(C),180,80,21,5,1861,1,3,5,1,0.7,78.1,0,0.8,6.82,2,1.8,1.7,0,1.1,1.1,0.2,0.0,0.7,1.2,0,0.8,0.8,0.7,32.2,78.1,0.2,2.6,Carpi,SerieA
58935,it,Lorenzo Pasciuti,26, M(R),172,68,19,2,1554,2,3,4,1,0.3,65.4,1,0.8,6.80,1.2,1.6,1.3,0,1,1,0.1,0.0,1.2,0.8,0,0.4,0.7,1.2,30.6,65.4,1.8,2.2,Carpi,SerieA
10866,it,Francesco Benussi,34, GK,188,80,4,0,299,0,0,0,0,0,38.9,0,0,6.75,0,0.5,0,0,0.3,0,0,0.0,0,0,0,0,0,0,22.5,38.9,0,7.5,Carpi,SerieA
82144,it,Simone Verdi,23, AM(C),171,62,3,5,272,3,0,1,0,1.9,77.5,1,0.5,6.74,0.9,0.3,0.6,0,0,0.4,0.1,0.0,0.6,0.6,0.1,0.6,0.9,0.6,11.1,77.5,0.5,1.3,Carpi,SerieA
78881,si,Vid Belec,26, GK,193,87,30,0,2700,0,0,1,0,0,34.2,1,0.3,6.73,0,0.1,0,0,1,0,0,0.0,0,0.2,0,0,0,0,24,34.2,0,6.2,Carpi,SerieA
283348,it,Stefano Sabelli,23, M(R),179,70,6,1,558,1,0,1,0,0.6,60.1,0,0.6,6.71,2.9,1.4,0.1,0.3,3,1,0,0.0,0.7,1.3,0,0.3,1,0.7,20.4,60.1,0.1,1.6,Carpi,SerieA
86833,,Marco Crimi,26, M(C),178,65,10,9,965,0,1,9,0,0.4,68.5,0,0.4,6.70,2.7,1.7,2.1,0,0.4,1.4,0.3,0.0,0.5,1.6,0.1,0.9,0.5,0.5,16.7,68.5,0.4,1.2,Carpi,SerieA
70142,gh,Isaac Cofie,25, M(C),180,77,26,3,2152,0,1,7,0,0.8,73.3,0,1.2,6.68,2.3,2.3,1.5,0.1,1.9,1.6,0.2,0.0,0.4,0.3,0,0.4,0.7,0.4,30.7,73.3,0.1,2,Carpi,SerieA
79316,it,Luca Marrone,26," D(C),DMC",186,75,9,0,728,1,0,4,0,0.6,78.6,1,0.8,6.68,1.1,1.4,1.6,0,1.4,0.6,0.2,0.0,0.8,1.2,0,0.4,0.7,0.8,34.8,78.6,0,2.7,Carpi,SerieA
294171,it,Fabrizio Poli,27, D(C),185,75,10,0,850,0,0,5,0,0,71.7,0,1.2,6.62,1.9,1.3,2,0.2,3,0.7,0.5,0.0,0.2,0.6,0,0,0.4,0.2,23.7,71.7,0,1.8,Carpi,SerieA
109280,it,Emanuele Suagher,23, D(C),192,92,8,1,721,0,0,8,0,0.3,70.6,0,1.2,6.61,1.6,2.1,1.6,0.3,5.3,0.6,1,0.0,0.1,0.2,0,0.1,0.1,0.1,13.2,70.6,0,0.8,Carpi,SerieA
106428,br,Ryder,23," AM(CR),FW",179,71,14,1,1201,2,1,1,0,2.1,83.1,0,0.6,6.58,0.7,0.4,1.2,0,0.2,0.2,0.1,0.0,1.2,2,0.8,1.7,2.3,1.2,22.9,83.1,0.3,0.2,Carpi,SerieA
90945,ng,Jerry Mbakogu,23, FW,185,78,20,4,1700,2,2,2,0,1.4,66.4,0,2.3,6.58,0.6,0.3,1.5,0,1.3,0.2,0.2,0.0,1,1.8,0.9,1.1,2.5,1,18.8,66.4,0.2,0.2,Carpi,SerieA
101953,br,Wallace Oliveira,22, D(R),175,72,1,5,157,0,1,1,0,0.8,78.6,0,0.3,6.56,1.5,0.8,0.7,0,0,0.5,0,0.0,0.7,0.5,0,0.2,1.3,0.7,11.7,78.6,0.3,1.3,Carpi,SerieA
109067,it,Antonio Di Gaudio,26, AM(L),169,64,16,13,1508,3,3,2,0,1.2,75,1,0.1,6.56,0.3,0.4,0.6,0,0.4,0.3,0,0.0,0.5,1.6,0.1,0.8,1.2,0.5,12,75,0.3,0.2,Carpi,SerieA
10233,it,Andrea Lazzari,31, M(C),184,75,3,5,338,1,0,1,0,1.3,75.7,0,0.6,6.55,1.4,0.1,1,0,0,0.5,0.1,0.0,2,0.8,0,0.1,0.6,2,19,75.7,1.6,1.4,Carpi,SerieA
294174,it,Matteo Fedele,23, M(C),180,69,8,0,569,0,0,2,0,1.4,79.5,0,0.9,6.51,1.8,1.3,2.5,0,0.9,0.4,0.1,0.0,1,0.5,0,1.4,1.4,1,24.4,79.5,1,3.3,Carpi,SerieA
91171,it,Raphael Martinho,28, AM(CL),183,73,10,1,686,0,0,3,0,0.9,72.1,0,0.6,6.44,1.6,0.5,1,0,0.4,1.6,0.2,0.0,0.5,0.4,0,0.5,1.1,0.5,17.9,72.1,0.5,0.5,Carpi,SerieA
110896,hr,Igor Bubnjic,23, D(C),188,82,8,1,722,0,0,1,0,1,79.8,0,1.6,6.39,1.3,1.9,1,1,4.9,0.7,0.2,0.0,0.1,0.6,0,0,0.3,0.1,24.8,79.8,0,4.7,Carpi,SerieA
294169,it,Kevin Lasagna,23, FW,186,80,8,28,1483,5,2,1,0,1.2,61.7,0,1.5,6.37,0.4,0.3,1.1,0,0.5,0.3,0,0.0,0.6,0.5,0.4,0.6,1.5,0.6,10.7,61.7,0.1,0.1,Carpi,SerieA
14636,ar,Nicolás Spolli,33, D(C),192,86,4,0,327,0,0,2,0,0.3,82.6,0,0.5,6.36,0.5,1.8,1.8,1,6.5,0.5,0,0.0,0.3,1,0,0,0.3,0.3,23,82.6,0,2,Carpi,SerieA
35391,ch,Fabio Daprelà,25, M(L),180,65,0,2,62,0,0,1,0,0,75,0,0.5,6.35,1,2.5,0.5,0,1,0,0,0.0,0,0.5,0,0,0,0,10,75,0,1,Carpi,SerieA
294172,pl,Kamil Wilczek,28, Forward,186,78,1,2,116,0,0,0,0,1.7,73.3,0,1.3,6.34,0.7,0,1,0,0,0,0,0.0,0.3,0,0.3,0.7,2,0.3,10,73.3,0,0,Carpi,SerieA
294041,it,Matteo Mancosu,31, FW,182,75,7,5,579,1,0,2,0,0.8,62.9,0,1.3,6.33,0.3,0.3,0.8,0,0.8,0.2,0.1,0.0,0.5,0.8,0.6,0.3,0.7,0.5,11,62.9,0,0.1,Carpi,SerieA
19087,nl,Jonathan de Guzmán,28, M(CLR),173,70,1,4,111,1,0,0,0,0.4,60.7,0,0.2,6.20,0,0,0.2,0,0.2,0.4,0,0.0,0.2,0.4,0.2,0.4,0.6,0.2,5.6,60.7,0.6,0.2,Carpi,SerieA
69167,rs,Zeljko Brkic,29, GK,194,90,3,1,331,0,0,0,0,0,43.8,0,0.3,6.10,0,0,0,0,0.5,0.3,0,0.0,0,0.3,0,0,0,0,18.3,43.8,0,4,Carpi,SerieA
36846,it,Filippo Porcari,32," D(C),DMC",176,71,2,2,183,0,0,1,0,0.5,79,0,1,6.08,1,0,1.3,0,0.3,1,0,0.0,1,0.8,0,0,0.5,1,20.3,79,0.5,1.5,Carpi,SerieA
