player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
143992,it,Federico Mattiello,20, Midfielder,182,76,1,0.0,90,0.0,1,0.0,0.0,3,75,0.0,2,7.14,2,1,1,0.0,0,4,0,0.0,4,2,0,0,1,4,52,75,1,6,Chievo,SerieA
67281,it,Andrea Seculin,25, Goalkeeper,185,78,3,0.0,270,0.0,0,0.0,0.0,0,51.9,0.0,0,7.13,0,0.3,0,0,0.3,0,0,0,0,0,0,0,0,0,34.7,51.9,0,11.3,Chievo,SerieA
22406,fi,Perparim Hetemaj,29, M(CL),176,68,26,2,2261,1,0,7,0.0,0.9,79.4,1,0.4,7.00,2.7,2,2.5,0.0,1,1.5,0.3,0.0,0.7,3.5,0.1,1.5,1.5,0.7,36.1,79.4,0.7,1.4,Chievo,SerieA
715,it,Dario Dainelli,37, D(C),191,87,15,3,1378,1,0,5,0.0,0.1,79.7,0,1.6,6.98,0.9,4.1,1,0.6,4.3,0.4,0.7,0,0.2,0.3,0,0.3,0.2,0.2,30.1,79.7,0.1,3.7,Chievo,SerieA
661,it,Alessandro Gamberini,34, D(C),185,78,22,0,1815,0,1,1,0.0,0.1,80.7,2,2.2,6.96,1,2.7,0.5,0.4,5.6,0.2,0.9,1,0.1,0.4,0,0,0.1,0.1,28.5,80.7,0,1.7,Chievo,SerieA
10974,si,Bostjan Cesar,33, D(C),190,87,30,1,2716,1,0,9,1,0.5,81.6,0,2.1,6.93,1.2,2.7,1.4,0.5,6.7,0.5,0.8,0,0.1,0.9,0.1,0.1,0.4,0.1,34.5,81.6,0,3.2,Chievo,SerieA
12032,si,Valter Birsa,29, M(CLR),184,79,32,3,2390,6,7,4,0,1.5,74.7,3,0.5,6.92,1.1,1,1.2,0,0.5,1.4,0,0,1.8,0.9,0,1.5,1,1.8,25.8,74.7,1.2,1.1,Chievo,SerieA
35640,rs,Ivan Radovanovic,27, DMC,186,76,25,1,2080,0,0,9,0,0.7,81.1,0,1.8,6.91,1.7,2.9,1.5,0.0,2.7,1,0.6,0.0,0.3,1.1,0,0.7,0.3,0.3,49.5,81.1,0.3,4.7,Chievo,SerieA
71584,ar,Lucas Castro,27, AM(CLR),182,75,32,2,2788,3,1,9,0,1.3,75.1,1,1.6,6.90,2.8,2.5,1.7,0.0,0.9,2.3,0.1,0.0,0.9,1.1,0.1,1.5,1.9,0.9,33.4,75.1,0.4,1.4,Chievo,SerieA
4444,ar,Albano Bizzarri,38, GK,193,89,35,0,3150,0,0,2,0,0,49.7,1,0.2,6.86,0,0,0,0,0.5,0.1,0,0,0,0.1,0,0,0.1,0,26.5,49.7,0,8.7,Chievo,SerieA
25820,it,Riccardo Meggiorini,30, FW,183,75,19,7,1655,5,7,8,1,1.5,63.1,2,3.2,6.85,0.7,0.4,1.8,0,0.4,1,0.1,0,1,2.1,0.8,1,1.2,1,16.3,63.1,0.4,0.2,Chievo,SerieA
14636,ar,Nicolás Spolli,33, D(C),192,86,8,2,770,0,0,3,1,0.2,84.5,1,1.3,6.85,1.6,1.9,2,0.6,6.7,0.6,0.7,0,0,0.7,0,0.2,0,0,23.3,84.5,0.1,1.1,Chievo,SerieA
32939,it,Nicola Rigoni,25, M(C),185,80,22,6,1983,3,1,7,0,1,80.4,2,0.9,6.82,2,1.8,1.1,0.0,1.4,1.1,0.3,0.0,0.3,0.5,0,0.6,0.5,0.3,34.4,80.4,0.1,1.8,Chievo,SerieA
33870,it,Fabrizio Cacciatore,29, D(LR),184,70,25,4,2310,1,3,6,0,0.4,80.2,1,0.8,6.80,1.5,1.8,0.8,0.2,2.3,0.4,0.3,0,0.9,0.5,0,0.4,0.7,0.9,41.2,80.2,0.8,3.2,Chievo,SerieA
9926,it,Massimo Gobbi,35," D(L),M(L)",183,79,31,3,2785,0,1,7,0,0.4,76.7,0,0.8,6.79,1.6,2.3,1.5,0.1,2.3,0.8,0.2,0.0,0.5,0.4,0.1,0.3,0.5,0.5,37.8,76.7,0.5,2.1,Chievo,SerieA
20540,fr,Nicolas Frey,32, D(CLR),187,84,17,2,1484,0,0,3,0,0.1,74,0,1.4,6.65,1.6,1.4,0.8,0.1,4.2,0.6,0.6,1,0.2,0.4,0,0.1,0.3,0.2,31.4,74,0.3,2.2,Chievo,SerieA
33834,it,Alberto Paloschi,26, FW,175,68,19,2,1673,8,2,1,0,2,68.5,0,0.3,6.59,0.5,0.3,1.5,0,0.1,0.5,0.1,0,0.6,1,1.2,1.5,1.7,0.6,17.4,68.5,0,0.3,Chievo,SerieA
15119,it,Gennaro Sardo,37," D(R),M(R)",190,87,3,3,331,1,0,3,0,0.3,85.4,0,1.2,6.55,1.3,0.7,1.2,0,1.8,0.8,0.5,0,0.7,0.3,0,0,0.2,0.7,26.3,85.4,0.5,2.5,Chievo,SerieA
2778,it,Giampiero Pinzi,35, M(C),180,73,9,9,987,0,0,7,0,0.2,83.3,0,0.5,6.52,2.2,1.6,1.7,0.0,0.7,0.9,0.2,0.0,0.4,0.8,0.1,0.3,0.4,0.4,26.3,83.3,0.1,1.7,Chievo,SerieA
9894,it,Simone Pepe,32, M(C),178,73,6,16,788,3,3,2,1,0.9,77.3,0,0.4,6.49,0.7,0.4,0.7,0,0.3,0.7,0,0,0.9,0.6,0.1,0.5,0.5,0.9,18.8,77.3,0.8,0.9,Chievo,SerieA
6077,it,Antonio Floro Flores,33," AM(L),FW",183,78,8,6,651,1,0,2,0,2,72.9,0,1.3,6.49,0.6,0.4,0.7,0,0.2,0.4,0,0,0.4,1.6,0.8,1.2,2,0.4,14.8,72.9,0.2,0.6,Chievo,SerieA
123468,it,Filippo Costa,21, Defender,176,68,0,6,127,0,0,0,0,0,64.8,0,0.7,6.48,0.7,0.5,0.3,0.2,1.2,0.2,0,0,0.3,0.7,0,0.3,0.3,0.3,9,64.8,0.2,0.3,Chievo,SerieA
90946,it,Roberto Inglese,24, FW,187,75,14,12,1379,3,1,3,0,1.3,69.3,0,1.8,6.43,0.6,0.3,1.7,0,0.4,0.3,0,0,0.4,1.6,0.9,1.5,1.9,0.4,12.8,69.3,0.1,0.2,Chievo,SerieA
4368,it,Sergio Pellissier,37, FW,176,75,10,9,951,5,0,2,0,1.2,71.9,0,1.1,6.36,0.2,0.1,0.5,0,0.2,0.4,0,0,0.7,1.3,0.9,0.6,1.3,0.7,10.7,71.9,0,0.2,Chievo,SerieA
83944,be,Paul-José M'Poku,24," AM(CL),FW",174,65,6,14,756,0,0,3,0,0.9,76.1,0,0.7,6.34,0.4,0.4,0.5,0,0.1,0.7,0,0,0.9,1.8,0.2,1.4,0.9,0.9,17.6,76.1,0.3,0.5,Chievo,SerieA
105562,rs,Nicola Ninkovic,21, Midfielder,182,69,0,1,7,0,0,0,0,0,75,0,0,6.22,2,0,0,0.0,0,0,0,0.0,0,0,0,1,0,0,4,75,0,0,Chievo,SerieA
