player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
128738,it,Alberto Pelagotti,27, GK,186,81,6,0.0,540,0.0,0.0,0.0,0.0,0.0,66.9,2,0.2,7.35,0,0,0,0,0.3,0,0,0,0,0.2,0,0,0,0,21.7,66.9,0,5.5,Empoli,SerieA
243371,it,Maurizio Pugliesi,39, Goalkeeper,186,82,1,0.0,90,0.0,0.0,0.0,0.0,0.0,52.2,0,1,7.23,0,0,0,0,1,0,0,0,0,1,0,0,0,0,23,52.2,0,4,Empoli,SerieA
20765,it,Andrea Costa,30, D(CL),182,73,23,1,2080,1,0.0,4,0.0,0.3,87,1,2.9,7.22,0.7,3.8,0.9,0.9,5.5,0.2,1,0,0,0.8,0.1,0.3,0.3,0,56.5,87,0,3.1,Empoli,SerieA
118169,pl,Piotr Zielinski,22, AM(C),177,64,35,0,3035,5,4,5,1,1.8,82.5,4,0.5,7.22,2,1.4,1,0,1,0.9,0,0,1.5,0.9,0,1.8,1.5,1.5,46.9,82.5,0.4,1.6,Empoli,SerieA
128740,it,Lorenzo Tonelli,26, D(C),184,79,26,0,2288,2,0,8,1,0.3,84.1,4,2.5,7.11,1.8,3.1,1.1,1.7,5.1,0.3,1,0,0.2,2,0,0.7,0.5,0.2,52.4,84.1,0,2.9,Empoli,SerieA
93700,ar,Leandro Paredes,21, M(C),180,75,29,4,2490,2,1,11,0,1.6,83.9,1,0.7,7.04,2.5,1.5,1.4,0.0,0.6,1.8,0.5,0.0,1.2,2.4,0,0.9,0.8,1.2,58.6,83.9,0.8,3.7,Empoli,SerieA
90878,it,Riccardo Saponara,24, AM(C),184,73,32,1,2641,5,11,6,1,2.1,76.2,2,0.1,6.91,0.9,0.3,1.2,0.1,0.5,0.4,0.1,0,2.2,2.2,0.4,2.5,2.5,2.2,34.1,76.2,0.2,0.9,Empoli,SerieA
80875,rs,Uros Cosic,23, D(C),187,76,9,0,810,0,0,4,0,0.1,86.9,0,1.7,6.91,1,3,1.2,1.2,5.8,0.2,1.6,0,0.2,0.8,0,0.2,0.2,0.2,61.2,86.9,0,4,Empoli,SerieA
106931,pt,Mário Rui,25, D(L),170,63,36,0,3240,0,2,6,1,0.8,81.7,1,0.4,6.90,1.8,2.6,1,0.9,2.3,0.5,0.2,0,0.9,2.6,0.1,0.6,0.8,0.9,53.5,81.7,0.4,1.9,Empoli,SerieA
3853,it,Massimo Maccarone,36, FW,180,73,35,2,2765,13,5,4,0,2.2,71.2,1,0.6,6.82,0.7,0.1,1.2,0,0.7,0.7,0.1,0,1,1.4,0.9,2.1,1.2,1,17.5,71.2,0.2,0.2,Empoli,SerieA
109062,fr,Vincent Laurini,27, D(R),173,72,24,1,1955,1,0,5,0,0.1,83.7,0,1.2,6.82,1.2,2.6,1,0.6,2.5,0.4,0.4,0,0.2,1.1,0,0.6,0.7,0.2,35,83.7,0.2,1.7,Empoli,SerieA
118801,it,Federico Barba,22, D(C),187,80,10,0,890,0,1,3,0,0.3,88.7,0,2,6.82,1,2.9,1.3,1.2,5.9,0.2,0.6,0,0.1,0.6,0.1,0,0.3,0.1,52.1,88.7,0,2.9,Empoli,SerieA
77397,pl,Lukasz Skorupski,25, GK,190,83,31,0,2790,0,0,2,0,0,66.6,2,0.3,6.76,0,0,0,0,1.3,0,0,0,0,0.2,0,0,0,0,21.3,66.6,0,3.4,Empoli,SerieA
83389,it,Raffaele Maiello,24, M(C),177,73,4,8,469,0,0,1,0,0.3,86.7,0,0.4,6.68,1.2,2.1,0.6,0,0.6,0.7,0.2,0,0.7,2.1,0,0.4,0.2,0.7,30.2,86.7,0.3,1.7,Empoli,SerieA
128778,it,Manuel Pucciarelli,25, FW,180,76,33,5,3035,6,3,2,0,1.5,83.1,1,0.1,6.68,1,0.5,1.2,0,0.1,0.9,0,0,1.2,1.5,0.4,2,1.8,1.2,26.9,83.1,0.2,0.2,Empoli,SerieA
79508,br,Ronaldo,26, Midfielder,175,70,1,1,91,0,0,1,0,3,87.9,0,0,6.60,0.5,0,1,0,0,2.5,0,0,0.5,4,0,1,0,0.5,49.5,87.9,0,4,Empoli,SerieA
83286,li,Marcel Büchel,25, M(C),175,71,18,10,1582,2,1,10,0,1.3,81.9,0,0.8,6.59,1.1,1.4,1.5,0,0.6,1,0,0,0.8,0.8,0,1.3,1,0.8,30.5,81.9,0.1,0.8,Empoli,SerieA
14482,it,Daniele Croce,33, M(C),172,68,19,9,1788,0,1,3,0,0.4,86.6,0,0.6,6.58,1.5,1,0.7,0,0.4,1.7,0.1,0,0.6,1.7,0.1,1.5,1.1,0.6,28.7,86.6,0.3,0.5,Empoli,SerieA
