player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
42435,hr,Milan Badelj,27, M(C),186,76,25,2,2138,1,1,7,1,1,87,2,0.7,7.13,2,2.6,1.4,0,1.3,1.4,0.2,0.0,1.3,0.8,0,1,0.7,1.3,66.3,87,0.1,3.8,Fiorentina,SerieA
135625,uy,Matías Vecino,24, DMC,187,81,27,3,2399,2,1,8,0,1.7,87.5,4,1.7,7.12,2.5,1.9,1.7,0.1,1,1.4,0.1,0.0,0.8,0.9,0,0.7,0.7,0.8,65.8,87.5,0,1.8,Fiorentina,SerieA
19112,es,Borja Valero,31, M(CL),175,73,35,2,3099,4,6,5,0,1,89.2,3,0.2,7.10,1.4,0.8,0.8,0,0.5,1,0.1,0.0,2.1,2.7,0.1,1.9,1.4,2.1,59.3,89.2,0.7,2.5,Fiorentina,SerieA
44643,it,Davide Astori,29, D(C),188,80,32,1,2901,0,0,5,0,0.4,88.7,0,2,7.09,1.4,2.9,1.2,1.2,4.5,0.7,0.5,0.0,0.2,0.8,0,0.2,0.2,0.2,70.5,88.7,0.1,4.2,Fiorentina,SerieA
84008,es,Marcos Alonso,25," D(CL),M(L)",188,81,26,5,2346,3,4,8,0,1.8,83.4,3,1.6,7.07,1.6,1.7,1.1,0.2,2.2,0.6,0.3,0.0,1.4,1,0,1,1.2,1.4,43.8,83.4,0.8,1.9,Fiorentina,SerieA
9578,ar,Gonzalo Rodríguez,32, D(C),182,79,35,0,3142,4,0,7,0,0.3,87.1,4,1.5,7.05,1.4,2.5,1,1.3,4.3,0.7,0.5,0.0,0.2,0.9,0,0.2,0.2,0.2,63.5,87.1,0,4.1,Fiorentina,SerieA
91800,es,Cristian Tello,24, AM(LR),178,65,13,2,1079,2,4,1,0,1.5,82.7,0,0.1,7.05,0.7,0.7,0.2,0,0.2,0.9,0,0.0,1.5,0.7,0.2,0.9,0.8,1.5,30.1,82.7,0.9,1.2,Fiorentina,SerieA
43194,si,Josip Ilicic,28," AM(CLR),FW",190,79,24,6,1925,13,5,2,0,2.5,81.5,2,0.1,7.04,0.6,0.6,0.8,0,0.1,0.6,0,0.0,1.6,1.5,0.1,1.2,1.7,1.6,33.5,81.5,0.5,1.5,Fiorentina,SerieA
38277,ar,Facundo Roncaglia,29, D(CR),179,76,26,4,2436,1,0,9,0,0.4,88.7,0,1.4,6.97,2.9,2.3,1.6,0.6,2.3,0.5,0.2,0.0,0.3,1,0,0.3,0.3,0.3,57.9,88.7,0.1,2.6,Fiorentina,SerieA
122402,it,Federico Bernardeschi,22, AM(LR),183,75,25,8,2275,2,4,6,0,1.6,82,1,0.2,6.94,1.1,1,1,0,0.5,0.8,0.2,0.0,1.2,1.8,0.2,1.9,1.7,1.2,29.1,82,0.4,1.6,Fiorentina,SerieA
42860,rs,Nenad Tomovic,28, D(CR),184,79,19,5,1672,0,0,5,0,0.3,87.1,0,1.6,6.80,1.6,1.7,1.3,0.6,2.5,0.5,0.3,0.0,0.3,0.7,0,0,0.3,0.3,52.7,87.1,0.1,1.3,Fiorentina,SerieA
101735,hr,Ante Rebic,22, AM(L),185,77,3,1,229,1,0,2,0,1.5,75.2,0,0,6.78,2.5,1.3,2.3,0,0.3,0,0,0.0,0.5,0.3,0.3,0.8,1.3,0.5,29.3,75.2,0.3,0,Fiorentina,SerieA
23413,cl,Matías Fernández,30, AM(C),178,72,11,11,1071,1,3,3,1,1.1,90.7,1,0.1,6.70,1.3,0.6,0.9,0,0,0.5,0,0.0,1,1.5,0,1,0.5,1,28.8,90.7,0.4,0.7,Fiorentina,SerieA
14039,it,Manuel Pasqual,34," D(L),M(L)",178,71,12,5,1032,0,2,5,0,0.2,82.5,0,0.6,6.68,1.2,0.8,0.7,0.3,0.6,1.1,0.1,0.0,1.3,1.2,0.1,0.4,0.6,1.3,33.6,82.5,1.2,0.6,Fiorentina,SerieA
25091,hr,Nikola Kalinic,28, FW,187,80,25,11,2571,12,3,5,0,2,78.8,2,1,6.67,0.3,0.1,1.4,0,0.3,0.4,0.1,0.0,0.5,2.3,1,1.5,1.7,0.5,16,78.8,0,0.1,Fiorentina,SerieA
