player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
78882,it,Francesco Bardi,24, GK,187,84,2,0.0,120,0.0,0.0,1,0.0,0.0,35,1,0.5,7.53,0,0,0,0,1,0,0,0,0,0,0,0,0.5,0,20,35,0,7,Frosinone,SerieA
78908,it,Leonardo Blanchard,28, D(C),187,80,27,1,2455,3,1,11,1,0.8,69.4,0,2.9,6.90,1.1,2.3,1.1,0.4,5.7,0.6,1.9,0.0,0.1,0.5,0.1,0.1,0.3,0.1,33.1,69.4,0,4.5,Frosinone,SerieA
11615,it,Paolo Sammarco,33, M(C),181,76,25,3,2321,4,1,7,0,0.8,76.6,0,1,6.83,1.9,2.2,1.2,0,1.5,1.3,0.6,0.0,0.9,1.4,0,0.5,0.8,0.9,31.5,76.6,0.4,1.3,Frosinone,SerieA
131174,ch,Daniel Pavlovic,28, D(L),183,76,22,0,1933,0,5,6,0,0.5,64.8,0,1.2,6.78,1.7,1.8,1.5,0.3,3.1,1,0.3,0.0,1.9,0.6,0,0.1,0.7,1.9,27.5,64.8,1.5,2.3,Frosinone,SerieA
91169,it,Nicola Leali,23, GK,190,80,33,0,2970,0,0,3,0,0,48.7,0,0.2,6.74,0,0.1,0,0,0.8,0,0,0,0,0.1,0,0,0,0,26.2,48.7,0,8.7,Frosinone,SerieA
122653,it,Luca Paganini,23, AM(R),177,70,21,6,1843,2,2,6,0,0.9,68.5,1,1.9,6.72,1.7,1.4,1.3,0,1.3,1.1,0.1,0.0,0.8,2.1,0.3,1.1,1.3,0.8,17.7,68.5,0.3,0.6,Frosinone,SerieA
78883,it,Federico Dionisi,29," AM(L),FW",179,70,28,4,2450,9,4,12,0,2.6,68.3,3,0.6,6.71,1,0.7,1.9,0,0.1,1,0,0.0,0.9,2.6,0.7,2.3,2.3,0.9,18.1,68.3,0.3,0.4,Frosinone,SerieA
24895,fr,Modibo Diakité,29, D(CR),192,84,18,0,1620,1,0,4,0,0.4,73,0,3,6.70,1.3,2.2,1.3,0.4,5.4,0.4,1.3,0.0,0.2,0.8,0.1,0,0.4,0.2,26.7,73,0,1.9,Frosinone,SerieA
122652,it,Mirko Gori,23, M(C),177,66,26,2,2173,0,0,10,1,0.8,74.3,0,0.3,6.70,3.3,1.8,2.1,0.0,1.1,3.3,0.5,0.0,0.5,1.9,0,0.6,1.1,0.5,32.5,74.3,0.2,2.3,Frosinone,SerieA
14254,it,Aleandro Rosi,29," D(R),M(R)",184,80,24,3,2163,0,0,6,0,0.6,71.3,0,1.1,6.69,1.5,2.1,2.4,0,3,0.4,0.5,0.0,0.5,1.5,0.1,0.4,1,0.5,22,71.3,0.6,1.4,Frosinone,SerieA
19792,,Daniel Ciofani,30, FW,192,85,33,4,2913,9,1,1,0,2.1,62.1,1,2.7,6.68,0.3,0.2,1.5,0.1,1.3,0.4,0.2,0,1.1,1.4,1.1,1,2,1.1,16.3,62.1,0,0.2,Frosinone,SerieA
18681,it,Danilo Soddimo,28, AM(L),185,75,20,8,1794,1,2,9,1,1.6,70.1,0,0.4,6.66,1.7,1.4,1.4,0,0.3,1.2,0,0.0,1.6,1.7,0.3,1.9,2.2,1.6,25,70.1,1,1,Frosinone,SerieA
57540,it,Adriano Russo,29, D(C),186,72,9,1,883,1,0,2,0,0.1,76.9,1,1.5,6.66,2.4,1.3,0.7,0.3,7,0.6,1.1,0.0,0.3,0.4,0.1,0.3,0.4,0.3,22.1,76.9,0,1.9,Frosinone,SerieA
101437,al,Arlind Ajeti,22, D(C),185,81,15,1,1218,1,0,5,1,0.6,69.7,0,1.8,6.61,0.8,1.7,1.1,0.3,5.4,0.7,1.2,1,0.3,0.2,0,0.1,0.4,0.3,21.1,69.7,0,2.3,Frosinone,SerieA
26126,it,Massimo Zappino,35, Goalkeeper,190,88,3,1,331,0,0,0,0,0,51.5,0,0,6.60,0,0,0,0,1,0,0,0,0.5,0,0,0,0,0.5,25.3,51.5,0,11,Frosinone,SerieA
302316,de,Oliver Kragl,26, AM(L),179,75,12,3,930,1,0,4,0,2.1,64.3,0,0.3,6.55,1.6,1,1.5,0,0.9,1.3,0.3,0.0,0.7,1.4,0.1,1.1,1.1,0.7,16.1,64.3,0.5,0.6,Frosinone,SerieA
79412,it,Matteo Ciofani,28, D(R),183,76,14,4,1296,0,1,2,0,0.2,67.8,0,1,6.53,1.3,1.7,1.1,0.3,3.3,0.5,0.4,0.0,0.3,0.3,0.1,0.3,0.3,0.3,19.8,67.8,0.3,1.5,Frosinone,SerieA
68616,at,Robert Gucher,25, M(C),184,77,15,9,1370,0,0,3,0,0.9,74.6,0,0.4,6.50,1.8,1.5,0.7,0,1,0.9,0.3,0.0,0.8,0.8,0,0.5,0.4,0.8,23.6,74.6,0.5,2,Frosinone,SerieA
23120,it,Alessandro Frara,33, M(C),179,74,14,6,1162,2,0,3,0,0.6,69.9,0,1.4,6.47,0.9,0.7,0.6,0,1.6,0.7,0.4,0.0,0.3,0.7,0,0.6,0.9,0.3,21.1,69.9,0.2,1,Frosinone,SerieA
86402,it,Davide Bertoncini,25, Defender,185,69,4,1,365,0,0,1,0,0,72.2,0,2.6,6.47,1,2.2,0.8,0.2,4,0.8,2.4,0.0,0.4,1.2,0,0.2,0.2,0.4,21.6,72.2,0,2.4,Frosinone,SerieA
122540,it,Roberto Crivello,24, D(L),180,76,16,1,1439,0,1,5,0,0.1,73,0,0.6,6.46,1.8,1.4,1.2,0.3,2.5,1.3,0.6,0.0,0.8,0.8,0,0.4,0.6,0.8,26.8,73,0.4,1.6,Frosinone,SerieA
121023,gh,Raman Chibsah,23, M(C),178,78,14,8,1163,0,2,1,1,0.5,78.1,0,0.5,6.43,1.2,1.1,0.8,0,0.4,0.9,0.1,0.0,0.7,1,0,1.1,1,0.7,20,78.1,0,0.7,Frosinone,SerieA
298860,ua,Vasiliy Pryima,25, Defender,185,74,3,2,294,0,0,1,0,0.2,70.8,0,2,6.40,0.4,1.4,1,0.2,4.4,0,0.4,0,0,1.4,0,0.2,0.4,0,19.2,70.8,0,1.8,Frosinone,SerieA
68842,bg,Aleksandar Tonev,26, AM(R),176,70,11,11,1083,0,1,2,0,1.4,68.8,0,0.1,6.31,0.9,0.5,0.6,0,0.2,0.6,0,0.0,0.5,0.3,0.3,0.7,1.1,0.5,10.6,68.8,0.5,0.3,Frosinone,SerieA
244301,it,Daniele Verde,20, Forward,168,65,1,5,125,0,0,0,0,1.7,73.5,0,0,6.18,0.2,0,0.2,0,0,0.5,0,0,0.2,0.2,0.2,0.2,0.8,0.2,5.7,73.5,0,0.2,Frosinone,SerieA
26924,it,Massimiliano Carlini,29, Midfielder,175,67,2,12,375,0,0,0,0,0.3,73.1,0,0.3,6.16,0.4,0.3,0.9,0,0.1,0.2,0,0,0.8,0.6,0.2,0.6,0.7,0.8,8.5,73.1,0.1,0,Frosinone,SerieA
83755,it,Samuele Longo,24, FW,185,75,3,15,323,0,1,2,0,0.6,61.4,0,0.2,5.99,0.2,0.1,0.7,0,0,0.3,0,0,0.2,0.3,0.2,0.4,0.7,0.2,3.2,61.4,0,0.1,Frosinone,SerieA
248018,cl,Nicolás Castillo,23, FW,177,76,3,3,306,0,0,1,0,1.7,80.6,0,0.5,5.95,0.7,0,2,0,0,1.7,0,0,0.2,2.3,0,1.2,2.5,0.2,10.3,80.6,0,0.7,Frosinone,SerieA
