player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
23001,ar,Cristian Ansaldi,29," D(CL),M(R)",181,76,23,1,2013,0.0,4,4,0.0,0.5,73.2,1,0.8,7.33,3,2.6,1.5,0.5,2.3,0.8,0.4,0.0,1,1.8,0,0.6,1.3,1,35.9,73.2,1,2.4,Genoa,SerieA
31991,ve,Tomás Rincón,28, M(CR),175,75,33,0,2931,3,6,9,0.0,0.8,85.3,1,1.2,7.27,2.2,1.5,2.2,0.1,1.3,1.6,0.2,0.0,1.1,1.5,0,1.4,1,1.1,48.5,85.3,0.4,2.5,Genoa,SerieA
31388,ar,Diego Perotti,27," M(CLR),FW",179,70,14,2,1087,1,2,1,2,0.9,82.1,0,0.4,7.23,1.6,0.6,0.7,0,0.3,0.9,0.1,0,2.2,2,0.1,1.2,1.1,2.2,35.3,82.1,1.3,0.7,Genoa,SerieA
141307,it,Armando Izzo,24, D(C),185,77,30,3,2659,0,1,6,2,0.5,81.6,2,1.8,7.18,2.4,3.6,1.4,0.3,4.4,0.8,0.5,0.0,0.3,1.4,0.1,0.5,0.4,0.3,39.4,81.6,0.1,3,Genoa,SerieA
95822,it,Leonardo Pavoletti,27, FW,188,85,22,3,1917,14,3,3,1,2.7,69.6,3,4.6,7.17,0.6,0.2,3,0,0.6,0.2,0.2,0,0.9,1.4,1,1.2,2,0.9,19.1,69.6,0,0.6,Genoa,SerieA
70733,ar,Ezequiel Muñoz,25, D(C),185,82,17,1,1407,0,0,7,0,0.4,82.8,2,2,7.11,1.9,3.3,1.7,0.7,5.2,0.7,0.9,0.0,0.1,0.7,0.1,0.3,0.2,0.1,29.7,82.8,0,1.3,Genoa,SerieA
105591,es,Suso,22," AM(CLR),FW",176,70,15,4,1179,6,1,4,0,1.9,79.4,2,0.1,7.03,0.4,0.3,0.5,0,0.1,0.6,0,0,1.7,1.6,0.2,1.5,0.9,1.7,28.8,79.4,1.4,0.9,Genoa,SerieA
10333,ar,Nicolas Burdisso,35, D(C),183,81,28,0,2447,0,0,7,0,0.4,81.9,0,1.9,7.00,1.1,3.3,1.3,0.9,6.6,0.4,0.8,0,0.1,0.6,0,0.1,0.1,0.1,37.2,81.9,0,5.8,Genoa,SerieA
86684,br,Gabriel Silva,25," D(L),M(L)",179,69,8,3,767,0,0,0,0,0.3,68.6,1,1,6.95,1.9,2.4,1.2,0.4,2.4,0.3,0.1,0.0,0.3,1.5,0.1,0.8,1,0.3,25.2,68.6,0.5,0.8,Genoa,SerieA
135584,uy,Diego Laxalt,23, M(CL),176,67,35,0,3074,3,4,3,0,0.9,75.1,3,1.1,6.93,2.2,1.5,1.2,0.2,1.2,1.3,0.1,0.0,0.9,1.3,0,1.1,1.7,0.9,34.5,75.1,0.5,1,Genoa,SerieA
