player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
125793,br,Alex Telles,23," D(L),M(L)",181,71,18,3,1578,0.0,1,5,1,0.6,80.5,1,1,7.08,1.8,2.2,1.3,0.2,2.3,1.2,0.2,0,1.2,0.6,0,0.5,0.5,1.2,41.7,80.5,1.4,2.3,Inter,SerieA
87449,hr,Marcelo Brozovic,23, M(CR),180,65,25,7,2388,4,5,7,0,1.8,82.5,2,0.5,7.06,1.8,1.3,1.3,0,0.4,1.6,0.1,0,1.6,0.9,0.1,1.2,1.4,1.6,52.1,82.5,1.3,3.4,Inter,SerieA
91978,fr,Geoffrey Kondogbia,23, DMC,188,80,23,3,1995,1,0,6,1,1.5,87.1,0,0.9,7.02,2.7,1.3,1.7,0.0,0.9,1.3,0.1,0.0,0.6,1.5,0,1.3,1.1,0.6,50.2,87.1,0.1,2.1,Inter,SerieA
109565,co,Jeison Murillo,24, D(C),182,75,32,2,2843,2,1,4,3,0.6,86.9,2,1.9,7.01,1.9,2.2,0.9,1,4.1,0.9,0.6,1,0.2,1.2,0.1,0.2,0.4,0.2,45.4,86.9,0,2.6,Inter,SerieA
9972,si,Samir Handanovic,31, GK,193,88,36,0,3240,0,0,5,0,0,69.3,3,0.1,6.99,0,0,0,0,0.6,0,0,0,0,0.2,0,0,0,0,21.1,69.3,0,5.3,Inter,SerieA
106964,ar,Mauro Icardi,23, FW,181,75,32,1,2600,16,4,1,0,1.7,73,3,1.4,6.97,0.1,0.2,0.6,0,1,0.3,0.1,0,1,1.2,0.5,0.5,1.5,1,15.9,73,0.2,0.4,Inter,SerieA
22504,br,Miranda,31, D(C),186,76,31,1,2743,1,3,6,2,0.3,82.4,3,2,6.96,1.8,2.1,1.4,0.9,4.8,0.5,0.6,0,0.2,1.1,0,0.3,0.2,0.2,47.5,82.4,0,4.2,Inter,SerieA
91387,es,Martín Montoya,25, D(LR),174,74,3,0,256,0,0,0,0,0,84.2,0,0.7,6.93,1.7,1.3,1,0,1,1.3,0.3,0,1,2,0,0,1.7,1,55,84.2,1,2,Inter,SerieA
29072,me,Stevan Jovetic,26," AM(C),FW",183,79,18,8,1532,6,2,4,0,2.7,74.6,2,1,6.89,0.7,0.2,1.1,0,0.2,0.7,0,0,1.2,2,0.4,1.7,1.8,1.2,32.9,74.6,0.2,0.8,Inter,SerieA
70524,hr,Ivan Perisic,27, AM(CLR),187,81,26,8,2409,7,6,5,0,2,77,1,2,6.89,0.7,0.8,0.6,0,0.7,0.6,0.2,0,0.9,0.4,0.3,0.7,1.3,0.9,32.9,77,0.4,1.2,Inter,SerieA
41237,fr,Jonathan Biabiany,28," M(LR),FW",175,70,7,13,861,1,2,3,0,1,86,2,0.6,6.87,1.5,0.4,0.4,0,0.3,0.4,0.1,0,1,0.7,0.1,0.9,1.3,1,15,86,0.6,0.7,Inter,SerieA
13551,br,Felipe Melo,32, M(C),183,80,21,5,1775,1,1,6,2,0.9,86.3,2,1.8,6.85,2,1.8,1.4,0,1.9,1.2,0.5,0.0,0.4,1,0.1,0.7,0.7,0.4,42.1,86.3,0,4.1,Inter,SerieA
29390,cl,Gary Medel,28," D(C),DMC",172,71,28,2,2416,1,1,10,0,0.4,89,0,1,6.83,1.7,1.8,0.7,0.2,2.4,1.3,0.1,0,0.4,0.8,0,0.3,0.3,0.4,59.2,89,0,4.8,Inter,SerieA
68034,rs,Adem Ljajic,24," AM(CLR),FW",182,74,16,9,1445,3,3,2,0,1.5,87.5,1,0.1,6.82,0.4,0.4,0.3,0,0.3,0.4,0,0,2.2,0.8,0.3,1,1,2.2,33.2,87.5,0.7,1,Inter,SerieA
64271,it,Danilo D'Ambrosio,27," D(LR),M(LR)",185,75,18,2,1616,2,0,3,1,0.4,74.8,1,1,6.79,2.4,1.4,1.6,0.2,2.1,0.7,0.5,0.0,0.5,0.9,0.2,0.5,1,0.5,35.5,74.8,0.5,1.6,Inter,SerieA
17108,br,Hernanes,31, M(C),180,77,0,2,50,0,0,0,0,1,77.8,0,0.5,6.79,2,1,0,0,0,0.5,0,0.0,1,0.5,0,0.5,0,1,13.5,77.8,0,0,Inter,SerieA
84603,br,Juan Jesus,25, D(CL),185,76,16,3,1414,0,0,3,0,0.2,83.1,0,1.2,6.79,1.9,1.4,1.5,0.6,2.1,1,0.6,0,0.5,0.5,0.1,0.4,0.2,0.5,44.1,83.1,0.3,1.9,Inter,SerieA
