player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
97752,fr,Paul Pogba,23, DMC,191,84,33,2,3019,8,12,10,0.0,3.5,83.4,8,1.8,7.81,2.2,1.3,2.5,0.0,0.6,0.7,0.2,0.0,1.5,1.6,0.4,2.4,2.7,1.5,48.5,83.4,0.3,3.3,Juventus,SerieA
114863,ar,Paulo Dybala,22, FW,176,73,29,5,2465,19,9,1,0.0,3.1,84.9,7,0.1,7.71,0.4,0.4,0.6,0,0,1,0.1,0,2.1,2.1,0.5,2.3,1.9,2.1,30.1,84.9,1.5,1.7,Juventus,SerieA
100995,br,Alex Sandro,25," D(L),M(L)",180,78,15,7,1490,2,3,5,1,0.8,84,3,1.5,7.45,1.8,2,1.5,0.0,1.6,0.4,0.1,0.0,1.9,1.6,0,0.9,1.1,1.9,36.2,84,1.2,2,Juventus,SerieA
123481,fr,Mario Lemina,22, DMC,183,83,7,3,727,2,0,4,0,0.5,89.8,0,0.7,7.32,2.3,1.6,1.8,0.0,1.1,1.4,0.2,0.0,0.5,0.9,0,0.6,0.1,0.5,46.3,89.8,0,3.9,Juventus,SerieA
20211,it,Claudio Marchisio,30, M(C),180,71,23,0,1931,0,2,8,0,1.1,88.5,2,0.4,7.30,2.1,2.8,1.4,0.0,1,1.3,0.1,0.0,1,0.8,0,0.7,0.7,1,63.5,88.5,0.6,7.8,Juventus,SerieA
44868,co,Juan Cuadrado,28," M(CLR),FW",178,71,16,12,1710,4,5,2,0,1.3,86.4,4,0.4,7.29,1.3,0.8,1.2,0,0.3,0.8,0,0.0,1.6,3.1,0.1,1.2,1,1.6,32.3,86.4,1.1,1.3,Juventus,SerieA
24088,hr,Mario Mandzukic,30, FW,190,85,24,3,2050,10,4,5,0,1.4,70.6,4,2.4,7.20,1.3,0.4,1.9,0,0.7,0.7,0.2,0.0,1,1.1,0.4,1,1.1,1,20.2,70.6,0.1,0.4,Juventus,SerieA
20664,it,Leonardo Bonucci,29, D(C),190,86,35,1,3157,3,1,6,0,0.8,87,0,1.3,7.12,1.1,2.3,1,0.4,4.1,0.5,0.4,1,0.4,0.6,0.1,0.1,0.1,0.4,63.6,87,0,5.6,Juventus,SerieA
9991,it,Giorgio Chiellini,31, D(C),187,86,21,3,1789,1,0,4,1,0.6,86.6,0,1.5,7.08,1.5,2.3,1.1,0.1,3.4,0.3,0.5,0.0,0.5,1,0.1,0.2,0.5,0.5,57.6,86.6,0.1,3.8,Juventus,SerieA
6410,fr,Patrice Evra,35," D(L),M(L)",174,74,24,2,2051,2,3,5,1,0.6,85.7,0,1.3,7.07,2.1,1.3,0.9,0.0,2.1,0.5,0.1,0.0,1,0.5,0.4,0.7,0.4,1,40.7,85.7,0.4,1.2,Juventus,SerieA
6075,it,Andrea Barzagli,35, D(C),187,87,31,0,2739,1,0,2,0,0.1,88.6,0,1.1,7.05,0.9,2.2,0.2,0.3,3.1,0.4,0.3,0,0.3,0.8,0,0.4,0.3,0.3,60.5,88.6,0.2,4.5,Juventus,SerieA
17108,br,Hernanes,31, M(C),180,77,10,4,863,1,1,6,0,2.1,91.1,1,0.6,7.03,0.8,1.6,1.6,0,1.1,0.4,0.4,0,0.9,0.8,0,1.5,0.6,0.9,44.7,91.1,0.4,3.3,Juventus,SerieA
13764,de,Sami Khedira,29, M(C),189,90,20,0,1542,5,4,3,1,1.1,85.2,0,0.7,7.01,0.8,1,0.7,0,0.8,0.3,0.3,0,0.7,0.8,0.4,0.9,0.5,0.7,39.3,85.2,0.2,1.1,Juventus,SerieA
125883,fr,Kingsley Coman,20," AM(LR),FW",178,71,1,0,65,0,0,0,0,3,90.9,0,2,6.92,0,2,0,0,0,0,0,0,3,3,0,1,4,3,22,90.9,2,0,Juventus,SerieA
116207,it,Daniele Rugani,21, D(C),190,82,11,6,1161,0,0,2,0,0.2,88.9,0,1.3,6.87,1.7,1.4,0.9,0.3,2.8,0.5,0.2,0.0,0.1,0.8,0.1,0.2,0.4,0.1,46.2,88.9,0,2.2,Juventus,SerieA
90000,ar,Roberto Pereyra,25, M(CR),182,77,9,4,798,0,1,0,0,0.8,90.5,1,0,6.84,0.8,0.5,0.8,0,0,0.3,0,0,1.9,1.2,0,1.2,1,1.9,32.2,90.5,0.5,1.2,Juventus,SerieA
3328,it,Gianluigi Buffon,38, GK,192,91,35,0,3150,0,0,1,0,0,78.1,1,0.1,6.77,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,21.6,78.1,0,4.6,Juventus,SerieA
91213,es,Álvaro Morata,23," AM(L),FW",189,85,16,18,1456,7,7,6,0,1.4,79.1,1,0.6,6.76,0.5,0.3,1.2,0,0.3,0.5,0.1,0,0.8,1.6,0.5,1.8,1.5,0.8,14.8,79.1,0.1,0.5,Juventus,SerieA
30635,uy,Martín Cáceres,29, D(CLR),180,78,5,1,449,0,0,0,0,0.2,94.2,0,1.5,6.76,0.8,1.2,0.8,0.3,2.3,0.3,0,0,0.3,0.3,0,0,0.3,0.3,46.2,94.2,0.5,1.5,Juventus,SerieA
35549,gh,Kwadwo Asamoah,27," D(L),M(CL)",173,76,6,5,567,0,1,1,0,0.8,90.9,0,0.4,6.73,1.1,0.5,0.7,0,0.3,0.4,0.2,0.0,0.9,1.4,0.1,0.7,1,0.9,31.1,90.9,0.1,1.7,Juventus,SerieA
15302,ch,Stephan Lichtsteiner,32," D(R),M(R)",182,75,22,4,1832,0,1,5,0,0.6,76.2,0,0.6,6.72,1,0.5,0.8,0,1.1,0.5,0.2,0,0.7,0.8,0.4,0.4,0.7,0.7,30.3,76.2,0.6,1.2,Juventus,SerieA
97265,it,Stefano Sturaro,23, M(C),181,79,11,8,1023,1,0,6,0,0.5,77.8,1,1.2,6.62,1.6,0.8,1.6,0,0.4,1.5,0.1,0.0,0.6,1.1,0,0.8,0.7,0.6,23.9,77.8,0.3,0.7,Juventus,SerieA
23043,it,Simone Padoin,32," D(LR),M(CR)",177,78,6,6,579,1,0,2,0,0.3,90.3,0,0.3,6.54,0.9,1.3,0.7,0,0.7,0.7,0.2,0,0.4,0.8,0,0,0.3,0.4,21.5,90.3,0.3,1.2,Juventus,SerieA
71647,it,Simone Zaza,24, FW,186,83,5,14,663,5,0,6,1,1.6,75.9,0,0.9,6.48,0.3,0.3,1.4,0.1,0.2,0.3,0.1,0,0.3,0.6,0.7,0.7,1.3,0.3,8.7,75.9,0.1,0.2,Juventus,SerieA
76202,br,Neto,26, GK,192,84,3,0,270,0,0,0,0,0,94.3,0,0,6.42,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,11.7,94.3,0,2.7,Juventus,SerieA
33878,cl,Mauricio Isla,28," D(R),M(CR)",176,75,0,1,9,0,0,0,0,0,60,0,0,6.18,1,1,0,0,0,0,0,0,1,0,0,1,0,1,10,60,0,0,Juventus,SerieA
13361,es,Fernando Llorente,31, FW,195,90,0,1,11,0,0,0,0,0,50,0,2,6.09,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,50,0,0,Juventus,SerieA
297001,it,Andrea Favilli,19, Forward,185,78,0,1,1,0,0,0,0,0,0,0,0,6.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Juventus,SerieA
30580,br,Rubinho,32, GK,184,90,1,0,1,0,0,0,1,0,0,0,0,6.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Juventus,SerieA
