player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
22205,ar,Lucas Biglia,30, DMC,178,63,26,1,2299,4,3,9,1,0.7,88.2,3,0.8,7.43,3,2.5,1.8,0,1.2,1.6,0.3,0.0,2,2.1,0,1.3,0.7,2,69.1,88.2,1.3,5.3,Lazio,SerieA
82399,nl,Stefan de Vrij,24, D(C),189,78,2,0,180,0,0,0,0,0,90.4,0,3,7.30,4,3,1.5,1,6.5,0.5,0.0,0.0,0,0.5,0,0,0,0,52,90.4,0,8,Lazio,SerieA
11118,fr,Abdoulay Konko,32," D(LR),M(R)",182,77,17,1,1530,0,0,3,0,0.7,77.2,0,1.3,7.04,2.5,3.3,2.1,0.7,2.4,0.8,0.4,0.0,0.5,0.3,0.1,0.9,1.2,0.5,45,77.2,0.4,1.4,Lazio,SerieA
14488,rs,Milan Bisevac,32, D(C),185,85,11,0,908,1,0,0,0,0.2,86.4,0,1.3,7.00,1,3.2,1,0.6,5,0.4,0.8,0,0.2,0.6,0,0.2,0,0.2,40,86.4,0,4,Lazio,SerieA
26168,ba,Senad Lulic,30," D(L),M(CL)",183,78,28,2,2356,3,3,9,1,0.6,78,1,1.2,7.00,2.4,2.3,1.6,0,0.9,1,0.1,0,1.2,0.6,0.2,1.8,1.8,1.2,42.5,78,0.5,3.1,Lazio,SerieA
135276,,Mauricio,27, D(C),185,77,19,5,1917,0,0,13,1,0.4,82.5,1,3,6.96,1.8,3.5,2,0.5,4.4,0.9,0.5,0,0,0.8,0,0,0.2,0,40.8,82.5,0,3,Lazio,SerieA
26587,it,Marco Parolo,31, M(C),184,75,30,1,2564,3,0,9,0,1.8,78.6,0,2,6.95,2.3,2.2,1.7,0,1.6,1.3,0.1,0,1.2,0.7,0.1,0.6,0.9,1.2,37.1,78.6,0.3,2.8,Lazio,SerieA
93026,br,Felipe Anderson,23, AM(CLR),175,70,21,14,2072,7,4,2,0,1.4,71.6,3,0.2,6.93,1.7,1,0.9,0,0.3,0.9,0.1,0,0.8,1.5,0.1,1.7,1.9,0.8,26.1,71.6,0.6,1.3,Lazio,SerieA
136294,sn,Keita,21, AM(L),184,80,15,16,1767,4,2,5,0,2,85.4,0,0.3,6.92,0.3,0.3,0.9,0,0,0.3,0,0,1.3,1.5,0.3,1.2,1.1,1.3,17.5,85.4,0.8,0.3,Lazio,SerieA
15121,ar,Santiago Gentiletti,31, D(C),184,79,19,0,1710,0,0,10,0,0.5,85.4,0,1.4,6.91,2.4,4,1.9,0.6,2.5,0.7,0.7,1,0.2,0.5,0.1,0.2,0.4,0.2,57.8,85.4,0,5.1,Lazio,SerieA
113905,ng,Ogenyi Onazi,23, DMC,170,65,14,1,1186,1,1,2,0,0.8,80.8,0,0.7,6.89,2.5,2.2,0.9,0.1,0.9,1.4,0.1,0.0,0.7,1.1,0,1.1,0.7,0.7,44.7,80.8,0.1,3,Lazio,SerieA
374,de,Miroslav Klose,38, FW,184,84,14,10,1360,7,7,3,0,1.3,66.4,3,1.6,6.86,0.4,0.5,1,0,0.6,0.1,0,0,0.8,0.8,0.3,0.6,1,0.8,14.1,66.4,0.1,0.3,Lazio,SerieA
