player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
19729,ar,Gonzalo Higuaín,28, FW,184,79,35,0.0,2978,36,2,1,1,5.2,78.1,9,0.3,7.74,0.5,0.3,0.9,0,0.4,0.5,0.1,0.0,1.5,1,0.9,1.9,1.7,1.5,25.9,78.1,0.1,1.3,Napoli,SerieA
13475,sk,Marek Hamsik,28, AM(C),183,79,38,0.0,3245,6,11,0,0,2.2,86.6,2,0.7,7.31,1.5,0.6,0.4,0,0.5,1,0.1,0.0,2.5,0.7,0.1,1.5,1,2.5,79.3,86.6,0.2,4.4,Napoli,SerieA
83390,it,Lorenzo Insigne,25," AM(CL),FW",163,59,34,3,2626,12,10,2,0,3.6,80.5,5,0.1,7.25,0.6,0.5,0.4,0,0,0.5,0,0.0,1.8,0.6,0.9,0.9,1.1,1.8,43.9,80.5,0.3,1.2,Napoli,SerieA
106968,br,Jorginho,24, DMC,180,65,32,3,2913,0,4,10,1,0.2,90.9,1,0.6,7.22,2,2.2,1.5,0,0.3,2.1,0.2,0.0,1.9,1.7,0,0.5,0.7,1.9,102.6,90.9,1,2.7,Napoli,SerieA
82438,br,Allan,25, DMC,173,73,32,3,2824,3,5,5,0,0.8,86.3,0,0.5,7.21,3.1,1.1,1.6,0.0,0.4,2.1,0.3,0.0,1.1,1.8,0,1.9,1.3,1.1,51.9,86.3,0.1,1.3,Napoli,SerieA
90880,fr,Kalidou Koulibaly,25, D(C),195,89,32,1,2888,0,0,11,0,0.2,85.9,3,2.5,7.19,2.5,2.5,1.8,1.2,3.6,0.6,0.6,0.0,0.3,0.5,0,0.3,0.2,0.3,71.4,85.9,0,3.4,Napoli,SerieA
76921,ro,Vlad Chiriches,26, D(CR),184,75,8,0,698,1,0,2,0,0.5,90.2,0,2.9,7.09,1.3,2.1,1.4,1,2.8,0.5,0.6,0.0,0,0.3,0,0.5,0.1,0,62.8,90.2,0,3.8,Napoli,SerieA
82062,dz,Faouzi Ghoulam,25, D(L),186,80,32,2,2917,0,3,3,0,0.6,86.7,2,2.3,7.08,1.3,1.4,0.5,0.2,1.6,0.4,0.2,0.0,0.9,1.3,0.2,0.5,0.8,0.9,58.6,86.7,0.5,1.6,Napoli,SerieA
12575,es,Raúl Albiol,30, D(C),190,80,36,0,3240,1,1,10,0,0.3,87.8,2,3.1,7.03,1.5,1.3,0.9,0.8,4.4,0.6,0.5,0.0,0.1,0.6,0,0.1,0.1,0.1,71.5,87.8,0,5.8,Napoli,SerieA
67206,es,José Callejón,29, M(LR),178,73,35,3,2832,7,7,4,0,1.6,82.9,4,0.7,6.95,1.1,0.6,0.6,0,0.5,0.8,0,0.0,1.2,1.6,0.5,0.8,0.8,1.2,35.4,82.9,0.1,0.5,Napoli,SerieA
