player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
303856,hr,Josip Posavec,20, Goalkeeper,190,80,1,0.0,90,0.0,0.0,0.0,0.0,0.0,47.1,0.0,0.0,7.86,0,0,0,0,1,0,0,0,0,0,0,0,0,0,34,47.1,0,12,Palermo,SerieA
102439,it,Franco Vázquez,27," AM(CR),FW",187,87,36,0.0,3186,8,7,11,0.0,2.9,77.2,5,1.7,7.51,2.3,0.7,3.4,0,0.4,1.4,0.2,0.0,1.5,5.5,0.3,4.4,2.8,1.5,39.4,77.2,1,2.3,Palermo,SerieA
44473,pl,Thiago Cionek,30, D(C),184,81,5,0.0,450,0,1,2,0.0,0.2,83.6,1,1.8,7.33,1.2,3.8,1.8,0.8,4.6,0.8,0.8,0,0.2,1.4,0,0.4,0.2,0.2,25.6,83.6,0,3,Palermo,SerieA
40842,ma,Abdelhamid El Kaoutari,26, D(CL),180,81,7,0.0,630,1,0,2,0.0,0.1,82.7,0,0.9,7.06,3.1,2.6,0.4,0.9,2.9,0.9,0.7,0.0,0.3,0.7,0,0.4,0.3,0.3,36.4,82.7,0,2,Palermo,SerieA
1027,it,Enzo Maresca,36, M(C),180,77,10,5,982,1,0,3,0.0,0.7,84.3,1,0.7,6.86,1.7,1.5,0.8,0,1.1,0.7,0.2,0.0,0.5,1.6,0,0.5,0.3,0.5,43.9,84.3,0.1,3.5,Palermo,SerieA
12052,it,Stefano Sorrentino,37, GK,185,82,35,0,3098,0,0,1,0.0,0,50.4,3,0.1,6.81,0,0.1,0,0,1.2,0.1,0,0,0,0.1,0,0,0,0,26.5,50.4,0,9.4,Palermo,SerieA
42124,si,Sinisa Andjelkovic,30, D(C),186,82,21,2,1907,0,1,3,1,0.1,79,1,1.8,6.79,1.5,2.3,0.8,0.4,5,0.1,0.7,0,0.1,0.9,0.1,0,0.2,0.1,22.8,79,0,1.5,Palermo,SerieA
108374,ma,Achraf Lazaar,24," D(L),M(L)",184,80,26,4,2297,1,2,2,1,0.9,72.6,0,0.7,6.76,2.3,1.6,1.2,0.2,1.6,1.1,0.2,0.0,0.7,1.2,0.1,1.4,1.7,0.7,32.6,72.6,0.8,2,Palermo,SerieA
62575,cr,Giancarlo Gonzalez,28, D(C),191,84,35,0,3138,2,0,11,0,0.1,77.4,0,1.7,6.72,0.9,2.1,0.7,1,6.6,0.6,0.9,2,0.1,0.3,0,0.1,0.2,0.1,27.9,77.4,0,4.1,Palermo,SerieA
41367,it,Andrea Rispoli,27, M(R),180,78,16,6,1421,0,4,3,0,0.5,74,0,0.5,6.67,1.1,1.7,0.9,0.2,1.7,0.5,0.1,0,0.9,0.5,0,1,0.8,0.9,24.6,74,0.9,1,Palermo,SerieA
118148,it,Edoardo Goldaniga,22, D(C),193,78,14,3,1213,2,0,5,0,0.4,68.2,1,1.6,6.66,1.1,3,1.2,0.5,3.8,0.3,0.6,0,0.2,1.2,0.1,0.1,0.4,0.2,20.2,68.2,0,2.2,Palermo,SerieA
127870,bg,Ivaylo Chochev,23, M(C),188,78,21,6,1742,0,2,6,0,1,78.3,0,1.6,6.66,1.8,2.1,0.9,0,1,0.7,0.2,0.0,0.4,0.7,0,0.4,0.4,0.4,28.7,78.3,0.2,0.8,Palermo,SerieA
29244,hr,Mato Jajalo,28, M(C),182,77,24,4,2036,0,1,8,0,0.7,80.5,1,1.2,6.60,2.2,2,1.6,0.1,1.2,0.8,0.4,0.0,0.7,0.9,0,0.9,1.1,0.7,37.3,80.5,0,2.4,Palermo,SerieA
298515,it,Giuseppe Pezzella,18, Defender,185,81,7,2,595,0,0,0,0,0.2,71.6,0,0.1,6.57,1.7,1.4,0.4,0.2,2.2,0.9,0.2,0,0.4,1.1,0,1,1,0.4,21.1,71.6,0.7,0.9,Palermo,SerieA
101938,uy,Gastón Brugman,23, AM(C),172,67,10,4,968,0,1,2,0,1.1,83.5,0,0.1,6.57,2.3,1.7,1.5,0,0.5,1.4,0.2,0.0,1.3,0.7,0,0.4,1,1.3,43.2,83.5,0.1,3.1,Palermo,SerieA
