player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
31388,ar,Diego Perotti,27," M(CLR),FW",179,70,14,1,1205,3,7,2,0.0,1.7,84.8,3,0.5,7.80,1.4,0.5,0.9,0,0.5,1.1,0.1,0,2.1,1.9,0,1.7,1.9,2.1,47.9,84.8,1.5,1.3,Roma,SerieA
30226,ba,Miralem Pjanic,26, M(C),180,74,30,3,2654,10,12,10,1,2.1,84.9,3,0.7,7.46,1.4,1.5,1.7,0,0.8,1.4,0.1,1,2.4,1.2,0.1,1.1,1.1,2.4,65.5,84.9,1.3,4.1,Roma,SerieA
70087,it,Stephan El Shaarawy,23," AM(L),FW",178,72,15,1,1202,8,2,0,0,2.9,80.8,2,0.6,7.32,1.2,0.8,0.7,0,1,0.1,0,0,0.8,0.6,0.3,1.4,1.9,0.8,31.5,80.8,0.1,0.6,Roma,SerieA
17740,ci,Gervinho,29," M(LR),FW",179,66,13,1,1089,6,1,0,0,1.9,85.9,3,0,7.28,0.5,0.7,0.2,0,0.1,0.1,0.1,0,1.1,0.4,0.9,0.9,1.6,1.1,22.9,85.9,0,0.1,Roma,SerieA
108226,eg,Mohamed Salah,24," AM(CLR),FW",175,72,32,2,2739,14,6,1,1,2.1,82.9,4,0.2,7.20,0.6,0.4,0.6,0,0.1,0.7,0,0,1.9,1.3,0.4,2.2,2,1.9,33.1,82.9,0.1,0.5,Roma,SerieA
101596,it,Alessandro Florenzi,25," D(R),M(CLR)",173,67,31,2,2728,7,3,4,0,1.4,78.9,3,0.7,7.16,1.5,2,0.7,0.2,2,0.8,0.2,0,1.2,0.7,0.2,0.5,1.1,1.2,46.4,78.9,1.2,3.9,Roma,SerieA
89925,fr,Lucas Digne,22, D(L),178,74,32,1,2859,3,3,4,0,0.5,81.3,1,2.3,7.13,1.7,2,1.5,0.3,3.1,0.4,0.2,0.0,0.8,0.8,0.1,1.3,0.6,0.8,45.7,81.3,0.7,0.9,Roma,SerieA
70149,gr,Kostas Manolas,25, D(C),189,83,36,1,3124,2,2,7,0,0.4,86.5,1,3.4,7.05,1.7,1.9,1.4,1,4.1,0.3,0.8,1,0.2,1,0,0.1,0.4,0.2,47.7,86.5,0,2.2,Roma,SerieA
52380,be,Radja Nainggolan,28, M(C),176,65,33,2,2939,6,1,10,1,1.9,85.2,2,0.6,7.03,1.8,1.3,1.3,0.0,0.6,0.9,0.0,0.0,1.2,1.4,0,1.5,1.2,1.2,50.1,85.2,0.2,3.8,Roma,SerieA
5202,it,Daniele De Rossi,32," D(C),M(C)",184,83,23,1,1911,1,2,9,0,0.4,88.9,0,0.7,6.92,1,2.3,1,0.3,2.5,0.7,0.5,0,0.7,1,0.1,0.1,0.3,0.7,60.4,88.9,0,6.9,Roma,SerieA
73379,pl,Wojciech Szczesny,26, GK,196,84,34,0,3060,0,0,1,0,0,66.9,2,0.1,6.87,0,0.1,0,0,0.7,0,0,0,0,0.1,0,0,0,0,30,66.9,0,7.1,Roma,SerieA
24845,ba,Edin Dzeko,30, FW,193,84,21,10,1954,8,6,4,1,2.7,66.4,1,3.3,6.86,0.4,0.1,1.4,0,0.7,0.3,0.1,0,0.7,1.5,0.4,1.8,1.9,0.7,19.1,66.4,0,0.6,Roma,SerieA
8007,br,Maicon,34, D(R),184,77,12,3,1012,1,2,2,1,0.7,84.6,1,0.9,6.83,1.2,0.7,0.7,0.2,1.5,0.7,0.1,0,0.7,0.8,0.1,0.5,0.5,0.7,45.5,84.6,0.5,1.8,Roma,SerieA
2664,ml,Seydou Keita,36, M(C),183,75,16,4,1368,1,0,4,0,0.7,86.1,0,2,6.83,1.5,1.4,1.9,0.1,1.3,0.9,0.4,0,0.4,1.3,0.1,0.2,0.5,0.4,39.9,86.1,0,2.3,Roma,SerieA
104010,de,Antonio Rüdiger,23, D(CR),190,85,29,1,2634,2,0,4,0,0.6,86.8,0,1.5,6.82,1.5,1.5,1.2,0.8,3.2,0.3,0.3,0,0.2,0.5,0,0.3,0.4,0.2,51.3,86.8,0,3.5,Roma,SerieA
183,it,Francesco Totti,39," AM(CL),FW",180,82,2,11,387,5,3,3,0,1.7,76.7,0,0.2,6.81,0.2,0.2,0.5,0,0,0.2,0,0,1.1,0.7,0.2,0.8,0.5,1.1,22.2,76.7,0.4,1.8,Roma,SerieA
25565,fr,William Vainqueur,27, DMC,180,73,4,12,593,0,2,3,0,0.3,92.4,0,0.8,6.58,1.6,0.8,1.4,0,0.6,1.1,0.3,0,0.3,0.3,0,0.7,0.4,0.3,23.9,92.4,0.1,1.1,Roma,SerieA
61083,ba,Ervin Zukanovic,29, D(CL),190,85,6,3,524,0,1,2,0,0.1,83.6,0,1.6,6.57,0.1,1.9,0.9,0.7,3.3,0.3,0.2,1,0.3,0.6,0,0.1,0.2,0.3,31.2,83.6,0.2,1.3,Roma,SerieA
35954,nl,Kevin Strootman,26, DMC,186,78,2,3,190,0,1,1,0,0.4,92.9,0,0.2,6.56,0.8,1,1.2,0,0,0.6,0,0,0.6,0.2,0,0.8,0.2,0.6,34,92.9,0.2,0.6,Roma,SerieA
80734,es,Iago Falque,26, AM(CLR),174,69,13,9,1167,2,2,1,0,0.7,85.8,0,0.3,6.53,0.7,0.5,0.4,0,0.4,0.3,0,0,0.9,0.4,0.2,1.1,0.4,0.9,24.7,85.8,0.5,0.9,Roma,SerieA
297546,ng,Umar Sadiq,19, Forward,185,75,2,4,189,2,0,0,0,0.7,69.2,1,0.7,6.53,0.3,0.2,1.3,0,0.3,0.2,0,0,0.2,1.3,0.8,0.5,1.3,0.2,6.5,69.2,0,0,Roma,SerieA
4500,it,Morgan De Sanctis,39, GK,190,80,4,0,360,0,0,0,0,0,69.7,0,0,6.47,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,16.5,69.7,0,3.8,Roma,SerieA
97452,ar,Juan Iturbe,23, AM(LR),169,62,3,9,399,1,0,1,0,0.8,70.2,0,0.9,6.43,0.4,0.6,0.7,0,0.3,0.2,0,0,0.5,1.3,0.3,0.8,1.3,0.5,7.8,70.2,0,0.4,Roma,SerieA
23567,gr,Vasilis Torosidis,31, D(LR),185,80,6,5,574,0,0,2,0,0.2,82.5,0,0.9,6.40,0.7,1.1,1.4,0.2,1.6,0.4,0.2,0,0.4,1,0,0.2,0.4,0.4,28,82.5,0.2,1.5,Roma,SerieA
101955,br,Emerson,22, D(L),176,63,1,7,183,1,0,1,0,0.5,84.3,0,0.4,6.36,0.9,0.9,0.4,0.1,0.4,0.3,0.1,0,0.1,0.3,0,0.4,0.1,0.1,10.4,84.3,0.1,0.3,Roma,SerieA
93854,tr,Salih Ucan,22, Midfielder,182,65,0,3,41,0,1,0,0,0.3,90,0,0,6.31,0.7,0.7,0.3,0,0.3,0.3,0,0,0.3,0.3,0,0.3,0.7,0.3,6.7,90,0,0.7,Roma,SerieA
18139,br,Leandro Castán,29, D(C),184,80,4,1,381,0,0,1,0,0,85.1,0,1.4,6.24,0.4,2,2.2,1,1.8,0.2,0,0,0,1,0,0,0.2,0,33.6,85.1,0,0.6,Roma,SerieA
108117,sk,Norbert Gyömbér,23, D(C),189,74,0,6,93,0,0,1,0,0,78,0,0.7,6.15,0.5,0,0.8,0,1,0.3,0.3,0,0.3,0.2,0,0,0.5,0.3,6.8,78,0,0.5,Roma,SerieA
68034,rs,Adem Ljajic,24," AM(CLR),FW",182,74,0,1,1,0,0,0,0,0,0,0,0,6.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Roma,SerieA
300624,it,Marco Tumminello,17, Forward,180,0,0,1,1,0,0,0,0,0,0,0,0,6.00,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,Roma,SerieA
74805,co,Víctor Ibarbo,26," AM(LR),FW",186,69,0,2,8,0,0,0,0,0,33.3,0,0.5,5.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,33.3,0,0,Roma,SerieA
297195,it,Lorenzo Di Livio,19, Midfielder,175,0,0,1,21,0,0,1,0,0,100,0,0,5.96,0,1,2,0,0,0,0,0,0,0,0,1,0,0,7,100,0,0,Roma,SerieA
