player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
113031,br,Fernando,24, DMC,173,66,34,1,2986,4,2,14,0.0,1.4,85.6,3,0.5,7.22,2.5,2.7,1.9,0.0,0.8,1.6,0.3,0.0,1.7,1.9,0,0.9,1,1.7,59,85.6,1.3,6.3,Sampdoria,SerieA
22377,it,Éder,29," AM(CLR),FW",179,72,19,0,1646,12,2,2,0.0,2.8,80.8,1,0.1,7.13,1,0.6,1.3,0,0.1,0.4,0,0,0.8,1.6,0.9,1.1,2.2,0.8,24.9,80.8,0.5,0.8,Sampdoria,SerieA
42878,it,Emiliano Viviano,30, GK,195,88,37,0,3330,0,0,2,0.0,0,54.6,5,0.2,7.07,0.1,0,0,0,0.7,0.1,0,0,0,0.2,0,0,0,0,32,54.6,0,9.7,Sampdoria,SerieA
41489,ar,Ricardo Álvarez,28, AM(CR),188,73,9,4,808,1,1,2,0.0,1.1,86.4,0,0.4,6.94,1.2,0.9,2.2,0,0.5,0.8,0.1,0,1.2,1.5,0,1.7,2.1,1.2,28.2,86.4,1.2,1.4,Sampdoria,SerieA
76953,br,Dodô,24," D(L),M(L)",177,69,16,1,1424,0,1,4,0.0,0.6,76.2,1,0.8,6.91,1.4,2,0.9,0.1,2.1,0.6,0.2,0,0.9,1.6,0.2,1,0.8,0.9,27.2,76.2,0.9,0.6,Sampdoria,SerieA
83792,co,Carlos Carbonero,25, AM(CR),180,77,11,3,1032,0,3,3,0.0,0.4,85.6,0,0.9,6.89,2.4,1.1,2,0.0,0.9,1.4,0.1,0.0,1.1,1.6,0.4,1.4,1.8,1.1,35.2,85.6,0.2,1.9,Sampdoria,SerieA
78906,it,Roberto Soriano,25, AM(CL),181,76,33,4,2829,8,4,7,0.0,1.4,83.5,1,0.2,6.86,1.7,0.9,1.6,0,1.3,1.2,0.1,0,0.8,1.3,0.2,1.1,1.1,0.8,35.7,83.5,0.2,1,Sampdoria,SerieA
19580,it,Lorenzo De Silvestri,28," D(R),M(R)",185,78,17,0,1396,1,2,4,0.0,0.7,65.5,0,2.6,6.74,0.4,0.5,1.7,0.3,3.4,0.4,0.2,0,0.7,1,0.1,0.6,0.8,0.7,31.6,65.5,0.7,1.2,Sampdoria,SerieA
84190,co,Luis Muriel,25," AM(C),FW",178,79,19,13,1692,6,5,3,0.0,1.8,74.5,2,0.8,6.71,0.3,0.2,0.9,0,0.1,0.2,0,0,0.9,1.1,0.5,1.6,2.3,0.9,15,74.5,0.1,0.3,Sampdoria,SerieA
294164,pt,Pedro Pereira,18, D(R),174,70,7,2,643,0,1,0,0.0,0.3,80.1,0,1.1,6.70,2,1.3,0.9,0.1,2.2,0.9,0.3,0.0,0.2,0.7,0,0.9,0.7,0.2,25.1,80.1,0.4,1.7,Sampdoria,SerieA
9730,it,Fabio Quagliarella,33, FW,180,79,13,3,1223,3,0,1,0.0,3.1,69.6,0,0.7,6.67,0.6,0.3,1.1,0,1.3,0.7,0.1,0,0.7,1.2,1.6,1.3,2,0.7,16.4,69.6,0.4,1.1,Sampdoria,SerieA
27421,it,Andrea Ranocchia,28, D(C),196,81,13,1,1142,0,0,5,1,0.6,85,2,2.4,6.67,1.5,2.4,1.1,0.8,5.4,0.6,1,0,0.4,1.1,0,0.1,0.4,0.4,35.2,85,0,3.8,Sampdoria,SerieA
11402,it,Mattia Cassani,32," D(CR),M(R)",184,75,23,2,2030,0,1,6,1,0.1,80,0,0.8,6.66,1.3,2.1,1.4,0.3,3,0.6,0.2,0,0.3,0.8,0.1,0.1,0.3,0.3,38.5,80,0.3,2.5,Sampdoria,SerieA
61083,ba,Ervin Zukanovic,29, D(CL),190,85,14,2,1331,3,0,5,1,0.6,82.6,0,1.3,6.66,0.6,1.4,0.8,0.3,6.1,0.3,1.3,0,0.1,0.3,0.1,0.1,0.3,0.1,40.3,82.6,0.1,3.8,Sampdoria,SerieA
125378,ar,Joaquín Correa,21, AM(C),184,75,14,11,1308,3,1,5,1,1.4,83.8,1,0.2,6.65,0.7,0.5,0.6,0,0.3,0.8,0,0,0.8,1.7,0,1.4,1.4,0.8,23.9,83.8,0.1,1.4,Sampdoria,SerieA
70675,it,Vasco Regini,25, D(CL),183,75,14,0,1207,0,0,2,0,0.6,83.8,0,1.4,6.64,2.4,1,1.4,0.3,3.5,0.7,0.1,0.0,0.1,0.9,0.2,0.3,0.7,0.1,36.1,83.8,0,0.9,Sampdoria,SerieA
259189,sk,David Ivan,21, M(CR),171,53,12,9,1100,1,0,4,1,0.2,83.3,1,0.7,6.55,2.4,1.1,1,0.1,1.2,1.1,0.1,0.0,0.5,0.6,0,0.5,0.6,0.5,23.7,83.3,0,0.6,Sampdoria,SerieA
25041,fi,Niklas Moisander,30, D(C),182,75,19,3,1776,0,0,4,1,0.1,86.1,0,1,6.55,1.1,1.6,0.8,0.2,4.9,0.5,0.5,1,0.3,0.5,0,0.1,0.2,0.3,36.9,86.1,0,3.1,Sampdoria,SerieA
711,it,Antonio Cassano,33," AM(CL),FW",175,78,14,10,1219,2,5,1,0,0.8,70.4,0,0.1,6.54,0.3,0.1,0.4,0,0.1,0.3,0,0,1.6,2.2,0.5,1.2,1.1,1.6,30.9,70.4,0.4,1,Sampdoria,SerieA
24895,fr,Modibo Diakité,29, D(CR),192,84,7,1,651,0,0,4,0,0.1,77.1,0,2.1,6.54,1.1,2,0.8,0.4,3.6,0.5,0.8,0,0,0.4,0,0.1,0.4,0,27.9,77.1,0,1.1,Sampdoria,SerieA
19679,ar,Matías Silvestre,31, D(C),184,83,21,4,1973,0,0,7,0,0.2,85.1,0,1,6.52,1.1,1.2,1.1,0.6,4.8,0.4,0.9,0,0,0.6,0,0,0,0,39.2,85.1,0,3,Sampdoria,SerieA
10705,py,Edgar Barreto,31, M(C),178,78,26,4,2168,0,1,3,0,0.6,81.5,0,0.5,6.52,2.5,1.3,1,0.0,0.7,1.9,0.2,0.0,0.4,0.8,0,0.3,0.6,0.4,33.4,81.5,0.1,1.9,Sampdoria,SerieA
