player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
54968,it,Francesco Acerbi,28, D(C),192,88,36,0.0,3240,4,0.0,3,0.0,0.4,87.1,3,1.7,7.32,1.4,3.9,0.6,1.2,5.2,0.3,0.6,0.0,0.2,0.8,0.1,0.1,0.2,0.2,50.1,87.1,0,4.3,Sassuolo,SerieA
27227,it,Francesco Magnanelli,31, M(C),181,79,34,0.0,3060,1,1,8,0.0,0.5,82.5,1,1.5,7.18,2.8,2.6,2.1,0.2,2.2,2,0.6,0.0,0.9,2.6,0,1,0.8,0.9,69.7,82.5,0,6.8,Sassuolo,SerieA
77059,hr,Sime Vrsaljko,24," D(R),M(R)",182,76,35,0.0,3062,0,4,8,1,0.3,78.7,4,2.1,7.17,1.9,2.3,1.7,0.3,3.8,0.5,0.3,0.0,1.1,1.5,0,0.5,0.8,1.1,40.4,78.7,1.4,2,Sassuolo,SerieA
14152,it,Sergio Floccari,34, FW,180,80,5,2,439,4,0,1,0,2.9,82.5,1,1.3,7.14,1,0.1,1.7,0,0.6,0.4,0,0.0,0.6,1.4,0.9,2.1,1.9,0.6,11.4,82.5,0.1,0.7,Sassuolo,SerieA
13348,it,Simone Missiroli,30, AM(C),191,77,22,2,1833,2,0,6,1,0.4,73.9,2,3.1,7.09,2.4,2.5,1.3,0,1.4,1.7,0.4,0.0,0.6,1.8,0,1,1.3,0.6,40.6,73.9,0.1,1.8,Sassuolo,SerieA
118542,it,Domenico Berardi,21," AM(R),FW",183,72,26,3,2181,7,6,10,1,3,70.7,1,0.4,7.03,1.5,1,1.4,0,0.4,1,0,0.0,1.3,2.6,0.5,1.5,1.7,1.3,32.7,70.7,0.8,1.9,Sassuolo,SerieA
18723,it,Federico Peluso,32," D(CL),M(L)",188,82,34,0,3038,1,1,11,0,0.6,74,0,2.1,6.99,2.1,2.9,1.6,0.3,2.7,0.6,0.4,0.0,0.6,1.1,0.1,0.6,0.6,0.6,33.9,74,0.6,1.3,Sassuolo,SerieA
113762,gh,Alfred Duncan,23, M(C),178,78,27,6,2487,1,5,5,0,1.2,75.3,0,0.5,6.84,2,1.3,1.4,0,0.4,1.2,0.2,0.0,1.5,0.5,0.1,1.5,1.1,1.5,35.4,75.3,0.9,1.9,Sassuolo,SerieA
108349,it,Luca Antei,24, D(C),188,77,4,1,342,0,1,2,0,0,81.3,0,0.8,6.82,2.8,1.8,1,0.6,4,0.8,0.8,0.0,0.2,1,0,0,0.2,0.2,33.2,81.3,0,2.4,Sassuolo,SerieA
6077,it,Antonio Floro Flores,33," AM(L),FW",183,78,8,6,640,3,2,0,0,2.3,64.9,2,0.9,6.80,0.6,0.3,0.3,0,0.4,0.7,0,0.0,0.9,1.6,0.3,1.2,0.9,0.9,17.5,64.9,0.3,0.9,Sassuolo,SerieA
