player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
102073,br,Bruno Peres,26," D(R),M(LR)",178,72,30,1,2596,3,4,9,0.0,1.3,82.4,4,0.3,7.21,1.7,1.2,0.7,0,1.1,0.6,0.2,1,1.1,1.1,0,1.4,1.6,1.1,30,82.4,1.1,3.4,Torino,SerieA
98631,rs,Nikola Maksimovic,24," D(C),M(R)",189,82,16,0,1440,0,1,3,0.0,0.1,84,0,1.2,7.12,2.6,3.9,0.9,0.4,3.4,1.3,0.3,0.0,1.1,0.8,0.1,0.4,0.5,1.1,49.2,84,0.3,4.6,Torino,SerieA
112272,it,Andrea Belotti,22, FW,173,72,31,4,2597,12,4,4,0.0,2,76.7,5,1.5,7.03,1.4,0.4,1.9,0,0.3,0.5,0.1,0,0.8,2.9,0.8,1.2,1.7,0.8,15.6,76.7,0.1,0.4,Torino,SerieA
44208,pl,Kamil Glik,28, D(C),190,79,33,0,2970,0,0,11,0.0,0.6,88.9,0,1.8,6.93,1.4,2.7,1.6,0.3,6.4,0.5,0.5,0,0.1,1.6,0,0.2,0.2,0.1,48.8,88.9,0,4.2,Torino,SerieA
22784,it,Giuseppe Vives,35," DMC,M(L)",178,70,28,5,2549,1,1,9,1,0.5,84.1,1,0.9,6.92,3,2.1,1.7,0.0,1.7,1,0.4,0.0,0.6,0.8,0,0.5,0.4,0.6,42.3,84.1,0.1,3,Torino,SerieA
121123,se,Pontus Jansson,25, D(C),194,89,6,1,614,1,0,1,0,0.9,93.3,0,0.9,6.90,0.7,1.7,0.6,0.6,4.6,0.1,1.1,0,0.3,0.3,0,0,0.4,0.3,49.1,93.3,0,1.9,Torino,SerieA
83716,it,Daniele Baselli,24, M(C),182,70,25,10,2272,4,3,6,0,0.9,79.3,1,0.3,6.87,1.6,1.3,1.4,0,0.3,0.8,0,0,1.5,1,0,1.4,1.1,1.5,21.8,79.3,1.1,0.9,Torino,SerieA
15407,it,Cristian Molinaro,32," D(L),M(L)",182,82,23,4,1965,1,1,3,1,0.4,77.5,0,0.7,6.85,1.6,2.1,1.1,0.1,1.4,0.3,0.1,0,0.9,0.9,0.1,0.6,0.8,0.9,31.2,77.5,0.9,2.8,Torino,SerieA
11845,it,Alessandro Gazzi,33, M(C),184,81,11,4,966,0,0,4,0,0.1,82.1,1,2.9,6.85,0.9,3.7,1.7,0.1,2.1,0.5,0.2,0,0.7,0.5,0,0.6,0.3,0.7,39.2,82.1,0,1.5,Torino,SerieA
113484,uy,Gastón Silva,22," D(C),M(L)",183,74,10,2,897,0,1,3,0,0.6,80.5,0,0.7,6.83,2.2,2,1.1,0.3,1.5,0.8,0.2,0.0,0.8,0.8,0,0.6,1.2,0.8,36.4,80.5,0.6,1.8,Torino,SerieA
70141,it,Ciro Immobile,26, FW,181,85,11,3,988,5,2,2,0,2.7,70.9,2,0.9,6.78,0.4,0,1.5,0,0.2,0.5,0.1,0,1.4,1.3,0.6,1.4,2.7,1.4,16.9,70.9,0.3,1.1,Torino,SerieA
6134,it,Cesare Bovo,33, D(C),181,75,20,1,1789,2,0,10,0,0.5,83.5,1,1.1,6.77,1.5,2,1.6,0,3.2,0.5,0.4,0,0.6,0.2,0,0,0.1,0.6,60.7,83.5,0.4,8,Torino,SerieA
2877,it,Emiliano Moretti,35, D(CL),185,80,35,0,3150,1,1,4,0,0.3,87.5,0,0.9,6.72,1.5,1.8,1,0.3,3.4,0.2,0.5,0,0.4,0.8,0,0.1,0.3,0.4,56.5,87.5,0.1,4.5,Torino,SerieA
91180,gh,Afriyie Acquah,24, DMC,179,70,22,7,1893,2,3,9,0,0.9,75.4,0,0.7,6.70,0.8,0.9,1.3,0.1,0.6,0.2,0.1,0,0.9,1.4,0,1.2,1.1,0.9,21.8,75.4,0.7,1.3,Torino,SerieA
